boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same
98784247808,30026810781,14544236485,938337813,14544236483,14060607799,483628686,14076206594,468029891,14060607799,14060607799,0,483613124,15598776,468014348,15562,19,15543,14060607799,0,468641490,453525872,14780624,14303641,191010,184835,907160830,31176983,908168067,30169746,907160830,907160830,0,31176037,1007236,30168801,946,1,945,907160830,0,30245412,29268274,924691,894780,5934,5747
99052683264,30108405375,14583758905,940887626,14583758844,14098815560,484943345,14114456995,469301910,14098815560,14098815560,0,484927734,15641416,469286318,15611,19,15592,14098815560,0,469914832,454757896,14821173,14342889,191729,185533,909625653,31261973,910635576,30252050,909625653,909625653,0,31261021,1009922,30251099,952,1,951,909625653,0,30327785,29348041,927281,897291,5955,5767
99321118720,30189999932,14623281197,943437484,14623281251,14137022596,486258601,14152706778,470574419,14137022596,14137022596,0,486242943,15684163,470558780,15658,19,15639,14137022596,0,471189080,455990655,14861439,14381914,192424,186211,912090862,31346622,913103532,30333952,912090862,912090862,0,31345668,1012669,30332999,954,1,953,912090862,0,30409836,29427433,929856,899779,5976,5787
99589554176,30271594579,14662803648,945987315,14662803616,14175229986,487573662,14190956503,471847145,14175229986,14175229986,0,487557962,15726498,471831464,15700,19,15681,14175229986,0,472462508,457223140,14902310,14421418,193144,186906,914555484,31431831,915570928,30416387,914555484,914555484,0,31430873,1015443,30415430,958,1,957,914555484,0,30492353,29507262,932522,902359,5998,5809
99857989632,30353189104,14702325958,948537148,14702325998,14213437970,488887988,14229206908,473119050,14213437970,14213437970,0,488872242,15768919,473103323,15746,19,15727,14213437970,0,473735404,458455027,14943024,14460738,193814,187558,917020746,31516402,918038902,30498246,917020746,917020746,0,31515442,1018155,30497287,960,1,959,917020746,0,30574381,29586646,935035,904805,6026,5836
100126425088,30434783735,14741848374,951086989,14741848372,14251645993,490202381,14267457067,474391307,14251645993,14251645993,0,490186585,15811055,474375530,15796,19,15777,14251645993,0,475008204,459686946,14983838,14500311,194543,188273,919485941,31601048,920506870,30580119,919485941,919485941,0,31600086,1020928,30579158,962,1,961,919485941,0,30656431,29666019,937598,907273,6057,5866
100394860544,30516378288,14781370845,953636885,14781370558,14289854667,491516178,14305707995,475662850,14289854667,14289854667,0,491500340,15853309,475647031,15838,19,15819,14289854667,0,476280703,460918508,15024424,14539607,195213,188916,921950982,31685903,922974577,30662308,921950982,921950982,0,31684939,1023594,30661345,964,1,963,921950982,0,30738668,29745672,940187,909781,6084,5892
100663296000,30597972874,14820893298,956186648,14820892928,14328061604,492831694,14343957432,476935866,14328061604,14328061604,0,492815821,15895809,476920012,15873,19,15854,14328061604,0,477554600,462151168,15065338,14579289,195883,189555,924416323,31770325,925442723,30743925,924416323,924416323,0,31769360,1026399,30742961,965,1,964,924416323,0,30820485,29824772,942769,912275,6106,5914
100931731456,30679567440,14860415629,958736486,14860415325,14366267096,494148533,14382205519,478210110,14366267096,14366267096,0,494132625,15938404,478194221,15908,19,15889,14366267096,0,478829926,463385244,15106090,14618728,196609,190249,926881655,31854831,927910777,30825709,926881655,926881655,0,31853866,1029121,30824745,965,1,964,926881655,0,30902310,29903965,945423,914840,6133,5940
101200166912,30761162114,14899937993,961286342,14899937779,14404476527,495461466,14420457166,479480827,14404476527,14404476527,0,495445516,15980620,479464896,15950,19,15931,14404476527,0,480101617,464616022,15146600,14657956,197299,190918,929346517,31939825,930378514,30907828,929346517,929346517,0,31938859,1031996,30906863,966,1,965,929346517,0,30984674,29983542,948030,917359,6155,5962
101468602368,30842756777,14939460451,963836168,14939460158,14442684705,496775746,14458707670,480752781,14442684705,14442684705,0,496759748,16022946,480736802,15998,19,15979,14442684705,0,481374163,465847634,15187568,14697558,198017,191610,931811168,32025000,932845994,30990174,931811168,931811168,0,32024026,1034825,30989201,974,1,973,931811168,0,31067265,30063385,950584,919832,6177,5984
101737037824,30924351348,14978982767,966385969,14978982612,14480890707,498092060,14496956057,482026710,14480890707,14480890707,0,498076028,16065331,482010697,16032,19,16013,14480890707,0,482648862,467081223,15228456,14737195,198710,192279,934276468,32109501,935314097,31071872,934276468,934276468,0,32108524,1037628,31070896,977,1,976,934276468,0,31149189,30142582,953137,922311,6198,6003
102005473280,31005945918,15018505137,968935772,15018505009,14519099551,499405586,14535207539,483297598,14519099551,14519099551,0,499389507,16107969,483281538,16079,19,16060,14519099551,0,483921061,468312089,15269038,14776488,199408,192961,936741903,32193869,937782223,31153549,936741903,936741903,0,32192890,1040319,31152571,979,1,978,936741903,0,31230928,30221723,955729,924811,6233,6037
102273908736,31087540470,15058027319,971485589,15058027562,14557309306,500718013,14573459542,484567777,14557309306,14557309306,0,500701885,16150217,484551668,16128,19,16109,14557309306,0,485192036,469542136,15309761,14815917,200088,193615,939206969,32278620,940249947,31235642,939206969,939206969,0,32277640,1042977,31234663,980,1,979,939206969,0,31313054,30301271,958335,927338,6251,6054
102542344192,31169135016,15097549675,974035487,15097549854,14595516080,502033595,14611709051,485840624,14595516080,14595516080,0,502017428,16192951,485824477,16167,20,16147,14595516080,0,486465986,470774733,15350622,14855421,200820,194323,941671873,32363614,942717498,31317989,941671873,941671873,0,32362631,1045624,31317007,983,1,982,941671873,0,31395355,30380997,961003,929934,6273,6076
102810779648,31250729683,15137072196,976585293,15137072194,14633721717,503350479,14649957069,487115127,14633721717,14633721717,0,503334273,16235332,487098941,16206,20,16186,14633721717,0,487741495,472009190,15391276,14894771,201502,194980,944136853,32448440,945185264,31400029,944136853,944136853,0,32447453,1048410,31399043,987,1,986,944136853,0,31477608,30460537,963550,932409,6295,6097
103079215104,31332324283,15176594541,979135138,15176594604,14671930134,504664407,14688207650,488386891,14671930134,14671930134,0,504648168,16277496,488370672,16239,20,16219,14671930134,0,489013891,473240799,15432096,14934230,202181,195643,946601604,32533534,947652787,31482351,946601604,946601604,0,32532546,1051182,31481364,988,1,987,946601604,0,31560149,30540377,966082,934871,6315,6116
103347650560,31413918925,15216117006,981684980,15216116939,14710139740,505977266,14726459490,489657516,14710139740,14710139740,0,505961000,16319730,489641270,16266,20,16246,14710139740,0,490285114,474471136,15472978,14973795,202908,196339,949066525,32618455,950120502,31564478,949066525,949066525,0,32617463,1053976,31563487,992,1,991,949066525,0,31642500,30620018,968629,937334,6334,6135
103616086016,31495513530,15255639390,984234791,15255639349,14748347651,507291739,14764709770,490929620,14748347651,14748347651,0,507275436,16362099,490913337,16303,20,16283,14748347651,0,491558009,475702976,15513844,15013369,203583,196992,951531433,32703358,952588134,31646657,951531433,951531433,0,32702365,1056700,31645665,993,1,992,951531433,0,31724842,30699726,971168,939783,6355,6156
103884521472,31577108090,15295161722,986784632,15295161736,14786555065,508606657,14802959902,492201820,14786555065,14786555065,0,508590300,16404817,492185483,16357,20,16337,14786555065,0,492831475,476935105,15554484,15052651,204341,197727,953996696,32787936,955056149,31728483,953996696,953996696,0,32786940,1059452,31727488,996,1,995,953996696,0,31806822,30779043,973736,942262,6382,6183
104152956928,31658702571,15334684167,989334410,15334683994,14824761630,509922537,14841208927,493475240,14824761630,14824761630,0,509906132,16447277,493458855,16405,20,16385,14824761630,0,494106039,478168486,15595074,15091981,205019,198388,956461028,32873382,957523213,31811197,956461028,956461028,0,32872380,1062184,31810196,1002,1,1001,956461028,0,31889587,30859157,976392,944837,6401,6202
