boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same
268435456,81594634,39522426,2549843,39522365,38226848,1295578,38268413,1254013,38226848,38226848,0,1295553,41565,1253988,25,0,25,38226848,0,1270493,1229692,25058,24295,2,1,2467431,82412,2470020,79823,2467431,2467431,0,82410,2589,79821,2,0,2,2467431,0,81450,78896,960,925,0,0
536870912,163189216,79044733,5099671,79044812,76443667,2601066,76527314,2517419,76443667,76443667,0,2600993,83647,2517346,73,0,73,76443667,0,2543969,2462098,57000,55226,24,22,4933258,166413,4938655,161016,4933258,4933258,0,166410,5397,161013,3,0,3,4933258,0,163908,158597,2502,2416,0,0
805306368,244783758,118567111,7649492,118567155,114659523,3907588,114785648,3781463,114659523,114659523,0,3907489,126125,3781364,99,0,99,114659523,0,3816723,3693509,90700,87791,66,64,7398951,250541,7407144,242348,7398951,7398951,0,250536,8193,242343,5,0,5,7398951,0,246228,238176,4308,4167,0,0
1073741824,326378404,158089553,10199321,158089530,152873209,5216344,153041333,5048220,152873209,152873209,0,5216201,168124,5048077,143,0,143,152873209,0,5090173,4926085,125912,121880,116,112,9865348,333973,9876317,323004,9865348,9865348,0,333967,10969,322998,6,0,6,9865348,0,327761,316995,6205,6002,1,1
1342177280,407973015,197611889,12749159,197611967,191088112,6523777,191298400,6313489,191088112,191088112,0,6523588,210288,6313300,189,0,189,191088112,0,6362022,6156861,161372,156249,194,190,12331771,417388,12345376,403783,12331771,12331771,0,417381,13605,403776,7,0,7,12331771,0,409308,395971,8071,7803,2,2
1610612736,489567600,237134241,15299014,237134345,229300848,7833393,229553346,7580895,229300848,229300848,0,7833177,252498,7580679,216,0,216,229300848,0,7635785,7389582,197113,190826,279,271,14797204,501810,14813520,485494,14797204,14797204,0,501801,16316,485485,9,0,9,14797204,0,491772,475783,10026,9699,3,3
1879048192,571162106,276656683,17848818,276656605,267514897,9141786,267809308,8847375,267514897,267514897,0,9141529,294411,8847118,257,0,257,267514897,0,8907451,8620507,233698,226242,380,369,17262279,586539,17281292,567526,17262279,17262279,0,586529,19013,567516,10,0,10,17262279,0,574502,555876,12024,11637,3,3
2147483648,652756663,316179078,20398600,316178985,305725149,10453929,306061705,10117373,305725149,305725149,0,10453635,336556,10117079,294,0,294,305725149,0,10182795,9854852,270326,261728,514,499,19727730,670870,19749469,649131,19727730,19727730,0,670860,21739,649121,10,0,10,19727730,0,656713,635424,14140,13690,7,7
2415919104,734351293,355701267,22948423,355701603,343936666,11764601,344315706,11385561,343936666,343936666,0,11764267,379040,11385227,334,0,334,343936666,0,11456396,11087141,307221,297456,650,630,22193106,755317,22217555,730868,22193106,22193106,0,755304,24449,730855,13,0,13,22193106,0,739025,715088,16271,15759,8,8
2684354560,815945969,395223887,25498321,395223761,382147278,13076609,382568411,12655476,382147278,382147278,0,13076238,421133,12655105,371,0,371,382147278,0,12730764,12320603,344710,333762,764,740,24659200,839121,24686444,811877,24659200,24659200,0,839105,27244,811861,16,0,16,24659200,0,820702,794040,18395,17813,8,8
2952790016,897540596,434746231,28048133,434746232,420357630,14388601,420821168,13925063,420357630,420357630,0,14388186,463538,13924648,415,0,415,420357630,0,14005149,13553839,382127,369923,910,886,27124306,923827,27154270,893863,27124306,27124306,0,923811,29964,893847,16,0,16,27124306,0,903259,873937,20544,19902,8,8
3221225472,979135255,474268582,30597953,474268720,458569239,15699343,459074921,15193661,458569239,458569239,0,15698883,505682,15193201,460,0,460,458569239,0,15278221,14785929,419609,406245,1053,1027,29589626,1008327,29622354,975599,29589626,29589626,0,1008310,32728,975582,17,0,17,29589626,0,985595,953590,22703,21980,12,12
3489660928,1060729747,513790888,33147812,513791047,496779942,17010946,497327846,16463042,496779942,496779942,0,17010450,547904,16462546,496,0,496,496779942,0,16551992,16018698,457249,442668,1209,1180,32055061,1092751,32090497,1057315,32055061,32055061,0,1092732,35436,1057296,19,0,19,32055061,0,1067820,1033183,24899,24100,13,13
3758096384,1142324300,553313333,35697668,553313299,534989958,18323375,535580041,17733292,534989958,534989958,0,18322839,590083,17732756,536,0,536,534989958,0,17826630,17252403,494841,479019,1368,1334,34520650,1177018,34558819,1138849,34520650,34520650,0,1176999,38169,1138830,19,0,19,34520650,0,1149895,1112593,27086,26219,18,18
4026531840,1223918932,592835731,38247462,592835739,573200825,19634906,573833310,19002421,573200825,573200825,0,19634324,632485,19001839,582,0,582,573200825,0,19099794,18484398,532999,515946,1531,1495,36986021,1261441,37026953,1220509,36986021,36986021,0,1261421,40932,1220489,20,0,20,36986021,0,1232015,1192040,29386,28429,20,20
4294967296,1305513476,632358010,40797304,632358162,611408341,20949669,612083427,20274583,611408341,611408341,0,20949049,675086,20273963,620,0,620,611408341,0,20375924,19719121,571401,553161,1724,1681,39451561,1345743,39495278,1302026,39451561,39451561,0,1345719,43717,1302002,24,0,24,39451561,0,1314085,1271392,31611,30587,23,23
4563402752,1387108056,671880493,43347149,671880414,649616436,22264057,650334069,21546424,649616436,649616436,0,22263391,717633,21545758,666,0,666,649616436,0,21651536,20953435,609949,590467,1906,1856,41916552,1430597,41963058,1384091,41916552,41916552,0,1430572,46506,1384066,25,0,25,41916552,0,1396649,1351243,33895,32795,28,28
4831838208,1468702640,711402876,45896969,711402795,687826165,23576711,688586257,22816619,687826165,687826165,0,23576019,760092,22815927,692,0,692,687826165,0,22925559,22186219,648379,627684,2081,2024,44382171,1514798,44431386,1465583,44382171,44382171,0,1514770,49215,1465555,28,0,28,44382171,0,1478568,1430530,36171,34994,31,31
5100273664,1550297270,750925215,48446754,750925301,726036414,24888801,726838944,24086271,726036414,726036414,0,24888061,802530,24085531,740,0,740,726036414,0,24199052,23418468,686713,664829,2296,2234,46847871,1598883,46899828,1546926,46847871,46847871,0,1598851,51957,1546894,32,0,32,46847871,0,1560415,1509716,38402,37144,34,34
5368709120,1631891825,790447570,50996566,790447689,764244090,26203480,765089109,25358461,764244090,764244090,0,26202682,845019,25357663,798,0,798,764244090,0,25474736,24652912,725433,702306,2513,2445,49313315,1683251,49367971,1628595,49313315,49313315,0,1683217,54656,1628561,34,0,34,49313315,0,1642573,1589232,40607,39293,37,36
5637144576,1713486491,829970035,53546411,829970045,802455268,27514767,803342946,26627089,802455268,802455268,0,27513928,887677,26626251,839,1,838,802455268,0,26747151,25883952,764043,739638,2734,2661,51778472,1767939,51835857,1710554,51778472,51778472,0,1767902,57385,1710517,37,0,37,51778472,0,1724922,1668911,42942,41569,38,37
5905580032,1795081019,869492392,56096246,869492381,840662837,28829555,841592971,27899421,840662837,840662837,0,28828672,930133,27898539,883,1,882,840662837,0,28022708,27118350,802996,777301,2968,2888,54243708,1852538,54303886,1792360,54243708,54243708,0,1852500,60178,1792322,38,0,38,54243708,0,1807146,1748412,45310,43867,44,43
6174015488,1876675591,909014681,58646095,909014815,878873146,30141535,879845703,29168978,878873146,878873146,0,30140611,972555,29168056,924,2,922,878873146,0,29296021,28350493,841379,814436,3211,3127,56709056,1937039,56771993,1874102,56709056,56709056,0,1936996,62937,1874059,43,0,43,56709056,0,1889402,1827981,47547,46032,47,46
6442450944,1958270288,948537127,61195954,948537207,917080477,31456650,918094984,30442143,917080477,917080477,0,31455688,1014505,30441183,962,2,960,917080477,0,30571797,29585522,880445,852306,3446,3355,59174599,2021355,59240314,1955640,59174599,59174599,0,2021308,65715,1955593,47,0,47,59174599,0,1971310,1907194,49948,48351,50,48
6710886400,2039864898,988059419,63745752,988059727,955291048,32768371,956348010,31711409,955291048,955291048,0,32767367,1056960,31710407,1004,2,1002,955291048,0,31844382,30816993,919288,889815,3697,3599,61640142,2105610,61708547,2037205,61640142,61640142,0,2105561,68405,2037156,49,0,49,61640142,0,2053234,1986498,52269,50602,58,56
6979321856,2121459561,1027581922,66295614,1027582025,993501458,34080464,994600577,32981345,993501458,993501458,0,34079403,1099117,32980286,1061,2,1059,993501458,0,33116961,32048708,958497,927740,3945,3838,64104867,2190747,64176001,2119613,64104867,64104867,0,2190697,71134,2119563,50,0,50,64104867,0,2136027,2066644,54605,52858,65,61
7247757312,2203054191,1067104444,68845418,1067104329,1031709129,35395315,1032850632,34253812,1031709129,1031709129,0,35394204,1141501,34252703,1111,2,1109,1031709129,0,34392326,33282938,997665,965669,4213,4096,66569519,2275899,66643390,2202028,66569519,66569519,0,2275846,73871,2201975,53,0,53,66569519,0,2218863,2146813,56917,55100,66,62
7516192768,2284648697,1106626810,71395237,1106626650,1069919265,36707545,1071103022,35523788,1069919265,1069919265,0,36706391,1183755,35522636,1154,2,1152,1069919265,0,35665364,34514987,1036562,1003310,4465,4339,69034395,2360842,69110943,2284294,69034395,69034395,0,2360789,76548,2284241,53,0,53,69034395,0,2301440,2226775,59277,57398,72,68
7784628224,2366243312,1146149057,73945067,1146149188,1108127070,38021987,1109353357,36795700,1108127070,1108127070,0,38020788,1226285,36794503,1199,2,1197,1108127070,0,36939974,35748396,1076110,1041536,4704,4571,71499763,2445304,71579041,2366026,71499763,71499763,0,2445249,79278,2365971,55,0,55,71499763,0,2383560,2306228,61613,59671,76,72
8053063680,2447837796,1185671507,76494941,1185671348,1146337508,39333999,1147606258,38065249,1146337508,1146337508,0,39332752,1268748,38064004,1247,2,1245,1146337508,0,38212452,36979655,1115352,1079544,4948,4805,73964785,2530156,74046786,2448155,73964785,73964785,0,2530098,82001,2448097,58,0,58,73964785,0,2466016,2386023,63999,61995,83,79
8321499136,2529432495,1225193838,79044789,1225193868,1184546163,40647675,1185857003,39336835,1184546163,1184546163,0,40646389,1310838,39335551,1286,2,1284,1184546163,0,39486521,38212914,1154654,1117576,5214,5061,76429873,2614916,76514593,2530196,76429873,76429873,0,2614858,84720,2530138,58,0,58,76429873,0,2548450,2465807,66321,64248,87,83
8589934592,2611027080,1264716219,81594663,1264716198,1222752412,41963807,1224105941,40610278,1222752412,1222752412,0,41962466,1353527,40608939,1341,2,1339,1222752412,0,40762653,39447743,1194284,1155835,5529,5361,78894263,2700400,78981699,2612964,78894263,78894263,0,2700339,87436,2612903,61,0,61,78894263,0,2631570,2546288,68677,66527,92,88
8858370048,2692621746,1304238573,84144484,1304238689,1260962235,43276338,1262358111,41880462,1260962235,1260962235,0,43274964,1395874,41879090,1374,2,1372,1260962235,0,42035723,40679787,1233445,1193684,5796,5619,81359834,2784650,81449980,2694504,81359834,81359834,0,2784587,90146,2694441,63,0,63,81359834,0,2713438,2625522,71051,68826,98,93
9126805504,2774216208,1343760967,86694274,1343760967,1299172077,44588890,1300610420,43150547,1299172077,1299172077,0,44587480,1438341,43149139,1410,2,1408,1299172077,0,43308777,41911588,1272632,1231671,6071,5880,83825501,2868773,83918431,2775843,83825501,83825501,0,2868708,92930,2775778,65,0,65,83825501,0,2795273,2704652,73328,71024,107,102
9395240960,2855810709,1383283287,89244085,1383283337,1337379656,45903631,1338860350,44422937,1337379656,1337379656,0,45902184,1480692,44421492,1447,2,1445,1337379656,0,44583836,43145612,1311982,1269716,6366,6164,86290910,2953175,86386445,2857640,86290910,86290910,0,2953107,95535,2857572,68,0,68,86290910,0,2877259,2784090,75736,73375,112,107
9663676416,2937405376,1422805796,91793932,1422805648,1375587332,47218464,1377110312,45695484,1375587332,1375587332,0,47216971,1522978,45693993,1493,2,1491,1375587332,0,45859069,44379771,1351232,1307761,6670,6461,88755920,3038012,88854228,2939704,88755920,88755920,0,3037942,98308,2939634,70,0,70,88755920,0,2959667,2863788,78159,75735,116,111
9932111872,3018999942,1462328169,94343737,1462328036,1413797071,48531098,1415362524,46965645,1413797071,1413797071,0,48529559,1565451,46964108,1539,2,1537,1413797071,0,47131825,45611337,1390774,1346026,6960,6745,91221020,3122717,91322152,3021585,91221020,91221020,0,3122644,101132,3021512,73,0,73,91221020,0,3041945,2943327,80576,78068,123,117
10200547328,3100594579,1501850498,96893577,1501850504,1452006110,49844388,1453613828,48236670,1452006110,1452006110,0,49842813,1607716,48235097,1575,2,1573,1452006110,0,48405395,46843931,1430159,1384135,7259,7031,93686312,3207265,93790171,3103406,93686312,93686312,0,3207190,103859,3103331,75,0,75,93686312,0,3124065,3022786,82995,80421,130,124
10468982784,3182189198,1541373002,99443388,1541372808,1490216154,51156848,1491866057,49506945,1490216154,1490216154,0,51155227,1649901,49505326,1621,2,1619,1490216154,0,49678070,48075691,1469624,1422343,7533,7292,96151691,3291697,96258346,3185042,96151691,96151691,0,3291618,106655,3184963,79,0,79,96151691,0,3206046,3102050,85434,82782,138,131
10737418240,3263783621,1580895185,101993233,1580895203,1528424405,52470780,1530117048,50778137,1528424405,1528424405,0,52469109,1692641,50776468,1671,2,1669,1528424405,0,50952020,49308219,1509211,1460624,7878,7625,98616676,3376557,98726011,3267222,98616676,98616676,0,3376473,109335,3267138,84,0,84,98616676,0,3288417,3181825,87909,85173,147,140
11005853696,3345378373,1620417592,104543098,1620417683,1566634758,53782834,1568369922,52047670,1566634758,1566634758,0,53781115,1735162,52045953,1719,2,1717,1566634758,0,52224542,50539582,1548386,1498447,8187,7924,101081938,3461160,101194044,3349054,101081938,101081938,0,3461073,112106,3348967,87,0,87,101081938,0,3370629,3261350,90292,87473,152,144
11274289152,3426972901,1659939864,107092939,1659940098,1604846375,55093489,1606623742,53316122,1604846375,1604846375,0,55091734,1777365,53314369,1755,2,1753,1604846375,0,53495154,51769303,1588063,1536824,8517,8242,103547832,3545107,103662709,3430230,103547832,103547832,0,3545019,114877,3430142,88,0,88,103547832,0,3452118,3340162,92742,89829,159,151
11542724608,3508567522,1699462375,109642753,1699462394,1643055347,56407028,1644875178,54587197,1643055347,1643055347,0,56405221,1819829,54585392,1807,2,1805,1643055347,0,54768806,53001760,1627601,1575101,8814,8531,106013031,3629722,106130699,3512054,106013031,106013031,0,3629632,117668,3511964,90,0,90,106013031,0,3534305,3419651,95160,92154,167,159
11811160064,3590162225,1738984878,112192572,1738984775,1681264751,57720127,1683126947,55857931,1681264751,1681264751,0,57718278,1862194,55856084,1849,2,1847,1681264751,0,56042332,54234187,1666822,1613066,9124,8831,108478563,3714009,108598911,3593661,108478563,108478563,0,3713916,120348,3593568,93,0,93,108478563,0,3616215,3498959,97529,94445,172,164
12079595520,3671756731,1778507160,114742381,1778507190,1719473355,59033805,1721377738,57129422,1719473355,1719473355,0,59031908,1904381,57127527,1897,2,1895,1719473355,0,57316297,55467254,1706195,1651160,9416,9113,110943753,3798628,111066839,3675542,110943753,110943753,0,3798535,123086,3675449,93,0,93,110943753,0,3698465,3578556,99892,96723,178,170
12348030976,3753351308,1818029483,117292224,1818029601,1757682225,60347258,1759629097,58400386,1757682225,1757682225,0,60345314,1946870,58398444,1944,2,1942,1757682225,0,58589675,56699397,1745917,1689640,9722,9407,113408846,3883378,113534653,3757571,113408846,113408846,0,3883283,125807,3757476,95,0,95,113408846,0,3780756,3658192,102340,99105,187,179
12616466432,3834945902,1857552005,119842037,1857551860,1795891450,61660555,1797880624,59671381,1795891450,1795891450,0,61658581,1989172,59669409,1974,2,1972,1795891450,0,59863051,57931773,1785482,1727911,10048,9725,115874071,3967966,116002572,3839465,115874071,115874071,0,3967867,128501,3839366,99,0,99,115874071,0,3862841,3737682,104823,101490,203,194
12884901888,3916540453,1897074404,122391880,1897074169,1834100144,62974260,1836131899,60942505,1834100144,1834100144,0,62972252,2031753,60940499,2008,2,2006,1834100144,0,61136721,59164161,1825162,1766302,10369,10036,118339029,4052851,118470304,3921576,118339029,118339029,0,4052750,131275,3921475,101,0,101,118339029,0,3945349,3817480,107190,103793,211,202
13153337344,3998134954,1936596733,124941709,1936596512,1872307765,64288968,1874381884,62214849,1872307765,1872307765,0,64286911,2074117,62212794,2057,2,2055,1872307765,0,62411327,60397771,1864868,1804651,10716,10372,120804051,4137658,120938100,4003609,120804051,120804051,0,4137555,134049,4003506,103,0,103,120804051,0,4027772,3897210,109565,106087,218,209
13421772800,4079729567,1976119103,127491535,1976118929,1910516495,65602608,1912633187,63485916,1910516495,1910516495,0,65600495,2116690,63483805,2113,2,2111,1910516495,0,63684984,61630150,1904461,1842961,11050,10694,123268886,4222649,123405648,4085887,123268886,123268886,0,4222543,136762,4085781,106,0,106,123268886,0,4110306,3977093,112007,108468,230,220
13690208256,4161324184,2015641468,130041365,2015641351,1948726176,66915292,1950885344,64756124,1948726176,1948726176,0,66913148,2159166,64753982,2144,2,2142,1948726176,0,64957849,62861851,1943889,1881093,11410,11038,125733860,4307505,125873354,4168011,125733860,125733860,0,4307398,139494,4167904,107,0,107,125733860,0,4192719,4056853,114444,110826,235,225
13958643712,4242918770,2055163737,132591171,2055163862,1986933453,68230284,1989134911,66028826,1986933453,1986933453,0,68228091,2201456,66026635,2193,2,2191,1986933453,0,66232928,64095919,1983410,1919348,11753,11368,128198834,4392337,128341083,4250088,128198834,128198834,0,4392228,142249,4249979,109,0,109,128198834,0,4275121,4136587,116865,113161,242,231
14227079168,4324513465,2094686213,135141005,2094686247,2025142160,69544053,2027385994,67300219,2025142160,2025142160,0,69541820,2243832,67297988,2233,2,2231,2025142160,0,67506192,65328092,2023556,1958216,12072,11680,130664322,4476683,130809248,4331757,130664322,130664322,0,4476572,144926,4331646,111,0,111,130664322,0,4357072,4215923,119251,115485,249,238
14495514624,4406108058,2134208657,137690831,2134208570,2063351070,70857587,2065637212,68571445,2063351070,2063351070,0,70855318,2286140,68569178,2269,2,2267,2063351070,0,68779363,66560304,2063528,1996854,12427,12020,133129910,4560921,133277590,4413241,133129910,133129910,0,4560806,147680,4413126,115,0,115,133129910,0,4438906,4295086,121641,117792,259,248
14763950080,4487702617,2173730945,140240652,2173731020,2101559149,72171796,2103887521,69843424,2101559149,2101559149,0,72169474,2328370,69841104,2322,2,2320,2101559149,0,70053752,67793710,2102967,2035052,12755,12342,135595339,4645313,135745727,4494925,135595339,135595339,0,4645195,150388,4494807,118,0,118,135595339,0,4520801,4374357,124130,120197,264,253
15032385536,4569297319,2213253432,142790497,2213253390,2139768739,73484693,2142139235,71114197,2139768739,2139768739,0,73482321,2370494,71111827,2372,2,2370,2139768739,0,71326371,69025430,2142840,2073716,13110,12681,138060636,4729861,138213783,4576714,138060636,138060636,0,4729742,153147,4576595,119,0,119,138060636,0,4603012,4453894,126457,122439,273,262
15300820992,4650891933,2252775752,145340294,2252775887,2177976879,74798873,2180389625,72386127,2177976879,2177976879,0,74796464,2412744,72383720,2409,2,2407,2177976879,0,72600453,70258592,2182517,2112078,13494,13050,140526177,4814117,140682092,4658202,140526177,140526177,0,4813996,155915,4658081,121,0,121,140526177,0,4684835,4533016,128885,124800,276,265
15569256448,4732486599,2292298126,147890174,2292298299,2216186526,76111600,2218641919,73656207,2216186526,2216186526,0,76109138,2455391,73653747,2462,2,2460,2216186526,0,73872699,71489561,2222590,2150799,13849,13387,142991567,4898607,143150232,4739942,142991567,142991567,0,4898485,158665,4739820,122,0,122,142991567,0,4766926,4612435,131275,127112,284,273
15837691904,4814081145,2331820466,150440005,2331820674,2254395741,77424725,2256893303,74927163,2254395741,2254395741,0,77422229,2497560,74924669,2496,2,2494,2254395741,0,75145805,72721734,2262250,2189235,14174,13700,145456612,4983393,145618070,4821935,145456612,145456612,0,4983264,161458,4821806,129,0,129,145456612,0,4849170,4691972,133800,129551,294,283
16106127360,4895675740,2371342915,152989822,2371343003,2292603724,78739191,2295143578,76199337,2292603724,2292603724,0,78736654,2539852,76196802,2537,2,2535,2292603724,0,76420133,73955080,2302015,2227697,14506,14025,147921669,5068153,148085891,4903931,147921669,147921669,0,5068022,164222,4903800,131,0,131,147921669,0,4931488,4771599,136233,131911,301,290
16374562816,4977270342,2410865281,155539638,2410865423,2330811308,80053973,2333393972,77471309,2330811308,2330811308,0,80051404,2582662,77468742,2569,2,2567,2330811308,0,77694635,75188108,2341946,2266302,14823,14332,150386661,5152977,150553655,4985983,150386661,150386661,0,5152843,166994,4985849,134,0,134,150386661,0,5013793,4851219,138738,134329,312,301
16642998272,5058864917,2450387625,158089463,2450387829,2369020397,81367228,2371645125,78742500,2369020397,2369020397,0,81364619,2624726,78739893,2609,2,2607,2369020397,0,78967779,76420442,2381633,2304750,15207,14701,152851361,5238102,153021104,5068359,152851361,152851361,0,5237966,169743,5068223,136,0,136,152851361,0,5096428,4931173,141217,136740,321,310
16911433728,5140459585,2489909989,160639338,2489910258,2407232192,82677797,2409899046,80010943,2407232192,2407232192,0,82675151,2666852,80008299,2646,2,2644,2407232192,0,80237950,77649820,2421652,2343446,15549,15033,155316662,5322676,155489029,5150309,155316662,155316662,0,5322535,172367,5150168,141,0,141,155316662,0,5178496,5010710,143713,139143,326,315
17179869184,5222054160,2529432432,163189178,2529432550,2445439465,83992967,2448148997,81283435,2445439465,2445439465,0,83990290,2709530,81280760,2677,2,2675,2445439465,0,81512663,78883131,2461717,2382248,15910,15381,157781641,5407537,157956817,5232361,157781641,157781641,0,5407391,175176,5232215,146,0,146,157781641,0,5260886,5090364,146174,141531,331,320
17448304640,5303648711,2568954731,165739019,2568954961,2483649583,85305148,2486401520,82553211,2483649583,2483649583,0,85302422,2751934,82550488,2726,3,2723,2483649583,0,82784563,80113921,2501575,2420820,16284,15747,160247210,5491809,160425039,5313980,160247210,160247210,0,5491661,177829,5313832,148,0,148,160247210,0,5342576,5169498,148747,144007,338,327
17716740096,5385243285,2608477005,168288864,2608477416,2521858310,86618695,2524652677,83824328,2521858310,2521858310,0,86615922,2794364,83821558,2773,3,2770,2521858310,0,84057657,81345904,2541632,2459573,16633,16081,162712886,5575978,162893433,5395431,162712886,162712886,0,5575825,180547,5395278,153,0,153,162712886,0,5424279,5248570,151200,146374,346,334
17985175552,5466837906,2647999468,170838704,2647999734,2560067352,87932116,2562903648,85095820,2560067352,2560067352,0,87929307,2836293,85093014,2809,3,2806,2560067352,0,85330695,82578261,2581620,2498326,16992,16427,165178313,5660391,165361544,5477160,165178313,165178313,0,5660237,183231,5477006,154,0,154,165178313,0,5506151,5327838,153729,148824,357,344
18253611008,5548432510,2687521878,173388554,2687522078,2598276540,89245338,2601155206,86366672,2598276540,2598276540,0,89242490,2878663,86363827,2848,3,2845,2598276540,0,86603402,83809911,2621706,2537111,17382,16805,167642825,5745729,167828775,5559779,167642825,167642825,0,5745573,185950,5559623,156,0,156,167642825,0,5588924,5407975,156279,151291,370,357
18522046464,5630027122,2727044276,175938340,2727044506,2636486295,90557981,2639407284,87636992,2636486295,2636486295,0,90555101,2920986,87634115,2880,3,2877,2636486295,0,87875279,85040815,2662055,2576129,17767,17171,170107780,5830560,170296530,5641810,170107780,170107780,0,5830401,188750,5641651,159,0,159,170107780,0,5671274,5487595,158743,153688,384,368
18790481920,5711621736,2766566648,178488173,2766566915,2674694169,91872479,2677657574,88909074,2674694169,2674694169,0,91869554,2963402,88906152,2925,3,2922,2674694169,0,89149070,86273431,2702303,2615145,18181,17576,172573673,5914500,172765193,5722980,172573673,172573673,0,5914333,191520,5722813,167,0,167,172573673,0,5752661,5566279,161280,156158,392,376
19058917376,5793216346,2806089092,181038018,2806089236,2712900776,93188316,2715906579,90182513,2712900776,2712900776,0,93185342,3005800,90179542,2974,3,2971,2712900776,0,90424334,87507617,2742430,2653966,18578,17959,175039161,5998857,175233411,5804607,175039161,175039161,0,5998687,194250,5804437,170,0,170,175039161,0,5834599,5645553,163688,158500,400,384
19327352832,5874811010,2845611530,183587853,2845611627,2751109302,94502228,2754157369,91454161,2751109302,2751109302,0,94499214,3048064,91451150,3014,3,3011,2751109302,0,91698025,88740328,2782238,2692500,18951,18322,177504345,6083508,177701291,5886562,177504345,177504345,0,6083335,196946,5886389,173,0,173,177504345,0,5916739,5725078,166184,160915,412,396
19595788288,5956405481,2885133917,186137672,2885133892,2789317193,95816724,2792407493,92726424,2789317193,2789317193,0,95813673,3090297,92723376,3051,3,3048,2789317193,0,92972127,89973539,2822195,2731131,19351,18706,179969588,6168084,180169252,5968420,179969588,179969588,0,6167909,199664,5968245,175,0,175,179969588,0,5998777,5804475,168711,163365,421,405
19864223744,6038000059,2924656332,188687511,2924656216,2827527687,97128645,2830660496,93995836,2827527687,2827527687,0,97125546,3132806,93992740,3099,3,3096,2827527687,0,94243717,91203871,2862106,2769800,19723,19069,182434726,6252785,182637095,6050416,182434726,182434726,0,6252604,202369,6050235,181,0,181,182434726,0,6080983,5884070,171187,165748,434,417
20132659200,6119594638,2964178744,191237329,2964178565,2865736621,98442123,2868911698,95267046,2865736621,2865736621,0,98438979,3175074,95263905,3144,3,3141,2865736621,0,95516916,92436115,2901925,2808317,20138,19473,184900221,6337108,185105371,6131958,184900221,184900221,0,6336925,205150,6131775,183,0,183,184900221,0,6162897,5963287,173585,168062,443,426
20401094656,6201189142,3003701071,193787202,3003700869,2903945215,99755856,2907162674,96538397,2903945215,2903945215,0,99752663,3217456,96535207,3193,3,3190,2903945215,0,96789833,93667989,2942274,2847342,20556,19876,187365771,6421431,187573720,6213482,187365771,187365771,0,6421246,207949,6213297,185,0,185,187365771,0,6244672,6042360,176120,170501,454,436
20669530112,6282783755,3043223379,196337069,3043223307,2942152968,101070411,2945412935,97810444,2942152968,2942152968,0,101067175,3259963,97807212,3236,4,3232,2942152968,0,98063784,94900786,2982432,2886161,20959,20265,189831280,6505789,190041941,6295128,189831280,189831280,0,6505600,210661,6294939,189,0,189,189831280,0,6326482,6121543,178649,172945,469,451
20937965568,6364378340,3082745771,198886881,3082745688,2980360389,102385382,2983663149,99082622,2980360389,2980360389,0,102382098,3302756,99079342,3284,4,3280,2980360389,0,99337724,96133256,3022996,2925409,21378,20677,192296181,6590700,192509597,6377284,192296181,192296181,0,6590508,213416,6377092,192,0,192,192296181,0,6408857,6201247,181165,175378,486,467
21206401024,6445972916,3122268278,201436693,3122267945,3018568896,103699382,3021913948,100354330,3018568896,3018568896,0,103696057,3345048,100351009,3325,4,3321,3018568896,0,100611787,97366359,3062498,2963586,21772,21064,194761024,6675669,194977189,6459504,194761024,194761024,0,6675474,216165,6459309,195,0,195,194761024,0,6491367,6281106,183608,177723,499,480
21474836480,6527567585,3161790641,203986517,3161790427,3056775181,105015460,3060162448,101628193,3056775181,3056775181,0,105012091,3387263,101624828,3369,4,3365,3056775181,0,101887418,98601050,3102482,3002309,22191,21469,197226161,6760356,197445116,6541401,197226161,197226161,0,6760159,218955,6541204,197,0,197,197226161,0,6573560,6360594,186082,180112,517,498
21743271936,6609162256,3201312980,206536356,3201312920,3094984862,106328118,3098414553,102898427,3094984862,3094984862,0,106324707,3429687,102895020,3411,4,3407,3094984862,0,103159967,99832538,3142149,3040627,22591,21855,199690823,6845533,199912433,6623923,199690823,199690823,0,6845334,221610,6623724,199,0,199,199690823,0,6656204,6440652,188605,182567,525,505
