boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_rank_3,inert_rank_3_inc,inert_rank_3_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,inert_cyclic_5,inert_cyclic_5_rank_same,inert_cyclic_6,inert_cyclic_6_rank_same,inert_cyclic_7,inert_cyclic_7_rank_same,inert_cyclic_8,inert_cyclic_8_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_rank_3,ramified_rank_3_inc,ramified_rank_3_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same,ramified_cyclic_5,ramified_cyclic_5_rank_same,ramified_cyclic_6,ramified_cyclic_6_rank_same,ramified_cyclic_7,ramified_cyclic_7_rank_same
268435456,81594634,33997749,13599099,33997786,25916075,8081674,27513453,6484296,25916075,25916075,0,8015368,1594729,6420639,66281,2649,63632,25,0,25,25916075,0,6424942,5147071,1288567,1032299,256898,205327,41860,33427,3057,2479,44,36,0,0,0,0,10373317,3225782,11006100,2592999,10373317,10373317,0,3199775,631873,2567902,25997,910,25087,10,0,10,10373317,0,2569362,2061721,514504,413321,101374,81162,13908,11199,627,499,0,0,0,0
536870912,163189216,67995488,27198190,67995538,51813441,16182047,55013767,12981721,51813441,51813441,0,16048160,3195016,12853144,133843,5310,128533,44,0,44,51813441,0,12857796,10298837,2576492,2063030,514889,412083,90719,72540,8060,6493,204,161,0,0,0,0,20736740,6461450,22006226,5191964,20736740,20736740,0,6408616,1267573,5141043,52821,1913,50908,13,0,13,20736740,0,5139811,4122978,1030461,826922,204276,163764,32187,25909,1877,1469,4,1,0,0
805306368,244783758,101993192,40797312,101993254,77704399,24288793,82510468,19482724,77704399,77704399,0,24086621,4798009,19288612,202111,8059,194052,61,1,60,77704399,0,19297688,15454473,3861746,3091975,771461,617558,141069,112823,14276,11473,381,310,0,0,0,0,31098267,9699045,33007534,7789778,31098267,31098267,0,9619255,1906318,7712937,79771,2949,76822,19,0,19,31098267,0,7712325,6183407,1544585,1239219,308082,246878,50691,40612,3545,2802,27,19,0,0
1073741824,326378404,135991015,54396429,135990960,103591813,32399202,110003891,25987124,103591813,103591813,0,32129129,6401383,25727746,269991,10694,259297,82,1,81,103591813,0,25737172,20610267,5150337,4123879,1028731,823410,191055,152676,21173,16979,661,535,0,0,0,0,41457917,12938512,44006489,10389940,41457917,41457917,0,12831826,2544653,10287173,106659,3919,102740,27,0,27,41457917,0,10285323,8244922,2059095,1651696,411977,330220,69991,56026,5392,4273,48,36,0,0
1342177280,407973015,169988713,67995535,169988767,129470814,40517899,137491100,32497613,129470814,129470814,0,40179256,8006884,32172372,338540,13399,325141,103,3,100,129470814,0,32183087,25770809,6438344,5154767,1287423,1030513,241276,192931,28126,22532,1000,820,0,0,0,0,51812925,16182610,55002359,12993176,51812925,51812925,0,16049094,3184471,12864623,133487,4963,128524,29,0,29,51812925,0,12862281,10309525,2574391,2064457,515118,412828,89773,71850,7451,5901,80,62,0,0
1610612736,489567600,203986515,81594572,203986513,155351616,48634899,164980286,39006229,155351616,155351616,0,48228103,9612568,38615535,406673,16099,390574,123,3,120,155351616,0,38627304,30929135,7726423,6186138,1545337,1237073,292369,233826,35252,28211,1418,1152,0,0,0,0,62168059,19426513,65998595,15595977,62168059,62168059,0,19266124,3824596,15441528,160351,5940,154411,38,0,38,62168059,0,15439018,12373371,3089952,2477501,617508,494910,109899,87967,9623,7683,124,96,0,0
1879048192,571162106,237984212,95193671,237984223,181237224,56746988,192473483,45510729,181237224,181237224,0,56271963,11217421,45054542,474878,18834,456044,147,4,143,181237224,0,45069295,36085890,9011755,7215526,1802630,1442665,343803,274865,42620,34094,1860,1502,0,0,0,0,72522526,22671145,76993980,18199691,72522526,72522526,0,22483602,4464461,18019141,187496,6993,180503,47,0,47,72522526,0,18014805,14436157,3606121,2891743,720454,577423,130060,104087,11986,9594,176,137,0,0
2147483648,652756663,271981907,108792817,271981939,207111444,64870463,219957849,52024058,207111444,207111444,0,64327045,12824890,51502155,543245,21511,521734,173,4,169,207111444,0,51517175,41247822,10300779,8246435,2061009,1649666,395533,316225,50204,40113,2345,1894,0,0,0,0,82880321,25912496,87992555,20800262,82880321,82880321,0,25698127,5104215,20593912,214317,8019,206298,52,0,52,82880321,0,20589623,16498220,4120544,3304152,822995,659495,150359,120319,14371,11535,235,191,0,0
2415919104,734351293,305979729,122391866,305979698,232987495,72992234,247443205,58536524,232987495,232987495,0,72380117,14431580,57948537,611930,24126,587804,187,4,183,232987495,0,57963187,46407221,11589950,9278811,2318843,1856194,447070,357480,58226,46532,2841,2299,0,0,0,0,93235789,29156077,98988958,23402908,93235789,93235789,0,28914808,5744094,23170714,241209,9075,232134,60,0,60,93235789,0,23164800,18561172,4635619,3716709,926542,742502,170503,136394,17044,13693,300,244,0,0
2684354560,815945969,339977419,135991026,339977524,258860820,81116599,274927861,65049558,258860820,258860820,0,80435677,16040239,64395438,680710,26798,653912,212,4,208,258860820,0,64411599,51567598,12879889,10311406,2576256,2062326,498151,398335,66432,53075,3350,2698,0,0,0,0,103591274,32399752,109984923,26006103,103591274,103591274,0,32131505,6383556,25747949,268178,10093,258085,69,0,69,103591274,0,25741033,20625272,5149842,4128756,1029753,825069,190754,152694,19720,15828,403,330,0,0
2952790016,897540596,373975261,149590137,373975198,284735589,89239672,302413389,71561872,284735589,284735589,0,88490421,17648253,70842168,749021,29541,719480,230,6,224,284735589,0,70857975,56726698,14169541,11343753,2835066,2269593,549068,439172,74880,59825,3891,3127,0,0,0,0,113941903,35648234,120977578,28612559,113941903,113941903,0,35352842,7024564,28328278,295316,11111,284205,76,0,76,113941903,0,28320400,22691263,5665530,4541696,1132900,907937,211071,168939,22415,18016,526,427,0,0
3221225472,979135255,407973031,163189213,407973011,310618391,97354640,329905870,78067161,310618391,310618391,0,96537290,19255141,77282149,817103,32331,784772,247,7,240,310618391,0,77297947,61880765,15458345,12374895,3092578,2475877,600567,480481,83373,66539,4480,3592,0,0,0,0,124296231,38892982,131973511,31215702,124296231,124296231,0,38570356,7665078,30905278,322548,12202,310346,78,0,78,124296231,0,30896148,24753917,6181002,4954733,1235839,990514,231500,185354,25208,20225,659,535,0,0
3489660928,1060729747,441970826,176788251,441970670,336489987,105480839,357390022,84580804,336489987,336489987,0,104594490,20864970,83729520,886077,35058,851019,272,7,265,336489987,0,83746301,67040275,16748589,13407706,3350481,2682390,652015,521617,92052,73472,5050,4058,2,2,0,0,134647236,42141015,142967265,33820986,134647236,134647236,0,41791394,8306775,33484619,349535,13254,336281,86,0,86,134647236,0,33476044,26820018,6695984,5366728,1338758,1073125,251931,201733,27887,22376,790,639,0,0
3758096384,1142324300,475968483,190387342,475968475,362364741,113603742,384877915,91090568,362364741,362364741,0,112648941,22475445,90173496,954499,37722,916777,302,7,295,362364741,0,90192857,72197947,18038528,14439272,3608072,2888699,703177,562602,100655,80438,5641,4529,11,9,0,0,145001388,45385954,153962428,36424914,145001388,145001388,0,45009421,8946760,36062661,376440,14280,362160,93,0,93,145001388,0,36052556,28883821,7211259,5779669,1441870,1155725,272211,218132,30615,24584,910,730,0,0
4026531840,1223918932,509966207,203986446,509966279,388238961,121727246,412363141,97603066,388238961,388238961,0,120703433,24083816,96619617,1023492,40357,983135,321,7,314,388238961,0,96639376,77357470,19327499,15470817,3866190,3095334,754912,603756,109178,87229,6262,4999,16,12,0,0,155354373,48632073,164957160,39029286,155354373,155354373,0,48228191,9587469,38640722,403785,15318,388467,97,0,97,155354373,0,38630496,30948730,7725687,6191514,1544767,1238293,292707,234457,33480,26876,1054,852,0,0
4294967296,1305513476,543963867,217585583,543964026,414117882,129845985,439851148,104112719,414117882,414117882,0,128753458,25690155,103063303,1092176,43103,1049073,351,8,343,414117882,0,103083908,82516452,20614213,16500493,4123801,3301458,806711,645154,117900,94206,6903,5522,22,18,0,0,165706085,51879498,175952121,41633462,165706085,165706085,0,51448298,10229618,41218680,431095,16418,414677,105,0,105,165706085,0,41208947,33013359,8240248,6603031,1648566,1321445,312991,250722,36337,29155,1209,968,0,0
4563402752,1387108056,577961711,231184703,577961642,439994957,137966754,467337919,110623792,439994957,439994957,0,136805290,27297109,109508181,1161092,45845,1115247,372,8,364,439994957,0,109528895,87674851,21902560,17531953,4381447,3507866,858248,686333,126553,101104,7552,6045,35,29,0,0,176058832,55125871,186947717,44236986,176058832,176058832,0,54667421,10871392,43796029,458335,17493,440842,115,0,115,176058832,0,43785813,35076060,8756167,7016427,1751220,1403689,333608,267258,39271,31521,1342,1074,0,0
4831838208,1468702640,611959474,244783748,611959418,465862460,146097014,494816855,117142619,465862460,465862460,0,144866833,28905777,115961056,1229787,48607,1181180,394,11,383,465862460,0,115980060,92839060,23192718,18564798,4639996,3714530,910284,727790,135439,108220,8290,6619,46,39,0,0,186409054,58374694,197942200,46841548,186409054,186409054,0,57888880,11514552,46374328,485695,18594,467101,119,0,119,186409054,0,46364317,37140236,9271825,7428850,1854659,1486290,354271,283794,42298,33955,1510,1203,0,0
5100273664,1550297270,645957156,258382871,645957243,491731580,154225576,522295659,123661497,491731580,491731580,0,152926347,30512695,122413652,1298804,51373,1247431,425,11,414,491731580,0,122430644,98003323,24483322,19598105,4896995,3920382,962106,769321,144199,115264,9024,7208,57,49,0,0,196759456,61623415,208934930,49447941,196759456,196759456,0,61110472,12155821,48954651,512812,19653,493159,131,0,131,196759456,0,48943928,39206461,9787258,7841444,1957723,1569014,374625,300081,45279,36329,1659,1322,0,0
5368709120,1631891825,679954900,271981975,679954950,517601481,162353419,549776287,130178613,517601481,517601481,0,160984899,32120672,128864227,1368073,54123,1313950,447,11,436,517601481,0,128879647,103165785,25773188,20630330,5155102,4126766,1014089,811010,153080,122476,9718,7797,75,63,0,0,207108465,64873510,219927151,52054824,207108465,207108465,0,64333054,12797990,51535064,540310,20696,519614,146,0,146,207108465,0,51523723,41272135,10303147,8254744,2060910,1651526,395181,316518,48295,38710,1798,1431,0,0
5637144576,1713486491,713952700,285581114,713952677,543467392,170485308,577252915,136699785,543467392,543467392,0,169047748,33728665,135319083,1437094,56847,1380247,466,11,455,543467392,0,135331052,108329730,27064655,21664630,5413500,4334135,1066025,852552,161985,129587,10438,8373,93,76,0,0,217457477,68123637,230920450,54660664,217457477,217457477,0,67555793,13441185,54114608,567690,21788,545902,154,0,154,217457477,0,54104203,43337509,10818486,8667201,2163886,1734077,415766,333017,51484,41246,1968,1558,0,0
5905580032,1795081019,747950426,299180178,747950415,569339306,178611120,604735664,143214762,569339306,569339306,0,177104930,35336778,141768152,1505700,59568,1446132,490,12,478,569339306,0,141779285,113490391,28353555,22696696,5671934,4541235,1117985,894036,170905,136764,11148,8932,118,98,0,0,227806689,71373489,241912152,57268026,227806689,227806689,0,70778213,14082646,56695567,595112,22817,572295,164,0,164,227806689,0,56684256,45403761,11334011,9080206,2266864,1816520,436256,349565,54685,43819,2141,1696,0,0
6174015488,1876675591,781948158,312779251,781948182,595213299,186734859,632223187,149724971,595213299,595213299,0,185159595,36947476,148212119,1574751,62400,1512351,513,12,501,595213299,0,148225366,118647576,29642072,23727698,5930323,4747678,1169852,935594,179972,143963,11875,9498,135,112,0,0,238156293,74622958,252904792,59874459,238156293,238156293,0,74000213,14724634,59275579,622573,23865,598708,172,0,172,238156293,0,59263309,47468948,11850402,9493739,2369524,1898721,456921,366056,57752,46287,2305,1828,0,0
6442450944,1958270288,815946005,326378410,815945873,621088997,194857008,659708764,156237241,621088997,621088997,0,193213305,38554630,154658675,1643167,65125,1578042,536,12,524,621088997,0,154672440,123809267,30930031,24757404,6187325,4953369,1221753,977169,188954,151218,12647,10118,155,130,0,0,248506627,77871783,263898539,62479871,248506627,248506627,0,77221756,15366973,61854783,649853,24939,624914,174,0,174,248506627,0,61841126,49532630,12366482,9907027,2472969,1981714,477757,382633,60936,48807,2486,1972,0,0
6710886400,2039864898,849943684,339977480,849943734,646964428,202979256,687195269,162748415,646964428,646964428,0,201266986,40162977,161104009,1711717,67851,1643866,553,13,540,646964428,0,161116714,128966799,32219919,25789505,6445260,5159718,1273473,1018659,198000,158428,13429,10745,191,155,0,0,258858304,81119176,274893649,65083831,258858304,258858304,0,80441700,16009316,64432384,677294,26029,651265,182,0,182,258858304,0,64418534,51595566,12881870,10319960,2576148,2064365,498265,398950,64228,51429,2655,2114,0,0
6979321856,2121459561,883941467,353576593,883941501,672843637,211097830,714684305,169257162,672843637,672843637,0,209316453,41770064,167546389,1780805,70591,1710214,572,13,559,672843637,0,167559283,134122774,33507458,26820182,6702788,5365934,1325425,1060244,207078,165709,14201,11365,220,181,0,0,269206544,84370049,285884216,67692377,269206544,269206544,0,83664711,16650520,67014191,705148,27151,677997,190,1,189,269206544,0,66997335,53661055,13398495,10734082,2679724,2147333,518807,415414,67507,54048,2843,2259,0,0
7247757312,2203054191,917939301,367175708,917939182,698717711,219221590,742170919,175768382,698717711,698717711,0,217371485,43379803,173991682,1849522,73392,1776130,583,13,570,698717711,0,174005880,139280120,34795933,27851878,6961085,5572949,1377269,1101653,216063,172884,15006,11996,249,202,0,0,279558776,87616932,296879646,70296062,279558776,279558776,0,86884459,17292709,69591750,732277,28160,704117,196,1,195,279558776,0,69573620,55723323,13915138,11147955,2782706,2229649,539139,431669,70820,56733,3036,2421,0,0
7516192768,2284648697,951936934,380774836,951936927,724594378,227342556,769658597,182278337,724594378,724594378,0,225423342,44988081,180435261,1918608,76125,1842483,606,13,593,724594378,0,180449515,144436924,36084486,28882614,7218657,5779360,1429269,1143203,225316,180259,15809,12661,290,240,0,0,289911666,90863170,307874769,72900067,289911666,289911666,0,90103217,17933884,72169333,759752,29218,730534,201,1,200,289911666,0,72150395,57787237,14430529,11560399,2885596,2311917,559366,447822,74109,59382,3222,2576,0,0
7784628224,2366243312,985934688,394373908,985934716,750468081,235466607,797144080,188790608,750468081,750468081,0,233478260,46597093,186881167,1987713,78892,1908821,634,14,620,750468081,0,186895029,149594798,37374738,29915396,7476111,5985235,1480963,1184618,234535,187572,16562,13281,322,267,0,0,300260787,94113121,318866742,75507166,300260787,300260787,0,93325726,18575648,74750078,787188,30306,756882,207,1,206,300260787,0,74729641,59853107,14946948,11973695,2988503,2394334,579770,464184,77443,62026,3421,2732,0,0
8053063680,2447837796,1019932399,407973028,1019932369,776339955,243592444,824628520,195303879,776339955,776339955,0,241535431,48206856,193328575,2056354,81695,1974659,659,14,645,776339955,0,193343551,154754679,38662848,30946455,7734728,6192162,1532797,1226083,243773,194982,17378,13920,356,294,0,0,310610842,97362186,329859421,78113607,310610842,310610842,0,96547335,19217215,77330120,814637,31363,783274,214,1,213,310610842,0,77307169,61916928,15463895,12388006,3091874,2477168,600006,480420,80807,64741,3584,2857,0,0
8321499136,2529432495,1053930193,421572109,1053930193,802209126,251721067,852109241,201820952,802209126,802209126,0,249595520,49815711,199779809,2124868,84390,2040478,679,14,665,802209126,0,199793799,159917024,39953299,31979669,7991928,6398014,1584591,1267558,253283,202641,18237,14583,383,320,0,0,320960799,100611310,340853255,80718854,320960799,320960799,0,99769179,19859999,79909180,841911,32456,809455,220,1,219,320960799,0,79886035,63981135,15979643,12800974,3194800,2559644,620614,496835,84305,67569,3781,3022,1,1
8589934592,2611027080,1087927923,435171179,1087927978,828082170,259845753,879595783,208332140,828082170,828082170,0,257650906,51426422,206224484,2194144,87177,2106967,703,14,689,828082170,0,206240421,165074720,41242115,33010524,8249917,6604545,1636260,1308892,262648,210158,19131,15303,414,342,0,0,331309470,103861709,351844541,83326638,331309470,331309470,0,102991987,20501454,82490533,869496,33616,835880,226,1,225,331309470,0,82465849,66047162,16495275,13214280,3298056,2642333,641084,513216,87739,70360,3983,3181,1,1
8858370048,2692621746,1121925691,448770248,1121925807,853954063,267971628,907080331,214845360,853954063,853954063,0,265708112,53036327,212671785,2262792,89927,2172865,724,14,710,853954063,0,212688399,170234674,42532111,34042475,8507420,6810577,1687675,1350021,272066,217681,19995,15986,446,371,0,0,341658628,107111620,362837453,85932795,341658628,341658628,0,106214126,21144106,85070020,897257,34718,862539,237,1,236,341658628,0,85044169,68111122,17011525,13627732,3401618,2725167,661424,529574,91209,73087,4180,3337,1,1
9126805504,2774216208,1155923460,462369338,1155923410,879823920,276099540,934564055,221359405,879823920,879823920,0,273767074,54647553,219119521,2331712,92568,2239144,754,14,740,879823920,0,219139277,175395142,43820118,35073034,8765119,7017234,1739747,1391812,281534,225260,20815,16653,464,386,0,0,352008723,110360615,373831245,88538093,352008723,352008723,0,109435287,21786711,87648576,925083,35810,889273,245,1,244,352008723,0,87622835,70175115,17527129,14040637,3504529,2807629,681738,545844,94658,75844,4396,3505,2,2
9395240960,2855810709,1189921147,475968435,1189921127,905690852,284230295,962043150,227877997,905690852,905690852,0,281828513,56256951,225571562,2401012,95333,2305679,770,14,756,905690852,0,225589613,180557441,45112314,36107404,9022153,7223063,1791257,1433100,291003,232796,21686,17354,487,404,0,0,362362568,113605867,384827774,91140661,362362568,362362568,0,112653065,22428315,90224750,952550,36890,915660,252,1,251,362362568,0,90198217,72236863,18042640,14453345,3606968,2889726,702395,562444,98247,78710,4596,3660,2,2
9663676416,2937405376,1223918935,489567515,1223918926,931560806,292358129,989523553,234395382,931560806,931560806,0,289887534,57864697,232022837,2469812,98036,2371776,783,14,769,931560806,0,232037665,185719138,46402705,37140548,9280356,7429746,1843139,1474494,300539,240393,22613,18087,517,431,0,0,372714793,116852722,395824018,93743497,372714793,372714793,0,115872574,23071277,92801297,979886,37947,941939,262,1,261,372714793,0,92775834,74299543,18557728,14865778,3709519,2971740,722950,578913,101724,81483,4817,3838,2,2
9932111872,3018999942,1257916566,503166669,1257916707,957431321,300485245,1017004084,240912482,957431321,957431321,0,297945463,59471929,238473534,2538979,100820,2438159,803,14,789,957431321,0,238486534,190881380,47691158,38172436,9538734,7636444,1895013,1516138,309958,247872,23520,18812,546,452,0,0,383067562,120099107,406820920,96345749,383067562,383067562,0,119091240,23714339,95376901,1007596,39018,968578,271,1,270,383067562,0,95351414,76360733,19073061,15278005,3813140,3054601,743437,595346,105177,84220,5009,3994,2,2
10200547328,3100594579,1291914368,516765751,1291914460,983293865,308620503,1044481469,247432899,983293865,983293865,0,306011350,61084093,244927257,2608336,103497,2504839,817,14,803,983293865,0,244940273,196044703,48983193,39206474,9796699,7843070,1946526,1557393,319621,255589,24458,19549,580,479,0,0,393418421,123347330,417814541,98951210,393418421,393418421,0,122311666,24355975,97955691,1035382,40144,995238,282,1,281,393418421,0,97929102,78424404,19588448,15691029,3916451,3137446,763788,611619,108678,87039,5196,4151,3,3
10468982784,3182189198,1325912174,530364857,1325912167,1009160729,316751445,1071961274,253950900,1009160729,1009160729,0,314073240,62694326,251378914,2677369,106205,2571164,836,14,822,1009160729,0,251392888,201208242,50272373,40238172,10054426,8049538,1998376,1598893,329201,263313,25372,20256,604,500,0,0,403764870,126599987,428805449,101559408,403764870,403764870,0,125536471,24999343,100537128,1063227,41234,1021993,289,2,287,403764870,0,100511419,80491934,20103591,16103184,4019703,3219927,784103,627902,112221,89842,5431,4336,3,3
10737418240,3263783621,1359909897,543963846,1359909878,1035025686,324884211,1099440604,260469293,1035025686,1035025686,0,322136941,64305990,257830951,2746410,108913,2637497,860,15,845,1035025686,0,257845587,206371464,51562050,41269737,10313549,8257042,2049995,1640153,338826,271060,26293,20969,641,526,0,0,414114185,129849661,439798720,104165126,414114185,414114185,0,128758423,25642306,103116117,1090943,42227,1048716,295,2,293,414114185,0,103090782,82556057,20618989,16516021,4122551,3302415,804780,644464,115657,92632,5659,4523,5,5
11005853696,3345378373,1393907635,557563064,1393907674,1060892202,333015433,1126919229,266988406,1060892202,1060892202,0,330198953,65915401,264283552,2815605,111611,2703994,875,15,860,1060892202,0,264295781,211534237,52853246,42302997,10571983,8463754,2101679,1681583,348420,278751,27173,21680,671,550,0,0,424464329,133098735,450792161,106770903,424464329,424464329,0,131980155,26284533,105695622,1118279,43297,1074982,301,2,299,424464329,0,105668795,84619865,21135344,16929608,4225726,3385155,825302,660939,119067,95329,5913,4718,8,8
11274289152,3426972901,1427905385,571162114,1427905402,1086757201,341148184,1154398108,273507277,1086757201,1086757201,0,338261824,67526499,270735325,2885463,114393,2771070,897,15,882,1086757201,0,270748707,216697581,54143510,43335627,10829653,8669933,2152989,1722638,358181,286551,28091,22428,693,567,0,0,434815033,136347081,461787742,109374372,434815033,434815033,0,135201325,26928330,108272995,1145452,44377,1101075,304,2,302,434815033,0,108248172,86683748,21650109,17341511,4328453,3467322,845912,677359,122522,98146,6149,4901,8,8
11542724608,3508567522,1461903078,584761234,1461903210,1112623806,349279272,1181878695,280024383,1112623806,1112623806,0,346323638,69137604,277186034,2954707,117270,2837437,927,15,912,1112623806,0,277198853,221859211,55435246,44368515,11087253,8876016,2204565,1764091,367942,294411,29062,23203,717,587,0,0,445165447,139595787,472780975,111980259,445165447,445165447,0,138422601,27570132,110852469,1172877,45394,1127483,309,2,307,445165447,0,110826041,88748347,22165516,17753884,4431954,3550228,866734,694003,125962,100912,6385,5086,9,9
11811160064,3590162225,1495900960,598360299,1495900966,1138493634,357407326,1209359702,286541258,1138493634,1138493634,0,354382228,70745998,283636230,3024153,120055,2904098,945,15,930,1138493634,0,283645737,227019066,56726084,45401697,11345661,9083248,2256282,1805460,377689,302175,30028,23973,747,611,0,0,455515019,142845280,483774636,114585663,455515019,455515019,0,141644863,28213195,113431668,1200101,46420,1153681,316,2,314,455515019,0,113405884,90813097,22680629,18166261,4535018,3632899,887271,710456,129441,103675,6609,5269,11,11
12079595520,3671756731,1529898655,611959427,1529898649,1164364406,365534249,1236841564,293057091,1164364406,1164364406,0,362440293,72354368,290085925,3092992,122775,2970217,964,15,949,1164364406,0,290094403,232180239,58015442,46434072,11603065,9289213,2307845,1846808,387777,310237,31002,24736,759,620,0,0,465862293,146097134,494765255,117194172,465862293,465862293,0,144869043,28855436,116013607,1227767,47524,1180243,324,2,322,465862293,0,115986808,92879807,23196607,18579372,4637917,3715548,908007,726995,132807,106389,6883,5482,14,14
12348030976,3753351308,1563896393,625558504,1563896411,1190230357,373666036,1264320700,299575693,1190230357,1190230357,0,370503478,73964845,296538633,3161565,125482,3036083,993,16,977,1190230357,0,296545910,237343493,59305950,47466745,11861728,9495926,2359425,1888151,397704,318162,31976,25515,785,641,0,0,476209979,149348525,505756999,119801505,476209979,476209979,0,148093055,29498465,118594590,1255135,48553,1206582,335,2,333,476209979,0,118566745,94945594,23712456,18991943,4741627,3798593,928713,743526,136348,109224,7150,5695,16,15
12616466432,3834945902,1597894153,639157653,1597894096,1216099660,381794493,1291801230,306092923,1216099660,1216099660,0,378562459,75573396,302989063,3231018,128158,3102860,1016,16,1000,1216099660,0,302993832,242503763,60597317,48501054,12119465,9702067,2410666,1929233,407372,325945,32994,26335,813,666,0,0,486559100,152598553,516750853,122406800,486559100,486559100,0,151315667,30142121,121173546,1282542,49630,1232912,344,2,342,486559100,0,121145272,97009333,24229008,19405050,4844864,3881188,949226,760041,139878,112034,7402,5884,17,16
12884901888,3916540453,1631891879,652756742,1631891832,1241968540,389923339,1319282205,312609674,1241968540,1241968540,0,386622500,77182717,309439783,3299802,130932,3168870,1037,16,1021,1241968540,0,309443536,247665302,61887684,49533896,12377248,9908633,2461947,1970309,417206,333793,34032,27156,847,694,0,0,496908133,155848609,527745116,125011626,496908133,496908133,0,154538240,30786296,123751944,1310022,50685,1259337,347,2,345,496908133,0,123724777,99073429,24744844,19817626,4947784,3963382,969841,776633,143310,114758,7665,6098,19,18
13153337344,3998134954,1665889499,666355906,1665889549,1267842380,398047119,1346769975,319119524,1267842380,1267842380,0,394677117,78793829,315883288,3368947,133749,3235198,1055,17,1038,1267842380,0,315889710,252822147,63175801,50564151,12635226,10115058,2513381,2011472,427024,341728,35092,28010,883,722,0,0,507258303,159097603,538739468,127616438,507258303,507258303,0,157759737,31429411,126330326,1337513,51752,1285761,353,2,351,507258303,0,126304037,101137931,25259213,20229417,5051262,4045909,990454,793185,146815,117559,7935,6306,21,19
13421772800,4079729567,1699887325,679954943,1699887299,1293715842,406171483,1374255187,325632138,1293715842,1293715842,0,402732394,80402796,322329598,3438013,136532,3301481,1076,17,1059,1293715842,0,322336612,257981032,64464212,51595789,12892946,10321209,2564598,2052234,436905,349678,36213,28914,908,742,0,0,517607626,162347317,549732550,130222393,517607626,517607626,0,160981860,32072031,128909829,1365097,52891,1312206,360,2,358,517607626,0,128882752,103201833,25775063,20642690,5154232,4128523,1011196,809774,150369,120444,8225,6544,23,21
13690208256,4161324184,1733885117,693554001,1733885066,1319584203,414300914,1401737075,332148042,1319584203,1319584203,0,410793040,82013553,328779487,3506773,139302,3367471,1101,17,1084,1319584203,0,328785681,263141732,65755076,52628527,13151229,10527702,2616138,2093511,446720,357496,37263,29758,933,761,0,0,527955814,165598187,560724447,132829554,527955814,527955814,0,164205072,32714712,131490360,1392748,53919,1338829,367,2,365,527955814,0,131462486,105266966,26290820,21055959,5257423,4211027,1031897,826322,153933,123305,8485,6756,28,25
13958643712,4242918770,1767882824,707153123,1767882823,1345446751,422436073,1429213165,338669659,1345446751,1345446751,0,418858849,83624218,335234631,3576103,142178,3433925,1121,18,1103,1345446751,0,335239905,268307103,67045542,53661200,13409731,10734470,2667755,2134978,456574,365448,38377,30647,965,785,0,0,538301809,168851314,571714650,135438473,538301809,538301809,0,167430500,33357840,134072660,1420440,54999,1365441,374,2,372,538301809,0,134043379,107333779,26807326,21469232,5360917,4293708,1052623,842825,157487,126147,8739,6943,29,26
14227079168,4324513465,1801880568,720752292,1801880605,1371309268,430571300,1456689667,345190901,1371309268,1371309268,0,426924856,85235430,341689426,3645301,144951,3500350,1143,18,1125,1371309268,0,341694640,273472132,68336555,54694805,13667752,10940939,2719164,2175970,466357,373320,39389,31448,999,812,0,0,548650239,172102053,582708217,138044075,548650239,548650239,0,170653984,34001898,136652086,1447688,56078,1391610,381,2,379,548650239,0,136623561,109398150,27323574,21882375,5463646,4376163,1073112,859190,161050,129021,9008,7159,33,28
14495514624,4406108058,1835878309,734351370,1835878379,1397173567,438704742,1484166515,351711794,1397173567,1397173567,0,434989317,86845186,348144131,3714259,147743,3566516,1166,19,1147,1397173567,0,348147020,278637244,69629007,55728879,13925251,11146929,2770379,2216815,476242,381188,40399,32245,1019,831,0,0,558996685,175354685,593698004,140653366,558996685,558996685,0,173879441,34644211,139235230,1474858,57106,1417752,386,2,384,558996685,0,139205087,111465113,27839554,22295802,5566918,4459025,1094020,876052,164532,131818,9296,7391,34,29
