boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_rank_3,inert_rank_3_inc,inert_rank_3_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,inert_cyclic_5,inert_cyclic_5_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same
268435456,81594634,37883212,5828206,37883216,34771601,3111611,35011145,2872067,34771601,34771601,0,3110342,239539,2870803,1269,5,1264,0,0,0,34771601,0,2891113,2668426,212951,196579,6278,5798,0,0,0,0,5352736,475470,5389263,438943,5352736,5352736,0,475288,36526,438762,182,1,181,5352736,0,444141,410136,30629,28152,518,474,0,0
536870912,163189216,75766398,11656381,75766437,69532239,6234159,70011638,5754760,69532239,69532239,0,6231573,479388,5752185,2586,11,2575,0,0,0,69532239,0,5782888,5338021,432829,399510,15834,14633,22,21,0,0,10701406,954975,10774555,881826,10701406,10701406,0,954575,73146,881429,400,3,397,10701406,0,889417,821384,63696,58700,1462,1345,0,0
805306368,244783758,113649669,17484523,113649566,104289868,9359801,105010010,8639659,104289868,104289868,0,9355840,720123,8635717,3961,19,3942,0,0,0,104289868,0,8675242,8007384,653790,603545,26741,24727,67,61,0,0,16050265,1434258,16160270,1324253,16050265,16050265,0,1433650,110000,1323650,608,5,603,16050265,0,1334082,1231869,96949,89346,2619,2435,0,0
1073741824,326378404,151532763,23312763,151532878,139045470,12487293,140006391,11526372,139045470,139045470,0,12481945,960891,11521054,5348,30,5318,0,0,0,139045470,0,11568268,10677403,875102,807944,38441,35587,134,120,0,0,21396386,1916377,21543526,1769237,21396386,21396386,0,1915575,147134,1768441,802,6,796,21396386,0,1780937,1644213,130700,120563,3937,3665,1,0
1342177280,407973015,189416031,29140934,189416050,173801604,15614427,175003674,14412357,173801604,173801604,0,15607720,1202032,14405688,6707,38,6669,0,0,0,173801604,0,14458721,13344947,1098150,1013752,50639,46802,210,187,0,0,26743765,2397169,26928032,2212902,26743765,26743765,0,2396141,184260,2211881,1028,7,1021,26743765,0,2226025,2054901,164829,152057,5283,4921,4,2
1610612736,489567600,227299303,34969086,227299211,208555175,18744128,209998523,17300780,208555175,208555175,0,18736036,1443301,17292735,8092,47,8045,0,0,0,208555175,0,17352136,16015222,1320410,1218847,63185,58389,305,277,0,0,32090679,2878407,32311795,2657291,32090679,32090679,0,2877178,221109,2656069,1229,7,1222,32090679,0,2671184,2466033,199237,183764,6750,6267,7,5
1879048192,571162106,265182395,40797284,265182427,243308423,21873972,244992520,20189875,243308423,243308423,0,21864539,1684043,20180496,9433,54,9379,0,0,0,243308423,0,20245846,18685987,1542108,1423772,76183,70370,402,367,0,0,37438689,3358595,37697201,3100083,37438689,37438689,0,3357175,258502,3098673,1420,10,1410,37438689,0,3115538,2875732,233318,215233,8309,7700,10,8
2147483648,652756663,303065589,46625491,303065583,278061601,25003988,279986191,23079398,278061601,278061601,0,24993166,1924532,23068634,10822,58,10764,0,0,0,278061601,0,23138682,21356491,1764359,1628934,89597,82728,528,481,0,0,42785331,3840160,43080622,3544869,42785331,42785331,0,3838508,295278,3543230,1652,13,1639,42785331,0,3561359,3287528,267287,246560,9850,9132,12,10
2415919104,734351293,340948863,52453631,340948799,312813733,28135130,314979601,25969262,312813733,312813733,0,28122937,2165799,25957138,12193,69,12124,0,0,0,312813733,0,26032846,24027418,1986281,1833857,103158,95266,652,597,0,0,48132986,4320645,48465346,3988285,48132986,48132986,0,4318800,332347,3986453,1845,13,1832,48132986,0,4006173,3698005,301093,277762,11516,10670,18,16
2684354560,815945969,378832082,58281853,378832034,347565470,31266612,349972182,28859900,347565470,347565470,0,31253063,2406632,28846431,13549,80,13469,0,0,0,347565470,0,28927061,26698815,2208585,2039192,116615,107695,802,729,0,0,53479526,4802327,53849105,4432748,53479526,53479526,0,4800261,369563,4430698,2066,16,2050,53479526,0,4451748,4109186,335276,309246,13214,12245,23,21
2952790016,897540596,416715187,64110088,416715321,382317640,34397547,384965686,31749501,382317640,382317640,0,34382604,2647960,31734644,14943,86,14857,0,0,0,382317640,0,31820369,29369088,2430975,2244358,130310,120331,950,867,0,0,58826439,5283649,59233128,4876960,58826439,58826439,0,5281368,406672,4874696,2281,17,2264,58826439,0,4897152,4520299,369229,340513,14958,13857,29,27
3221225472,979135255,454598442,69938268,454598545,417067367,37531075,419957230,34641212,417067367,417067367,0,37514731,2889770,34624961,16344,93,16251,0,0,0,417067367,0,34715391,32040764,2653849,2449884,144415,133327,1076,986,0,0,64173036,5765232,64616544,5321724,64173036,64173036,0,5762765,443490,5319275,2467,18,2449,64173036,0,5342616,4931656,403403,372110,16710,15475,36,34
3489660928,1060729747,492481678,75766428,492481641,451817720,40663958,454948776,37532902,451817720,451817720,0,40646225,3130954,37515271,17733,102,17631,0,0,0,451817720,0,37610745,34713037,2875648,2654674,158590,146418,1242,1142,0,0,69518314,6248114,69998733,5767695,69518314,69518314,0,6245443,480400,5765043,2671,19,2652,69518314,0,5789274,5344179,437676,403750,18454,17077,39,37
3758096384,1142324300,530364850,81594571,530364879,486565792,43799058,489937427,40427423,486565792,486565792,0,43779951,3371524,40408427,19107,111,18996,0,0,0,486565792,0,40507547,37387580,3098274,2860136,172710,159400,1420,1311,0,0,74864919,6729652,75382393,6212178,74864919,74864919,0,6726763,517451,6209312,2889,23,2866,74864919,0,6234517,5755125,471911,435380,20290,18764,45,43
4026531840,1223918932,568248143,87422768,568248021,521318013,46930130,524929868,43318275,521318013,521318013,0,46909628,3611733,43297895,20502,122,20380,0,0,0,521318013,0,43399322,40057384,3321621,3066376,187047,172625,1638,1510,0,0,80212014,7210754,80766469,6656299,80212014,80212014,0,7207646,554429,6653217,3108,26,3082,80212014,0,6679285,6165595,506217,467140,22096,20437,48,45
4294967296,1305513476,606131397,93250928,606131151,556066128,50065269,559919396,46212001,556066128,556066128,0,50043382,3853143,46190239,21887,125,21762,0,0,0,556066128,0,46295570,42730531,3544622,3272235,201338,185764,1852,1709,0,0,85559174,7691754,86150370,7100558,85559174,85559174,0,7688427,591169,7097258,3327,27,3300,85559174,0,7123989,6576278,540431,498754,23951,22173,56,53
4563402752,1387108056,644014482,99079122,644014452,590815021,53199461,594908845,49105637,590815021,590815021,0,53176168,4093695,49082473,23293,129,23164,0,0,0,590815021,0,49191709,45404203,3766567,3477161,215827,199198,2065,1911,0,0,90905652,8173470,91533614,7545508,90905652,90905652,0,8169931,627933,7541998,3539,29,3510,90905652,0,7569356,6987622,574666,530384,25845,23932,64,60
4831838208,1468702640,681897628,104907312,681897700,625561544,56336084,629896458,52001170,625561544,625561544,0,56311388,4334781,51976607,24696,133,24563,0,0,0,625561544,0,52088923,48078812,3989537,3682831,230661,212861,2267,2103,0,0,96251285,8656027,96916417,7990895,96251285,96251285,0,8652286,665102,7987184,3741,30,3711,96251285,0,8015261,7399065,609193,562363,27757,25687,75,69
5100273664,1550297270,719780862,110735516,719780892,660313578,59467284,664888817,54892045,660313578,660313578,0,59441207,4575094,54866113,26077,145,25932,0,0,0,660313578,0,54981884,50749641,4211503,3887775,245342,226400,2478,2297,0,0,101599794,9135722,102301651,8433865,101599794,101599794,0,9131764,701824,8429940,3958,33,3925,101599794,0,8458810,7808655,643097,593657,29775,27552,82,76
5368709120,1631891825,757664116,116563696,757664013,695062731,62601385,699879193,57784923,695062731,695062731,0,62573945,4816313,57757632,27440,149,27291,0,0,0,695062731,0,57876812,53421676,4434220,4093326,260205,240122,2708,2508,0,0,106945967,9617729,107684761,8878935,106945967,106945967,0,9613536,738760,8874776,4193,34,4159,106945967,0,8904093,8219848,677580,625449,31769,29391,94,88
5637144576,1713486491,795547290,122391917,795547284,729809016,65738274,734866440,60680850,729809016,729809016,0,65709465,5057262,60652203,28809,162,28647,0,0,0,729809016,0,60774037,56096250,4657377,4299333,275095,253885,2956,2735,0,0,112292167,10099750,113067961,9323956,112292167,112292167,0,10095323,775759,9319564,4427,35,4392,112292167,0,9349742,8631239,711782,657060,33697,31171,102,94
5905580032,1795081019,833430369,128220126,833430524,764558250,68872119,769855755,63574614,764558250,764558250,0,68841964,5297335,63544629,30155,170,29985,0,0,0,764558250,0,63668224,58768605,4880396,4505343,290167,267742,3177,2939,0,0,117640006,10580120,118452705,9767421,117640006,117640006,0,10575480,812664,9762816,4640,35,4605,117640006,0,9794126,9041452,745615,688294,35622,32962,117,108
6174015488,1876675591,871313586,134048296,871313709,799309473,72004113,804848124,66465462,799309473,799309473,0,71972501,5538474,66434027,31612,177,31435,0,0,0,799309473,0,66560879,61438512,5102892,4710662,305321,281701,3409,3152,0,0,122986488,11061808,123836108,10212188,122986488,122986488,0,11056974,849585,10207389,4834,35,4799,122986488,0,10239622,9452740,779655,719784,37572,34750,125,115
6442450944,1958270288,909196905,139876454,909196929,834060189,75136716,839840035,69356870,834060189,834060189,0,75103751,5779660,69324091,32965,186,32779,0,0,0,834060189,0,69453956,64108702,5325643,4916284,320503,295731,3649,3374,0,0,128332399,11544055,129219010,10657444,128332399,128332399,0,11538993,886575,10652418,5062,36,5026,128332399,0,10685185,9864156,814170,751610,39493,36517,145,135
6710886400,2039864898,947080047,145704664,947080187,868810073,78269974,874830706,72249341,868810073,868810073,0,78235578,6020434,72215144,34396,199,34197,0,0,0,868810073,0,72347815,66780063,5548060,5121592,335815,309902,3888,3587,0,0,133678350,12026314,134602242,11102422,133678350,133678350,0,12021019,923853,11097166,5295,39,5256,133678350,0,11131449,10275919,847907,782746,41509,38358,154,143
6979321856,2121459561,984963323,151532835,984963403,903558428,81404895,909819862,75143461,903558428,903558428,0,81369055,6261229,75107826,35840,205,35635,0,0,0,903558428,0,75243028,69452750,5770735,5327183,351155,324074,4137,3819,0,0,139023588,12509247,139984529,11548306,139023588,139023588,0,12503735,960901,11542834,5512,40,5472,139023588,0,11577784,10688002,882268,814474,43506,40195,177,163
7247757312,2203054191,1022846565,157361065,1022846561,938307296,84539269,944809820,78036745,938307296,938307296,0,84502045,6502311,77999734,37224,213,37011,0,0,0,938307296,0,78138434,72125360,5992811,5532163,366378,338134,4422,4077,0,0,144369901,12991164,145367986,11993079,144369901,144369901,0,12985424,998043,11987381,5740,42,5698,144369901,0,12022939,11098782,916768,846350,45530,42077,187,172
7516192768,2284648697,1060729701,163189258,1060729738,973055205,87674496,979798458,80931243,973055205,973055205,0,87635852,6743034,80892818,38644,219,38425,0,0,0,973055205,0,81033626,74798197,6215844,5737993,381689,352301,4693,4327,0,0,149717166,13472092,150752083,12437175,149717166,149717166,0,13466151,1034871,12431280,5941,46,5895,149717166,0,12467523,11509313,950841,877807,47587,43976,200,184
7784628224,2366243312,1098612948,169017417,1098612947,1007801112,90811836,1014785467,83827481,1007801112,1007801112,0,90771802,6984129,83787673,40034,226,39808,0,0,0,1007801112,0,83930818,77472707,6439100,5944071,396902,366310,4982,4585,0,0,155063154,13954263,156135413,12882004,155063154,155063154,0,13948109,1072213,12875896,6154,46,6108,155063154,0,12913879,11921107,984393,908741,49631,45858,206,190
8053063680,2447837796,1136496043,174845589,1136496164,1042551183,93944860,1049775156,86720887,1042551183,1042551183,0,93903439,7223740,86679699,41421,233,41188,0,0,0,1042551183,0,86824749,80145151,6661211,6149250,412233,380472,5246,4826,0,0,160410307,14435282,161519644,13325945,160410307,160410307,0,14428920,1109291,13319629,6362,46,6316,160410307,0,13358565,12331466,1018499,940239,51631,47718,225,206
8321499136,2529432495,1174379386,180673761,1174379348,1077301230,97078156,1084765855,89613531,1077301230,1077301230,0,97035258,7464386,89570872,42898,239,42659,0,0,0,1077301230,0,89718501,82816619,6883660,6354508,427559,394644,5538,5101,0,0,165756760,14917001,166903116,13770645,165756760,165756760,0,14910435,1146310,13764125,6566,46,6520,165756760,0,13803916,12742592,1052673,971762,53606,49552,240,219
8589934592,2611027080,1212262602,186501908,1212262570,1112046576,100216026,1119751706,92510896,1112046576,1112046576,0,100171637,7704886,92466751,44389,244,44145,0,0,0,1112046576,0,92616735,85492768,7106088,6559788,442990,408835,5824,5360,0,0,171103280,15398628,172286654,14215254,171103280,171103280,0,15391859,1183327,14208532,6769,47,6722,171103280,0,14248841,13153323,1087083,1003524,55678,51450,257,235
8858370048,2692621746,1250145891,192330057,1250145798,1146794272,103351619,1154740476,95405415,1146794272,1146794272,0,103305818,7945953,95359865,45801,251,45550,0,0,0,1146794272,0,95512378,88165771,7328757,6765259,458567,423201,6116,5634,0,0,176449773,15880284,177670416,14659641,176449773,176449773,0,15873311,1220595,14652716,6973,48,6925,176449773,0,14694150,13564197,1121186,1034954,57708,53321,267,244
9126805504,2774216208,1288029035,198158250,1288028923,1181543950,106485085,1189731032,98298003,1181543950,1181543950,0,106437799,8186817,98250982,47286,265,47021,0,0,0,1181543950,0,98405147,90835854,7552164,6971661,474081,437563,6407,5904,0,0,181795779,16362471,183053385,15104865,181795779,181795779,0,16355259,1257558,15097701,7212,48,7164,181795779,0,15139709,13975592,1155448,1066579,59815,55267,287,263
9395240960,2855810709,1325912168,203986448,1325912093,1216290817,109621351,1224720007,101192161,1216290817,1216290817,0,109572682,8428916,101143766,48669,274,48395,0,0,0,1216290817,0,101300728,93507886,7775411,7177645,489833,452051,6710,6184,0,0,187142491,16843957,188437037,15549411,187142491,187142491,0,16836549,1294498,15542051,7408,48,7360,187142491,0,15584800,14386483,1189585,1098123,61855,57161,309,284
9663676416,2937405376,1363795407,209814626,1363795343,1251039561,112755846,1259709366,104086041,1251039561,1251039561,0,112705792,8669524,104036268,50054,281,49773,0,0,0,1251039561,0,104194932,96179882,7998412,7383442,505421,466476,7027,6468,0,0,192488417,17326209,193820229,15994397,192488417,192488417,0,17318590,1331760,15986830,7619,52,7567,192488417,0,16030579,14797855,1223707,1129549,63974,59122,330,304
9932111872,3018999942,1401678672,215642789,1401678481,1285788389,115890283,1294698908,106979764,1285788389,1285788389,0,115838756,8910227,106928529,51527,292,51235,0,0,0,1285788389,0,107089430,98851990,8221079,7589025,520920,480766,7327,6748,0,0,197833207,17809582,199202297,16440492,197833207,197833207,0,17801752,1369038,16432714,7830,52,7778,197833207,0,16477263,15210027,1258104,1161349,66030,61011,355,327
10200547328,3100594579,1439561904,221470991,1439561684,1320537576,119024328,1329689527,109872377,1320537576,1320537576,0,118971407,9151651,109819756,52921,300,52621,0,0,0,1320537576,0,109983000,101522618,8444123,7794868,536635,495220,7649,7050,0,0,203179870,18291121,204585994,16884997,203179870,203179870,0,18283094,1406069,16877025,8027,55,7972,203179870,0,16922353,15620861,1292155,1192790,68217,63033,369,341
10468982784,3182189198,1477445062,227299235,1477444901,1355288025,122157037,1364680941,112764121,1355288025,1355288025,0,122102697,9392603,112710094,54340,313,54027,0,0,0,1355288025,0,112876651,104193791,8665956,7999453,552142,509524,7948,7326,0,0,208524493,18774742,209967680,17331555,208524493,208524493,0,18766503,1443129,17323374,8239,58,8181,208524493,0,17369216,16033504,1326522,1224483,70373,65025,392,362
10737418240,3263783621,1515328022,233127465,1515328134,1390032822,125295200,1399667078,115660944,1390032822,1390032822,0,125239379,9633937,115605442,55821,319,55502,0,0,0,1390032822,0,115774640,106868963,8888646,8204828,567825,524030,8268,7621,0,0,213869772,19257693,215349838,17777627,213869772,213869772,0,19249207,1480007,17769200,8486,59,8427,213869772,0,17815614,16445813,1360729,1256062,72448,66941,416,384
11005853696,3345378373,1553211264,238955655,1553211454,1424782411,128428853,1434658141,118553123,1424782411,1424782411,0,128371596,9875406,118496190,57257,324,56933,0,0,0,1424782411,0,118668164,109539345,9111382,8410425,583459,538502,8591,7918,0,0,219216404,19739251,220733502,18222153,219216404,219216404,0,19730563,1517038,18213525,8688,60,8628,219216404,0,18260783,16856717,1394722,1287466,74624,68943,434,399
11274289152,3426972901,1591094523,244783786,1591094592,1459533758,131560765,1469650000,121444523,1459533758,1459533758,0,131502188,10115912,121386276,58577,330,58247,0,0,0,1459533758,0,121560825,112209844,9333435,8615387,599039,552843,8889,8202,0,0,224562642,20221144,226117196,18666590,224562642,224562642,0,20212243,1554491,18657752,8901,63,8838,224562642,0,18705882,17267195,1429077,1319153,76827,70982,457,422
11542724608,3508567522,1628977765,250611967,1628977790,1494280824,134696941,1504637860,124339905,1494280824,1494280824,0,134636903,10356694,124280209,60038,342,59696,0,0,0,1494280824,0,124457062,114883650,9555828,8820693,614827,567389,9186,8477,0,0,229908701,20703266,231500249,19111718,229908701,229908701,0,20694142,1591485,19102657,9124,63,9061,229908701,0,19151263,17678399,1463317,1350754,79080,73057,482,447
11811160064,3590162225,1666861061,256440145,1666861019,1529029041,137832020,1539627164,127233897,1529029041,1529029041,0,137770543,10597773,127172770,61477,350,61127,0,0,0,1529029041,0,127351799,117555702,9778871,9026506,630350,581771,9523,8791,0,0,235254934,21185211,236883554,19556591,235254934,235254934,0,21175853,1628553,19547300,9358,67,9291,235254934,0,19596494,18089397,1497621,1382387,81236,75052,502,464
12079595520,3671756731,1704744272,262268294,1704744165,1563779568,140964704,1574619036,130125236,1563779568,1563779568,0,140901843,10839110,130062733,62861,358,62503,0,0,0,1563779568,0,130244195,120225172,10001798,9232247,646028,596251,9822,9063,0,0,240601276,21667018,242266956,20001338,240601276,240601276,0,21657417,1665610,19991807,9601,70,9531,240601276,0,20041968,18500647,1531546,1413653,83383,77026,520,481
12348030976,3753351308,1742627462,268096479,1742627367,1598527362,144100100,1609608231,133019231,1598527362,1598527362,0,144035810,11080499,132955311,64290,370,63920,0,0,0,1598527362,0,133139956,122898065,10224090,9437271,661617,610611,10147,9364,0,0,245946497,22149982,247649291,20447188,245946497,245946497,0,22140168,1702722,20437446,9814,72,9742,245946497,0,20488201,18912559,1565876,1445361,85553,79028,538,498
12616466432,3834945902,1780510623,273924688,1780510591,1633276156,147234467,1644597718,135912905,1633276156,1633276156,0,147168771,11321186,135847585,65696,376,65320,0,0,0,1633276156,0,136033808,125569783,10447256,9643214,677235,624919,10472,9669,0,0,251292979,22631709,253032624,20892064,251292979,251292979,0,22621662,1739569,20882093,10047,76,9971,251292979,0,20933409,19323670,1600032,1476945,87663,80961,558,517
12884901888,3916540453,1818393773,279752833,1818393847,1668027514,150366259,1679589832,138803941,1668027514,1668027514,0,150299154,11561933,138737221,67105,385,66720,0,0,0,1668027514,0,138926427,128240278,10669023,9847623,692893,639342,10811,9978,0,0,256639364,23113469,258416118,21336715,256639364,256639364,0,23103203,1776678,21326525,10266,76,10190,256639364,0,21378521,19734416,1634322,1508650,89779,82921,581,538
13153337344,3998134954,1856276939,285581003,1856277012,1702777563,153499376,1714580759,141696180,1702777563,1702777563,0,153430845,11802799,141628046,68531,397,68134,0,0,0,1702777563,0,141819465,130910908,10891521,10052874,708709,653975,11150,10289,0,0,261984338,23596665,263798215,21782788,261984338,261984338,0,23586150,1813799,21772351,10515,78,10437,261984338,0,21824854,20146385,1668683,1540420,92010,84987,603,559
13421772800,4079729567,1894160108,291409270,1894160189,1737527545,156632563,1749572144,144587964,1737527545,1737527545,0,156562636,12044196,144518440,69927,403,69524,0,0,0,1737527545,0,144712265,133580503,11114139,10258598,724722,668708,11510,10631,0,0,267330098,24079172,269180997,22228273,267330098,267330098,0,24068419,1850821,22217598,10753,78,10675,267330098,0,22270426,20557822,1703196,1572230,94172,86966,625,580
13690208256,4161324184,1932043403,297237438,1932043343,1772276659,159766744,1784562475,147480928,1772276659,1772276659,0,159695371,12285403,147409968,71373,413,70960,0,0,0,1772276659,0,147606060,136251449,11336827,10464263,740574,683250,11910,11006,0,0,272674896,24562542,274562981,22674457,272674896,272674896,0,24551571,1888006,22663565,10971,79,10892,272674896,0,22716836,20969960,1737658,1603947,96429,89055,648,603
13958643712,4242918770,1969926517,303065641,1969926612,1807026346,162900171,1819552570,150373947,1807026346,1807026346,0,162827402,12525805,150301597,72769,419,72350,0,0,0,1807026346,0,150499406,138922302,11559194,10669982,756519,697969,12283,11344,0,0,278021964,25043677,279947157,23118484,278021964,278021964,0,25032495,1925114,23107381,11182,79,11103,278021964,0,23161282,21380057,1771891,1635603,98649,91093,673,628
14227079168,4324513465,2007809818,308893817,2007809830,1841773884,166035934,1854541064,153268754,1841773884,1841773884,0,165961757,12766753,153195004,74177,427,73750,0,0,0,1841773884,0,153394668,141595132,11782142,10875630,772314,712570,12633,11672,0,0,283367596,25526221,285330008,23563809,283367596,283367596,0,25514831,1962332,23552499,11390,80,11310,283367596,0,23607136,21791524,1806212,1667254,100787,93073,696,648
14495514624,4406108058,2045692946,314722064,2045693048,1876527109,169165837,1889535044,156157902,1876527109,1876527109,0,169090211,13007494,156082717,75626,441,75185,0,0,0,1876527109,0,156285003,144262984,12004208,11080644,788000,727075,13000,12014,0,0,288714778,26007286,290714024,24008040,288714778,288714778,0,25995671,1999164,23996507,11615,82,11533,288714778,0,24051410,22201778,1840622,1699027,102916,95028,723,674
14763950080,4487702617,2083576136,320550214,2083576267,1911271091,172305045,1924520199,159055937,1911271091,1911271091,0,172228001,13248662,158979339,77044,446,76598,0,0,0,1911271091,0,159182823,146938221,12227890,11286964,803874,741761,13414,12393,0,0,294059807,26490407,296096363,24453851,294059807,294059807,0,26478580,2036474,24442106,11827,82,11745,294059807,0,24497889,22613803,1874813,1730539,105132,97068,746,696
15032385536,4569297319,2121459420,326378388,2121459511,1946019215,175440205,1959509035,161950385,1946019215,1946019215,0,175361650,13489370,161872280,78555,450,78105,0,0,0,1946019215,0,162077675,149610758,12450384,11492323,819803,756460,13788,12739,0,0,299406410,26971978,301480253,24898135,299406410,299406410,0,26959910,2073759,24886151,12068,84,11984,299406410,0,24942836,23024355,1908934,1761939,107376,99144,764,713
15300820992,4650891933,2159342682,332206544,2159342707,1980764846,178577836,1994496136,164846546,1980764846,1980764846,0,178497854,13730831,164767023,79982,459,79523,0,0,0,1980764846,0,164974359,152284623,12673575,11698228,835803,771131,14117,13041,0,0,304752701,27453843,306863627,25342917,304752701,304752701,0,27441556,2110839,25330717,12287,87,12200,304752701,0,25387881,23435041,1943215,1793659,109672,101283,788,734
15569256448,4732486599,2197225945,338034747,2197225907,2015512724,181713221,2029484476,167741469,2015512724,2015512724,0,181631796,13971284,167660512,81425,468,80957,0,0,0,2015512724,0,167869803,154957903,12895811,11903417,851682,785800,14500,13392,0,0,310099641,27935106,312247740,25787007,310099641,310099641,0,27922593,2148011,25774582,12513,88,12425,310099641,0,25832469,23845181,1977364,1825266,111945,103377,815,758
15837691904,4814081145,2235109099,343862896,2235109150,2050263537,184845562,2064477002,170632097,2050263537,2050263537,0,184762743,14212991,170549752,82819,474,82345,0,0,0,2050263537,0,170761566,157626243,13118639,12109215,867692,800586,14846,13708,0,0,315446152,28416744,317631374,26231522,315446152,315446152,0,28404026,2185132,26218894,12718,90,12628,315446152,0,26277409,24255845,2011483,1856727,114286,105532,848,790
16106127360,4895675740,2272992221,349691111,2272992408,2085011483,187980738,2099465821,173526400,2085011483,2085011483,0,187896509,14453856,173442653,84229,482,83747,0,0,0,2085011483,0,173656501,160298598,13340919,12314457,883835,815504,15254,14094,0,0,320794099,28897012,323016639,26674472,320794099,320794099,0,28884094,2222449,26661645,12918,91,12827,320794099,0,26720785,24664779,2045952,1888485,116490,107575,867,806
16374562816,4977270342,2310875476,355519340,2310875526,2119758773,191116703,2134453758,176421718,2119758773,2119758773,0,191031048,14694494,176336554,85655,491,85164,0,0,0,2119758773,0,176551712,162971419,13563852,12520369,899845,830313,15639,14453,0,0,326141090,29378250,328400886,27118454,326141090,326141090,0,29365106,2259703,27105403,13144,93,13051,326141090,0,27165437,25075078,2080071,1919903,118710,109596,888,826
16642998272,5058864917,2348758698,361347529,2348758690,2154509170,194249528,2169445546,179313152,2154509170,2154509170,0,194162456,14935878,179226578,87072,498,86574,0,0,0,2154509170,0,179444599,165641420,13786098,12725396,915737,844960,16022,14802,0,0,331486480,29861049,333783794,27563735,331486480,331486480,0,29847677,2297221,27550456,13372,93,13279,331486480,0,27611401,25486393,2114465,1951594,120893,111614,918,855
16911433728,5140459585,2386641988,367175670,2386641927,2189258180,197383808,2204435768,182206220,2189258180,2189258180,0,197295321,15177081,182118240,88487,507,87980,0,0,0,2189258180,0,182338951,168312840,14008178,12930479,931793,859771,16399,15150,0,0,336833122,30342548,339167547,28008123,336833122,336833122,0,30328986,2334330,27994656,13562,95,13467,336833122,0,28055844,25896569,2149024,1983494,123169,113710,949,883
17179869184,5222054160,2424525140,373003896,2424525124,2224005743,200519397,2239424961,185100179,2224005743,2224005743,0,200429598,15418709,185010889,89799,509,89290,0,0,0,2224005743,0,185233324,170984078,14231479,13136559,948001,874743,16794,15509,0,0,342179396,30824500,344551108,28452788,342179396,342179396,0,30810721,2371613,28439108,13779,99,13680,342179396,0,28501200,26307494,2183059,2014842,125499,115875,963,897
17448304640,5303648711,2462408252,378832081,2462408378,2258757254,203650998,2274416816,187991436,2258757254,2258757254,0,203559826,15659043,187900783,91172,519,90653,0,0,0,2258757254,0,188124114,173652846,14454391,13342481,964112,889560,17209,15896,0,0,347525530,31306551,349933909,28898172,347525530,347525530,0,31292593,2408280,28884313,13958,99,13859,347525530,0,28946261,26718698,2217615,2046744,127720,117942,997,929
17716740096,5385243285,2500291525,384660231,2500291529,2293504796,206786729,2309404712,190886813,2293504796,2293504796,0,206694082,15899389,190794693,92647,527,92120,0,0,0,2293504796,0,191019748,176326246,14676561,13547802,980167,904393,17606,16252,0,0,352871187,31789044,355316684,29343547,352871187,352871187,0,31774877,2445398,29329479,14167,99,14068,352871187,0,29392030,27130201,2251892,2078335,129943,120001,1012,942
17985175552,5466837906,2538174712,390488440,2538174754,2328252467,209922245,2344394015,193780697,2328252467,2328252467,0,209828093,16141015,193687078,94152,533,93619,0,0,0,2328252467,0,193914303,178997552,14899574,13753724,996202,919174,18014,16628,0,0,358216810,32271630,360699366,29789074,358216810,358216810,0,32257233,2482455,29774778,14397,101,14296,358216810,0,29838082,27542091,2285958,2109678,132154,122041,1039,968
18253611008,5548432510,2576057948,396316599,2576057963,2363001425,213056523,2379384110,196673838,2363001425,2363001425,0,212960911,16382149,196578762,95612,536,95076,0,0,0,2363001425,0,196807908,181668448,15122302,13959325,1012270,933974,18431,17015,0,0,363561936,32754663,366081696,30234903,363561936,363561936,0,32740060,2519657,30220403,14603,103,14500,363561936,0,30284313,27953937,2320340,2141406,134340,124065,1067,995
18522046464,5630027122,2613941114,402144813,2613941195,2397752730,216188384,2414376828,199564286,2397752730,2397752730,0,216091386,16623555,199467831,96998,543,96455,0,0,0,2397752730,0,199698527,184336142,15345820,14165584,1028183,948703,18856,17402,0,0,368907835,33236978,371464359,30680454,368907835,368907835,0,33222145,2556417,30665728,14833,107,14726,368907835,0,30730016,28365595,2354394,2172909,136641,126202,1094,1022
