boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same
268435456,81594634,38530796,4533048,38530790,36153825,2376971,36293786,2237010,36153825,36153825,0,2376585,139959,2236626,386,2,384,36153825,0,2258260,2125376,117160,110149,1165,1101,0,0,4255564,277484,4271696,261352,4255564,4255564,0,277440,16132,261308,44,0,44,4255564,0,265263,249829,12129,11433,48,46,0,0
536870912,163189216,77061495,9066083,77061638,72293112,4768383,72573721,4487774,72293112,72293112,0,4767534,280605,4486929,849,4,845,72293112,0,4518844,4252860,245172,230757,3518,3312,0,0,8508771,557312,8541006,525077,8508771,8508771,0,557213,32235,524978,99,0,99,8508771,0,530734,499996,26285,24797,194,185,0,0
805306368,244783758,115592325,13599103,115592330,108433807,7158518,108855045,6737280,108433807,108433807,0,7157195,421233,6735962,1323,5,1318,108433807,0,6776106,6377298,374773,352724,6316,5940,0,0,12762673,836430,12811234,787869,12762673,12762673,0,836282,48561,787721,148,0,148,12762673,0,794968,748718,40954,38660,360,343,0,0
1073741824,326378404,154123147,18132095,154123162,144572577,9550570,145134045,8989102,144572577,144572577,0,9548756,561458,8987298,1814,10,1804,144572577,0,9034315,8503074,504869,475224,9572,9000,0,0,17015292,1116803,17080509,1051586,17015292,17015292,0,1116609,65217,1051392,194,0,194,17015292,0,1060263,998258,55773,52588,573,546,0,0
1342177280,407973015,192653815,22665225,192653975,180712374,11941441,181413672,11240143,180712374,180712374,0,11939147,701288,11237859,2294,10,2284,180712374,0,11290905,10627640,635214,597986,13028,12233,0,0,21267045,1398180,21348866,1316359,21267045,21267045,0,1397938,81821,1316117,242,0,242,21267045,0,1326470,1248740,70673,66619,795,758,0,0
1610612736,489567600,231184689,27198231,231184680,216850981,14333708,217693316,13491373,216850981,216850981,0,14330956,842324,13488632,2752,11,2741,216850981,0,13547866,12751587,766285,721269,16805,15776,0,0,25520225,1678006,25618495,1579736,25520225,25520225,0,1677713,98269,1579444,293,1,292,25520225,0,1591060,1497758,85618,80699,1035,987,0,0
1879048192,571162106,269715441,31731207,269715458,252988826,16726615,253971901,15743540,252988826,252988826,0,16723376,983063,15740313,3239,12,3227,252988826,0,15805315,14876341,897389,844558,20672,19414,0,0,29772462,1958745,29887330,1843877,29772462,29772462,0,1958407,114867,1843540,338,1,337,29772462,0,1856365,1747359,100757,94960,1285,1221,0,0
2147483648,652756663,308246254,36264232,308246177,289128514,19117740,290252089,17994165,289128514,289128514,0,19114047,1123562,17990485,3693,13,3680,289128514,0,18060508,16998963,1028659,968136,24878,23384,2,2,34023266,2240966,34154850,2109382,34023266,34023266,0,2240591,131583,2109008,375,1,374,34023266,0,2122947,1998169,116037,109309,1607,1530,0,0
2415919104,734351293,346776972,40797278,346777043,325263376,21513596,326528697,20248275,325263376,325263376,0,21509462,1265307,20244155,4134,14,4120,325263376,0,20319218,19123950,1161057,1092758,29182,27442,5,5,38274611,2522667,38422757,2374521,38274611,38274611,0,2522238,148144,2374094,429,2,427,38274611,0,2389178,2248740,131142,123530,1918,1824,0,0
2684354560,815945969,385307827,45330339,385307803,361397547,23910280,362804000,22503827,361397547,361397547,0,23905670,1406437,22499233,4610,16,4594,361397547,0,22579088,21250735,1292995,1216907,33579,31583,8,8,42526057,2804282,42690653,2639686,42526057,42526057,0,2803806,164594,2639212,476,2,474,42526057,0,2655106,2499188,146425,137866,2275,2158,0,0
