boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same
2952790016,897540596,423838588,49863372,423838636,397534789,26303799,399081871,24756717,397534789,397534789,0,26298734,1547062,24751672,5065,20,5045,397534789,0,24835870,23374839,1424645,1340880,38203,35938,16,15,46777986,3085386,46959203,2904169,46777986,46777986,0,3084857,181215,2903642,529,2,527,46777986,0,2920580,2748967,161666,152205,2611,2470,0,0
3221225472,979135255,462369417,54396390,462369448,433670864,28698553,435358463,27010954,433670864,433670864,0,28693044,1687578,27005466,5509,21,5488,433670864,0,27094651,25500969,1555685,1464320,42686,40156,22,21,51029360,3367030,51227297,3169093,51029360,51029360,0,3366436,197935,3168501,594,2,592,51029360,0,3186332,2998902,177131,166789,2973,2810,0,0
3489660928,1060729747,500900175,58929440,500900132,469807301,31092874,471636149,29264026,469807301,469807301,0,31086934,1828824,29258110,5940,24,5916,469807301,0,29352160,27625278,1687373,1588226,47367,44573,34,33,55281676,3647764,55495947,3433493,55281676,55281676,0,3647103,214269,3432834,661,2,659,55281676,0,3451479,3248608,192314,181101,3310,3125,0,0
3758096384,1142324300,539430797,63462522,539430981,505944279,33486518,507914543,31516254,505944279,505944279,0,33480127,1970238,31509889,6391,26,6365,505944279,0,31608569,29748261,1819374,1712514,52140,49071,44,43,59532935,3929587,59763703,3698819,59532935,59532935,0,3928864,230766,3698098,723,2,721,59532935,0,3717685,3499203,207493,195421,3686,3474,0,0
4026531840,1223918932,577961664,67995504,577961764,542080680,35880984,544191095,33770569,542080680,542080680,0,35874146,2110388,33763758,6838,27,6811,542080680,0,33864849,31872336,1952120,1837604,57125,53767,52,51,63784322,4211182,64031915,3963589,63784322,63784322,0,4210394,247591,3962803,788,2,786,63784322,0,3983581,3749264,222769,209729,4044,3810,0,0
4294967296,1305513476,616492396,72528549,616492531,578215558,38276838,580466638,36025758,578215558,578215558,0,38269524,2251052,36018472,7314,28,7286,578215558,0,36123108,33997973,2084289,1962025,62057,58405,70,69,68035383,4493166,68299459,4229090,68035383,68035383,0,4492338,264074,4228264,828,2,826,68035383,0,4249888,4000003,238001,224070,4449,4191,0,0
4563402752,1387108056,655023265,77061586,655023205,614352976,40670289,616744112,38279153,614352976,614352976,0,40662489,2391106,38271383,7800,30,7770,614352976,0,38378795,36121555,2216541,2086630,67069,63117,84,81,72286256,4775330,72566987,4494599,72286256,72286256,0,4774449,280729,4493720,881,2,879,72286256,0,4515900,4250296,253680,238833,4869,4591,0,0
4831838208,1468702640,693554055,81594592,693553993,650489724,43064331,653021285,40532770,650489724,650489724,0,43056053,2531529,40524524,8278,32,8246,650489724,0,40635342,38245638,2348516,2210923,72101,67874,94,89,76537067,5057525,76834422,4760170,76537067,76537067,0,5056587,297350,4759237,938,5,933,76537067,0,4782207,4500904,269121,253372,5259,4961,0,0
5100273664,1550297270,732084862,86127646,732084762,686626663,45458199,689298807,42786055,686626663,686626663,0,45449474,2672109,42777365,8725,35,8690,686626663,0,42891432,40369078,2480704,2335500,77231,72685,107,102,80788208,5339438,81102299,5025347,80788208,80788208,0,5338447,314086,5024361,991,5,986,80788208,0,5048294,4751194,284480,267816,5673,5351,0,0
5368709120,1631891825,770615688,90660634,770615503,722760615,47855073,725573970,45041718,722760615,722760615,0,47845867,2813320,45032547,9206,35,9171,722760615,0,45150005,42494501,2613431,2460453,82308,77477,123,116,85040083,5620551,85370870,5289764,85040083,85040083,0,5619513,330782,5288731,1038,5,1033,85040083,0,5313551,5000692,299878,282298,6084,5741,0,0
5637144576,1713486491,809146397,95193687,809146407,758897659,50248738,761851780,47294617,758897659,758897659,0,50239055,2954083,47284972,9683,38,9645,758897659,0,47405692,44617437,2745715,2585022,87507,82380,141,133,89291644,5902043,89638821,5554866,89291644,89291644,0,5900950,347172,5553778,1093,5,1088,89291644,0,5579109,5250769,315303,296836,6538,6173,0,0
5905580032,1795081019,847677155,99726688,847677176,795031601,52645554,798126381,49550774,795031601,795031601,0,52635398,3094740,49540658,10156,40,10116,795031601,0,49664384,46743534,2877926,2709483,92927,87488,161,153,93542912,6183776,93906636,5820052,93542912,93542912,0,6182631,363718,5818913,1145,6,1139,93542912,0,5844915,5500975,330736,311353,6980,6585,0,0
6174015488,1876675591,886207888,104259753,886207950,831164927,55042961,834400784,51807104,831164927,831164927,0,55032359,3235814,51796545,10602,43,10559,831164927,0,51923351,48869471,3010557,2834376,98272,92527,179,171,97793568,6466185,98173705,6086048,97793568,97793568,0,6464970,380131,6084839,1215,6,1209,97793568,0,6111303,5751859,346233,325960,7434,7020,0,0
6442450944,1958270288,924738735,108792753,924738800,867300442,57438293,870677464,54061271,867300442,867300442,0,57427185,3376977,54050208,11108,45,11063,867300442,0,54180621,50993618,3142742,2958833,103633,97576,189,181,102044536,6748217,102441134,6351619,102044536,102044536,0,6746951,396592,6350359,1266,6,1260,102044536,0,6377315,6002361,361740,340540,7896,7458,0,0
6710886400,2039864898,963269498,113325842,963269558,903437945,59831553,906955781,56313717,903437945,903437945,0,59819975,3517790,56302185,11578,46,11532,903437945,0,56435666,53115898,3274956,3083319,109152,102776,201,192,106295886,7029956,106708834,6617008,106295886,106295886,0,7028637,412942,6615695,1319,6,1313,106295886,0,6643098,6252724,377133,355036,8406,7935,0,0
6979321856,2121459561,1001800322,117858860,1001800379,939575893,62224429,943234539,58565783,939575893,939575893,0,62212361,3658597,58553764,12068,49,12019,939575893,0,58690593,55238112,3406999,3207581,114553,107864,216,207,110547818,7311042,110977309,6881551,110547818,110547818,0,7309665,429485,6880180,1377,6,1371,110547818,0,6908029,6502052,392758,369746,8878,8382,0,0
7247757312,2203054191,1040331088,122391932,1040331171,975711653,64619435,979511165,60819923,975711653,975711653,0,64606909,3799463,60807446,12526,49,12477,975711653,0,60947029,57361780,3539489,3332320,120163,113128,228,218,114798679,7593253,115244727,7147205,114798679,114798679,0,7591826,446042,7145784,1427,6,1421,114798679,0,7174147,6752556,408325,384396,9353,8831,1,1
7516192768,2284648697,1078861837,126924944,1078861916,1011844596,67017241,1015785034,63076803,1011844596,1011844596,0,67004248,3940387,63063861,12993,51,12942,1011844596,0,63206488,59488427,3671882,3456886,125624,118306,254,242,119050508,7874436,119512984,7411960,119050508,119050508,0,7872948,462470,7410478,1488,6,1482,119050508,0,7439387,7002324,423733,398881,9826,9271,2,2
7784628224,2366243312,1117392610,131457981,1117392721,1047978853,69413757,1052060012,65332598,1047978853,1047978853,0,69400275,4081107,65319168,13482,52,13430,1047978853,0,65464434,61613544,3804426,3581878,131149,123492,266,254,123301513,8156468,123780432,7677549,123301513,123301513,0,8154927,478913,7676014,1541,6,1535,123301513,0,7705404,7252859,439214,413428,10306,9724,3,3
8053063680,2447837796,1155923221,135991022,1155923553,1084114521,71808700,1088336102,67587119,1084114521,1084114521,0,71794724,4221528,67573196,13976,53,13923,1084114521,0,67720731,63737554,3936988,3706618,136719,128750,286,274,127553017,8438005,128048363,7942659,127553017,127553017,0,8436411,495340,7941071,1594,6,1588,127553017,0,7970782,7502786,454823,428079,10803,10203,3,3
8321499136,2529432495,1194454282,140523991,1194454222,1120248988,74205294,1124611715,69842567,1120248988,1120248988,0,74190850,4362673,69828177,14444,54,14390,1120248988,0,69978684,65862480,4069428,3831272,142435,134134,303,291,131804167,8719824,132316187,8207804,131804167,131804167,0,8718167,512014,8206153,1657,6,1651,131804167,0,8236528,7752796,470335,442672,11301,10682,3,3
8589934592,2611027080,1232984988,145057042,1232985050,1156382162,76602826,1160885795,72099193,1156382162,1156382162,0,76587906,4503577,72084329,14920,56,14864,1156382162,0,72237484,67988457,4201917,3956037,148182,139524,323,311,136054955,9002087,136583482,8473560,136054955,136054955,0,9000375,528521,8471854,1712,6,1706,136054955,0,8503011,8003625,485587,457108,11774,11118,3,3
8858370048,2692621746,1271515908,149590058,1271515780,1192518477,78997431,1197163149,74352759,1192518477,1192518477,0,78982040,4644614,74337426,15391,58,15333,1192518477,0,74493201,70111335,4334512,4080784,153985,144981,342,326,140306094,9283964,140851261,8738797,140306094,140306094,0,9282198,545161,8737037,1766,6,1760,140306094,0,8768816,8253720,501088,471701,12291,11613,3,3
9126805504,2774216208,1310046500,154123133,1310046575,1228653189,81393311,1233439117,76607383,1228653189,1228653189,0,81377400,4785868,76591532,15911,60,15851,1228653189,0,76750380,72235541,4466959,4205292,159698,150353,363,346,144557521,9565612,145119226,9003907,144557521,144557521,0,9563794,561699,9002095,1818,6,1812,144557521,0,9034492,8503835,516492,486163,12807,12094,3,3
9395240960,2855810709,1348577231,158656209,1348577269,1264787004,83790227,1269713299,78863932,1264787004,1264787004,0,83773803,4926234,78847569,16424,61,16363,1264787004,0,79008324,74361159,4599682,4330302,165413,155741,384,367,148808474,9847735,149386863,9269346,148808474,148808474,0,9845861,578383,9267478,1874,6,1868,148808474,0,9300596,8754184,531935,500699,13327,12592,3,3
9663676416,2937405376,1387108009,163189259,1387108108,1300923974,86184035,1305991351,81116658,1300923974,1300923974,0,86167122,5067315,81099807,16913,62,16851,1300923974,0,81263737,76483733,4731687,4454419,171294,161271,404,384,153060224,10129035,153655174,9534085,153060224,153060224,0,10127097,594943,9532154,1938,7,1931,153060224,0,9565670,9003654,547558,515399,13865,13097,4,4
9932111872,3018999942,1425638784,167722285,1425638873,1337059771,88579013,1342267059,83371725,1337059771,1337059771,0,88561604,5207224,83354380,17409,64,17345,1337059771,0,83519971,78608201,4864147,4579049,177057,166722,429,408,157310708,10411577,157922164,9800121,157310708,157310708,0,10409571,611449,9798122,2006,7,1999,157310708,0,9831861,9254319,563303,530201,14402,13597,5,5
10200547328,3100594579,1464169647,172255282,1464169650,1373192921,90976726,1378541039,85628608,1373192921,1373192921,0,90958803,5348051,85610752,17923,67,17856,1373192921,0,85778620,80734236,4996747,4703762,182985,172328,451,426,161562528,10692754,162190404,10064878,161562528,161562528,0,10690696,627869,10062827,2058,7,2051,161562528,0,10096978,9503944,578732,544739,14981,14139,5,5
10468982784,3182189198,1502700402,176788335,1502700461,1409327405,93372997,1414816791,87883611,1409327405,1409327405,0,93354582,5489318,87865264,18415,68,18347,1409327405,0,88036727,82859155,5128505,4827774,188871,177884,479,451,165814306,10974029,166458760,10329575,165814306,165814306,0,10971922,644447,10327475,2107,7,2100,165814306,0,10362398,9753690,594021,559157,15498,14623,5,5
10737418240,3263783621,1541231190,181321307,1541231124,1445461825,95769365,1451091180,90140010,1445461825,1445461825,0,95750490,5629286,90121204,18875,69,18806,1445461825,0,90293849,84984294,5261334,4952930,194804,183507,503,473,170065524,11255783,170726602,10594705,170065524,170065524,0,11253616,661070,10592546,2167,8,2159,170065524,0,10628122,10003697,609462,573717,16027,15127,5,5
11005853696,3345378373,1579762036,185854381,1579761956,1481597544,98164492,1487368012,92394024,1481597544,1481597544,0,98145154,5770399,92374755,19338,69,19269,1481597544,0,92549863,87107358,5394120,5077895,200649,189011,522,491,174316655,11537726,174994576,10859805,174316655,174316655,0,11535519,677913,10857606,2207,8,2199,174316655,0,10893872,10253545,625076,588416,16566,15640,5,5
11274289152,3426972901,1618292751,190387367,1618292783,1517729580,100563171,1523641133,94651618,1517729580,1517729580,0,100543356,5911483,94631873,19815,70,19745,1517729580,0,94809515,89234016,5526750,5202746,206545,194598,546,513,178569065,11818302,179263391,11123976,178569065,178569065,0,11816036,694318,11121718,2266,8,2258,178569065,0,11158556,10502733,640347,602810,17128,16170,5,5
11542724608,3508567522,1656823683,194920353,1656823486,1553862301,102961382,1559914540,96909143,1553862301,1553862301,0,102941085,6052167,96888918,20297,72,20225,1553862301,0,97069007,91360968,5659093,5327315,212411,200095,574,540,182821154,12099199,183532028,11388325,182821154,182821154,0,12096876,710865,11386011,2323,9,2314,182821154,0,11423569,10752137,655631,617191,17669,16676,7,7
11811160064,3590162225,1695354496,199453395,1695354334,1589995276,105359220,1596188452,99166044,1589995276,1589995276,0,105338439,6193102,99145337,20781,74,20707,1589995276,0,99327380,93486567,5792045,5452470,218416,205739,598,561,187072762,12380633,187800247,11653148,187072762,187072762,0,12378264,727476,11650788,2369,9,2360,187072762,0,11688964,11001898,671083,631692,18210,17191,7,7
12079595520,3671756731,1733885171,203986448,1733885112,1626129148,107756023,1632463684,101421487,1626129148,1626129148,0,107734762,6334460,101400302,21261,76,21185,1626129148,0,101584741,95610827,5924914,5577419,224481,211468,626,588,191323521,12662927,192067632,11918816,191323521,191323521,0,12660494,744101,11916393,2433,10,2423,191323521,0,11955026,11252308,686645,646312,18816,17766,7,7
12348030976,3753351308,1772415949,208519478,1772415881,1662262772,110153177,1668737857,103678092,1662262772,1662262772,0,110131373,6475007,103656366,21804,78,21726,1662262772,0,103842899,97736649,6057324,5701942,230495,217159,655,616,195574475,12945003,196335064,12184414,195574475,195574475,0,12942507,760578,12181929,2496,11,2485,195574475,0,12220765,11502544,702358,661082,19377,18296,7,7
12616466432,3834945902,1810946678,213052513,1810946711,1698395999,112550679,1705012253,105934425,1698395999,1698395999,0,112528382,6616174,105912208,22297,80,22217,1698395999,0,106100940,99861779,6190198,5826914,236570,222881,674,634,199826095,13226418,200603382,12449131,199826095,199826095,0,13223868,777276,12446592,2550,11,2539,199826095,0,12486160,11752256,717778,675520,19922,18808,8,8
12884901888,3916540453,1849477439,217585535,1849477479,1734530827,114946612,1741289077,108188362,1734530827,1734530827,0,114923862,6758169,108165693,22750,81,22669,1734530827,0,108357588,101984575,6323151,5952070,242418,228385,705,663,204077830,13507705,204871662,12713873,204077830,204077830,0,13505103,793821,12711282,2602,11,2591,204077830,0,12751471,12001960,733130,689962,20494,19352,8,8
13153337344,3998134954,1888008244,222118535,1888008175,1770663958,117344286,1777563806,110444438,1770663958,1770663958,0,117321076,6899767,110421309,23210,81,23129,1770663958,0,110616042,104109479,6455834,6077077,248475,234072,725,681,208328776,13789759,209139190,12979345,208328776,208328776,0,13787095,810403,12976692,2664,11,2653,208328776,0,13017378,12252238,748679,704591,21029,19854,9,9
13421772800,4079729567,1926538953,226651617,1926538997,1806795817,119743136,1813836866,112702087,1806795817,1806795817,0,119719456,7040968,112678488,23680,81,23599,1806795817,0,112875963,106236471,6588297,6201632,254444,239678,752,707,212580345,14071272,213406981,13244636,212580345,212580345,0,14068540,826625,13241915,2732,11,2721,212580345,0,13282697,12502255,764245,719258,21589,20393,9,9
13690208256,4161324184,1965069787,231184655,1965069742,1842929789,122139998,1850111610,114958177,1842929789,1842929789,0,122115872,7181737,114934135,24126,84,24042,1842929789,0,115133306,108361113,6721335,6326970,260446,245315,785,737,216832704,14351951,217675873,13508782,216832704,216832704,0,14349166,843158,13506008,2785,11,2774,216832704,0,13547373,12751317,779631,733760,22152,20921,10,10
13958643712,4242918770,2003600474,235717712,2003600584,1879064820,124535654,1886386820,117213654,1879064820,1879064820,0,124511070,7321914,117189156,24584,86,24498,1879064820,0,117390187,110485906,6853495,6451412,266567,251067,821,771,221084363,14633349,221944226,13773486,221084363,221084363,0,14630500,859852,13770648,2849,11,2838,221084363,0,13812511,13000716,795284,748498,22694,21423,11,11
14227079168,4324513465,2042131330,240250780,2042131355,1915199063,126932267,1922662241,119469089,1915199063,1915199063,0,126907232,7463091,119444141,25035,87,24948,1915199063,0,119647637,112610393,6986172,6576253,272565,256687,858,808,225336163,14914617,226212571,14038209,225336163,225336163,0,14911717,876397,14035320,2900,11,2889,225336163,0,14077816,13250388,810646,762983,23244,21938,11,11
14495514624,4406108058,2080662125,244783797,2080662136,1951333072,129329053,1958936969,121725156,1951333072,1951333072,0,129303576,7603809,121699767,25477,88,25389,1951333072,0,121904917,114735131,7119135,6701391,278634,262406,890,839,229586942,15196855,230479935,14303862,229586942,229586942,0,15193896,892982,14300914,2959,11,2948,229586942,0,14343620,13500595,826417,777797,23847,22510,12,12
14763950080,4487702617,2119192903,249316799,2119192915,1987468583,131724320,1995213620,123979283,1987468583,1987468583,0,131698326,7744948,123953378,25994,89,25905,1987468583,0,124161015,116858413,7251738,6826065,284651,268031,922,869,233837545,15479254,234747073,14569726,233837545,233837545,0,15476233,909517,14566716,3021,11,3010,233837545,0,14609745,13751181,842064,792470,24412,23053,12,12
15032385536,4569297319,2157723775,253849834,2157723710,2023602000,134121775,2031487766,126236009,2023602000,2023602000,0,134095297,7885674,126209623,26478,92,26386,2023602000,0,126418860,118983595,7384706,6951306,290780,273826,951,896,238088890,15760944,239014687,14835147,238088890,238088890,0,15757873,925785,14832088,3071,12,3059,238088890,0,14875221,14001323,857625,807133,25015,23620,12,12
15300820992,4650891933,2196254481,258382892,2196254560,2059734023,136520458,2067761291,128493190,2059734023,2059734023,0,136493516,8027176,128466340,26942,92,26850,2059734023,0,128678118,121109389,7517527,7076468,296892,279559,979,924,242339933,16042959,243282307,15100585,242339933,242339933,0,16039829,942362,15097467,3130,12,3118,242339933,0,15141023,14251525,873148,821722,25646,24208,12,12
15569256448,4732486599,2234785285,262915933,2234785381,2095867135,138918150,2104035740,130749545,2095867135,2095867135,0,138890743,8168509,130722234,27407,96,27311,2095867135,0,130936482,123234583,7650189,7201327,303063,285373,1009,951,246591348,16324585,247550497,15365436,246591348,246591348,0,16321400,959137,15362263,3185,12,3173,246591348,0,15406576,14501195,888598,836311,26212,24743,14,14
15837691904,4814081145,2273316090,267448896,2273316159,2132003730,141312360,2140312505,133003585,2132003730,2132003730,0,141284479,8308677,132975802,27881,98,27783,2132003730,0,133191214,125357304,7782917,7326276,309305,291240,1043,982,250842247,16606649,251817874,15631022,250842247,250842247,0,16603413,975614,15627799,3236,13,3223,250842247,0,15672296,14751367,904246,851072,26857,25346,14,14
16106127360,4895675740,2311846972,271981923,2311846845,2168137127,143709845,2176586436,135260536,2168137127,2168137127,0,143681503,8449206,135232297,28342,103,28239,2168137127,0,135449497,127483042,7915437,7451156,315495,297088,1074,1011,255093170,16888753,256085521,15896402,255093170,255093170,0,16885458,992337,15893121,3295,14,3281,255093170,0,15938285,15001532,919676,865634,27481,25939,16,16
16374562816,4977270342,2350377761,276515017,2350377564,2204272531,146105230,2212863009,137514752,2204272531,2204272531,0,146076422,8590375,137486047,28808,103,28705,2204272531,0,137705764,129606210,8047961,7575938,321590,302857,1107,1042,259344857,17170160,260353635,16161382,259344857,259344857,0,17166802,1008764,16158038,3358,14,3344,259344857,0,16203608,15251339,935150,880221,28028,26462,16,16
16642998272,5058864917,2388908498,281048061,2388908358,2240408593,148499905,2249139721,139768777,2240408593,2240408593,0,148470633,8731020,139739613,29272,108,29164,2240408593,0,139961387,131729389,8180331,7700482,327785,308679,1130,1063,263595491,17452570,264620828,16427233,263595491,263595491,0,17449164,1025323,16423841,3406,14,3392,263595491,0,16469936,15502055,950584,894743,28628,27027,16,16
16911433728,5140459585,2427439240,285581030,2427439315,2276541874,150897366,2285413133,142026107,2276541874,2276541874,0,150867601,8871150,141996451,29765,109,29656,2276541874,0,142219307,133855276,8313328,7825760,333806,314323,1160,1092,267847293,17733737,268889242,16691788,267847293,267847293,0,17730277,1041935,16688342,3460,14,3446,267847293,0,16735081,15751539,965976,909223,29203,27564,17,16
17179869184,5222054160,2465970032,290114094,2465970034,2312678932,153291100,2321690860,144279172,2312678932,2312678932,0,153260883,9011816,144249067,30217,112,30105,2312678932,0,144473915,135977471,8445747,7950314,340027,320157,1194,1125,272098522,18015572,273157129,16956965,272098522,272098522,0,18012041,1058593,16953448,3531,14,3517,272098522,0,17000631,16001354,981585,923941,29808,28137,17,16
17448304640,5303648711,2504500670,294647200,2504500841,2348811563,155689107,2357964453,146536217,2348811563,2348811563,0,155658411,9152777,146505634,30696,113,30583,2348811563,0,146732730,138103554,8578133,8074856,346302,326048,1246,1176,276349876,18297324,277424842,17222358,276349876,276349876,0,18293738,1074952,17218786,3586,14,3572,276349876,0,17266282,16251603,997008,938439,30429,28726,19,18
17716740096,5385243285,2543031392,299180241,2543031652,2384945611,158085781,2394239783,148791609,2384945611,2384945611,0,158054581,9294055,148760526,31200,117,31083,2384945611,0,148990459,140228098,8710220,8199230,352614,331984,1288,1214,280600964,18579277,281692396,17487845,280600964,280600964,0,18575640,1091418,17484222,3637,14,3623,280600964,0,17532004,16501800,1012572,953111,31045,29293,19,18
17985175552,5466837906,2581562221,303713283,2581562402,2421079861,160482360,2430515572,151046649,2421079861,2421079861,0,160450710,9435590,151015120,31650,121,31529,2421079861,0,151247419,142351725,8842955,8324143,359005,337995,1331,1257,284851929,18861354,285959795,17753488,284851929,284851929,0,18857659,1107852,17749807,3695,14,3681,284851929,0,17797905,16752220,1028098,967726,31636,29842,20,19
18253611008,5548432510,2620093057,308246309,2620093144,2457211836,162881221,2466789221,153303836,2457211836,2457211836,0,162849104,9577263,153271841,32117,122,31995,2457211836,0,153507090,144478113,8975404,8448593,365247,343849,1363,1286,289104050,19142259,290228436,18017873,289104050,289104050,0,19138525,1124372,18014153,3734,14,3720,289104050,0,18062414,17001187,1043833,982529,32256,30416,22,21
18522046464,5630027122,2658624039,312779288,2658623795,2493345033,165279006,2503063579,155560460,2493345033,2493345033,0,165246420,9718424,155527996,32586,122,32464,2493345033,0,155764893,146602914,9108539,8573934,371586,349825,1402,1323,293355561,19423727,294496419,18282869,293355561,293355561,0,19419945,1140844,18279101,3782,14,3768,293355561,0,18327661,17250945,1059386,997139,32876,30996,22,21
18790481920,5711621736,2697154651,317312376,2697154709,2529480902,167673749,2539339986,157814665,2529480902,2529480902,0,167640658,9858960,157781698,33091,124,32967,2529480902,0,158019952,148725630,9241389,8698973,377882,355739,1435,1356,297606402,19705974,298763709,18548667,297606402,297606402,0,19702131,1157293,18544838,3843,14,3829,297606402,0,18593708,17501441,1074899,1011788,33502,31588,22,21
19058917376,5793216346,2735685319,321845455,2735685572,2565613518,170071801,2575612955,160072364,2565613518,2565613518,0,170038212,9999311,160038901,33589,126,33463,2565613518,0,160278393,150851862,9374210,8824053,384137,361596,1472,1390,301857477,19987978,303031169,18814286,301857477,301857477,0,19984082,1173678,18810404,3896,14,3882,301857477,0,18859660,17751911,1090257,1026280,34141,32190,24,23
19327352832,5874811010,2774216243,326378445,2774216322,2601747638,172468605,2611888174,162328069,2601747638,2601747638,0,172434501,10140410,162294091,34104,126,33978,2601747638,0,162535651,152976274,9506840,8948810,390492,367574,1518,1433,306109927,20268518,307300021,19078424,306109927,306109927,0,20264571,1190080,19074491,3947,14,3933,306109927,0,19124053,18000898,1105747,1040819,34746,32750,25,24
