boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_rank_3,inert_rank_3_inc,inert_rank_3_same,inert_rank_4,inert_rank_4_inc,inert_rank_4_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,inert_cyclic_5,inert_cyclic_5_rank_same,inert_cyclic_6,inert_cyclic_6_rank_same,inert_cyclic_7,inert_cyclic_7_rank_same,inert_cyclic_8,inert_cyclic_8_rank_same,inert_cyclic_9,inert_cyclic_9_rank_same,inert_cyclic_10,inert_cyclic_10_rank_same,inert_cyclic_11,inert_cyclic_11_rank_same
33554432000,10199324365,3824746615,2549831102,3824746648,2166284870,1658461745,2695265706,1129480909,2166284870,2166284870,0,1589281321,521877306,1067404015,68956898,7097776,61859122,223484,5754,217730,42,0,42,2166284870,0,1059728039,711753451,353221501,237218684,117726568,79070926,39243038,26359377,13080550,8785515,4357820,2925929,1426780,956818,409575,274799,79323,53066,8094,5424,33,26
33822867456,10280919047,3855344631,2570229769,3855344647,2183581635,1671762996,2716816025,1138528606,2183581635,2183581635,0,1602020981,526072209,1075948772,69516545,7156388,62360157,225427,5793,219634,43,0,43,2183581635,0,1068222523,717450858,356054128,239119115,118669252,79702925,39557293,26570007,13185062,8855459,4392841,2949461,1438283,964524,413215,277268,80160,53638,8189,5490,35,27
34091302912,10362513588,3885942584,2590628434,3885942570,2200878254,1685064330,2738364260,1147578324,2200878254,2200878254,0,1614760183,530265248,1084494935,70076735,7214907,62861828,227368,5851,221517,44,0,44,2200878254,0,1076717245,723150016,358885816,241018909,119611760,80335224,39871552,26780649,13290042,8925760,4427577,2972612,1449826,972187,417007,279793,81034,54211,8286,5546,38,28
34359738368,10444108196,3916540576,2611027076,3916540544,2218177380,1698363196,2759915909,1156624667,2218177380,2218177380,0,1627496948,534459468,1093037480,70636816,7273158,63363658,229387,5903,223484,45,0,45,2218177380,0,1085209673,728845850,361717039,242918241,120554829,80967299,40185672,26991605,13394878,8995964,4462389,2995910,1461419,979908,420738,282309,81896,54757,8375,5609,40,28
34628173824,10525702739,3947138505,2631425720,3947138514,2235476964,1711661541,2781468462,1165670043,2235476964,2235476964,0,1640233695,538654256,1101579439,71196403,7331279,63865124,231396,5963,225433,47,0,47,2235476964,0,1093704182,734543295,364547858,244816049,121496310,81598842,40499207,27201637,13500144,9066803,4497153,3019166,1473078,987794,424506,284834,82741,55319,8474,5671,42,29
34896609280,10607297322,3977736476,2651824373,3977736473,2252773036,1724963440,2803017388,1174719088,2252773036,2252773036,0,1652973562,542848897,1110124665,71756538,7389451,64367087,233293,6004,227289,47,0,47,2252773036,0,1102200975,740242989,367376856,246713212,122439926,82231372,40813729,27412761,13604485,9136856,4532147,3042693,1484786,995660,428386,287436,83644,55914,8586,5743,42,29
35165044736,10688891957,4008334430,2672223035,4008334492,2270065293,1738269137,2824565166,1183769264,2270065293,2270065293,0,1665717169,547045815,1118671354,72316705,7447998,64868707,235214,6060,229154,49,0,49,2270065293,0,1110697258,745942096,370209390,248612203,123383238,82863435,41128520,27624165,13709715,9207533,4567291,3066207,1496281,1003388,432185,289943,84558,56535,8688,5817,45,32
35433480192,10770486462,4038932341,2692621693,4038932428,2287363501,1751568840,2846115538,1192816803,2287363501,2287363501,0,1678454643,551239593,1127215050,72876949,7506325,65370624,237199,6119,231080,49,0,49,2287363501,0,1119187417,751637181,373042082,250511917,124327561,83496790,41443066,27835218,13813939,9277369,4602238,3089667,1508077,1011350,435979,292525,85438,57116,8798,5883,48,34
35701915648,10852081078,4069530344,2713020342,4069530392,2304659179,1764871165,2867665405,1201864939,2304659179,2304659179,0,1691194319,555435223,1135759096,73437639,7564827,65872812,239156,6176,232980,51,0,51,2304659179,0,1127681161,757333990,375874333,252411197,125270568,84129396,41757772,28045809,13918803,9347808,4637011,3112992,1519688,1019180,439691,295003,86337,57727,8905,5959,50,35
35970351104,10933675691,4100128338,2733418998,4100128355,2321953574,1778174764,2889214633,1210913705,2321953574,2321953574,0,1703936907,559631912,1144304995,73996698,7622923,66373775,241108,6224,234884,51,0,51,2321953574,0,1136174255,763030436,378707062,254310567,126214956,84763022,42073972,28257676,14023735,9418158,4672083,3136362,1531279,1026943,443303,297433,87208,58337,9003,6025,51,36
36238786560,11015270236,4130726270,2753817641,4130726325,2339252090,1791474180,2910763700,1219962570,2339252090,2339252090,0,1716673341,563823468,1152849873,74557683,7681851,66875832,243105,6291,236814,51,0,51,2339252090,0,1144666326,768727306,381538872,256211118,127157518,85395207,42388115,28468476,14128503,9488311,4706911,3159703,1542707,1034680,447130,300020,88106,58925,9100,6090,53,37
36507222016,11096864775,4161324220,2774216292,4161324263,2356545694,1804778526,2932310662,1229013558,2356545694,2356545694,0,1729413957,568018154,1161395803,75119458,7740470,67378988,245060,6344,238716,51,0,51,2356545694,0,1153159780,774424607,384371330,258110881,128102137,86028878,42702079,28679161,14233202,9558415,4741982,3183106,1554349,1042529,450839,302485,89005,59541,9196,6160,58,40
36775657472,11178459371,4191922263,2794614946,4191922162,2373845365,1818076898,2953861659,1238060604,2373845365,2373845365,0,1742149708,572210936,1169938772,75680162,7798944,67881218,246977,6414,240563,51,0,51,2373845365,0,1161652540,780122285,387200549,260007620,129045691,86661866,43016068,28889747,14337994,9628994,4776998,3206605,1566054,1050300,454604,304979,89858,60112,9289,6220,63,44
37044092928,11260053963,4222520206,2815013567,4222520190,2391137536,1831382670,2975408213,1247111993,2391137536,2391137536,0,1754891343,576406590,1178484753,76242352,7857612,68384740,248924,6475,242449,51,0,51,2391137536,0,1170150539,785822960,390030133,261904412,129989361,87294992,43329923,29100437,14443178,9699281,4811982,3230142,1577613,1057982,458371,307471,90782,60744,9395,6287,66,45
37312528384,11341648587,4253118199,2835412221,4253118167,2408439683,1844678516,2996962540,1256155659,2408439683,2408439683,0,1767622377,580599806,1187022571,76805192,7916520,68888672,250896,6531,244365,51,0,51,2408439683,0,1178636688,791513178,392860963,263802380,130932735,87928346,43644040,29311573,14548296,9769835,4846871,3253614,1589365,1065883,462181,310042,91691,61324,9480,6350,67,46
37580963840,11423243298,4283716189,2855810866,4283716243,2425735657,1857980532,3018512691,1265203498,2425735657,2425735657,0,1780361400,584795144,1195566256,77366198,7975297,69390901,252883,6593,246290,51,0,51,2425735657,0,1187131484,797209679,395692200,265701784,131875099,88560098,43958448,29522940,14652911,9839884,4881977,3277207,1601062,1073764,465957,312508,92587,61912,9600,6427,75,53
37849399296,11504837837,4314314166,2876209498,4314314173,2443030531,1871283635,3040061019,1274253147,2443030531,2443030531,0,1793102299,588990000,1204112299,77926503,8033835,69892668,254782,6653,248129,51,0,51,2443030531,0,1195625803,802907833,398524364,267601257,132818340,89192361,44273442,29734339,14757606,9910074,4916931,3300672,1612848,1081656,469680,315030,93499,62522,9708,6501,78,54
38117834752,11586432494,4344912145,2896608164,4344912185,2460323524,1884588621,3061611106,1283301039,2460323524,2460323524,0,1805843800,593188477,1212655323,78487954,8092401,70395553,256815,6704,250111,52,0,52,2460323524,0,1204122414,808605067,401354478,269498499,133761887,89825202,44587868,29944955,14862656,9980545,4952254,3324257,1624578,1089541,473382,317519,94397,63113,9805,6569,81,56
38386270208,11668027070,4375510156,2917006821,4375510093,2477623035,1897887121,3083161286,1292348870,2477623035,2477623035,0,1818579540,597380392,1221199148,79048758,8151115,70897643,258771,6744,252027,52,0,52,2477623035,0,1212613362,814302630,404184556,271396407,134705902,90458187,44901954,30155486,14967903,10051096,4987416,3347695,1636034,1097216,477178,320071,95237,63667,9905,6631,93,62
38654705664,11749621670,4406108108,2937405474,4406108088,2494915912,1911192196,3104709089,1301399019,2494915912,2494915912,0,1831321398,601576774,1229744624,79610032,8209604,71400428,260711,6799,253912,55,0,55,2494915912,0,1221107801,819999315,407017127,273296623,135649576,91091079,45216754,30366654,15073262,10121570,5022167,3370914,1647526,1104851,480930,322569,96140,64277,10017,6706,98,66
38923141120,11831216297,4436706095,2957804125,4436706077,2512207382,1924498713,3126253315,1310452780,2512207382,2512207382,0,1844065693,605771111,1238294582,80170328,8267973,71902355,262637,6849,255788,55,0,55,2512207382,0,1229605333,825700208,409850477,275196840,136592809,91724112,45530982,30577405,15177920,10191931,5056870,3394531,1659383,1112785,484677,325073,97009,64852,10131,6775,102,70
39191576576,11912810779,4467304015,2978202787,4467303977,2529503696,1937800319,3147803975,1319500040,2529503696,2529503696,0,1856804312,609966559,1246837753,80731376,8326809,72404567,264576,6911,257665,55,0,55,2529503696,0,1238097253,831395198,412681875,277095462,137536260,92357073,45846514,30789282,15283053,10262316,5091550,3417635,1671043,1120697,488517,327706,97906,65462,10230,6844,111,78
39460012032,11994405342,4497901966,2998601425,4497901951,2546799413,1951102553,3169354157,1328547809,2546799413,2546799413,0,1869544346,614162517,1255381829,81291669,8385267,72906402,266483,6960,259523,55,0,55,2546799413,0,1246589404,837090524,415514789,278995394,138480030,92990216,46160970,30999929,15388391,10333001,5126472,3440997,1682739,1128524,492332,330247,98755,65992,10349,6924,115,81
39728447488,12075999996,4528500031,3019000030,4528499935,2564090620,1964409411,3190901129,1337598902,2564090620,2564090620,0,1882288288,618359415,1263928873,81852681,8444080,73408601,268387,7014,261373,55,0,55,2564090620,0,1255086258,842788939,418346979,280895789,139423821,93622822,46475243,31210468,15493695,10403490,5161613,3464588,1694291,1136304,496156,332814,99678,66597,10436,6980,118,82
39996882944,12157594492,4559097981,3039398683,4559097828,2581384969,1977713012,3212449123,1346648858,2581384969,2581384969,0,1895026471,622554121,1272472350,82416210,8502965,73913245,270276,7068,263208,55,0,55,2581384969,0,1263580131,848487377,421177072,282792918,140367501,94255259,46789945,31421449,15598355,10473607,5196419,3487974,1705793,1144073,499995,335362,100601,67199,10534,7045,125,87
40265318400,12239189116,4589695997,3059797282,4589695837,2598681742,1991014255,3233999075,1355696922,2598681742,2598681742,0,1907763788,626748684,1281015104,82978209,8561526,74416683,272202,7123,265079,56,0,56,2598681742,0,1272074019,854183684,424004792,284689529,141311501,94888697,47105375,31632989,15703032,10543847,5231395,3511560,1717655,1151954,503754,337858,101475,67771,10658,7124,132,91
40533753856,12320783737,4620294008,3080195952,4620293777,2615974472,2004319536,3255546754,1364747254,2615974472,2615974472,0,1920505734,630945023,1289560711,83539542,8620064,74919478,274204,7195,267009,56,0,56,2615974472,0,1280568329,859880123,426835504,286588751,142257656,95523325,47419830,31843564,15807667,10614015,5266436,3534994,1729369,1159810,507644,340466,102398,68376,10769,7196,132,91
40802189312,12402378327,4650891935,3100594612,4650891780,2633264884,2017627051,3277093777,1373798158,2633264884,2633264884,0,1933250852,635142894,1298107958,84100024,8678745,75421279,276119,7254,268865,56,0,56,2633264884,0,1289066337,865578166,429667838,288488605,143202038,96157164,47734384,32054335,15912037,10684152,5301427,3558479,1741094,1167708,511328,342959,103340,69016,10895,7281,134,93
41070624768,12483972932,4681489953,3120993238,4681489741,2650559198,2030930755,3298644580,1382845373,2650559198,2650559198,0,1945991413,639340728,1306650685,84661239,8737331,75923908,278044,7323,270721,59,0,59,2650559198,0,1297562048,871275244,432499212,290386427,144144845,96789501,48049544,32265606,16016492,10754014,5336200,3581811,1752695,1175589,515030,345471,104215,69583,10993,7344,139,95
41339060224,12565567587,4712087882,3141391936,4712087769,2667854586,2044233296,3320193101,1391894781,2667854586,2667854586,0,1958730278,643534985,1315195293,85222954,8796143,76426811,280004,7387,272617,60,0,60,2667854586,0,1306056543,876973044,435330556,292285193,145088458,97422202,48363047,32476039,16120855,10824318,5371446,3605516,1764289,1183322,518766,347975,105087,70175,11088,7412,143,97
41607495680,12647162137,4742685911,3161790513,4742685713,2685148273,2057537638,3341742419,1400943492,2685148273,2685148273,0,1971470029,647731412,1323738617,85785551,8855292,76930259,281998,7442,274556,60,0,60,2685148273,0,1314548973,882668152,438163941,294184805,146031675,98054979,48677731,32686930,16225652,10894857,5406276,3628924,1775881,1191054,522521,350520,106029,70809,11199,7485,151,102
41875931136,12728756731,4773283828,3182189202,4773283701,2702443592,2070840236,3363289347,1409994481,2702443592,2702443592,0,1984209102,651924026,1332285076,86347148,8914225,77432923,283924,7504,276420,62,0,62,2702443592,0,1323042559,888365704,440995255,296084234,146975649,98688750,48991606,32897554,16330901,10965559,5440912,3652192,1787527,1198917,526314,353108,106913,71403,11309,7549,157,106
42144366592,12810351325,4803881806,3202587816,4803881703,2719735127,2084146679,3384836513,1419045293,2719735127,2719735127,0,1996951147,656120699,1340830448,86909589,8973124,77936465,285879,7563,278316,64,0,64,2719735127,0,1331536805,894062685,443827681,297984167,147920292,99322081,49306096,33107871,16435924,11035879,5475508,3675441,1799182,1206787,530212,355751,107852,72047,11430,7628,165,111
42412802048,12891945869,4834479752,3222986430,4834479687,2737024137,2097455615,3406382942,1428096810,2737024137,2737024137,0,2009697153,660319148,1349378005,87470539,9032040,78438499,287859,7617,280242,64,0,64,2737024137,0,1340030858,899758041,446664494,299886455,148863482,99954878,49621655,33319706,16540845,11106508,5510413,3698844,1810889,1214750,534052,358347,108751,72662,11541,7700,173,114
42681237504,12973540510,4865077720,3243385106,4865077684,2754311949,2110765771,3427929434,1437148286,2754311949,2754311949,0,2022444171,664519193,1357924978,88031702,9090614,78941088,289833,7678,282155,65,0,65,2754311949,0,1348531258,905457755,449496529,301785785,149807024,100587038,49936540,33530691,16645464,11176658,5545462,3722360,1822658,1222707,537762,360832,109656,73271,11640,7764,178,117
42949672960,13055135182,4895675700,3263783778,4895675704,2771603879,2124071821,3449476410,1446199290,2771603879,2771603879,0,2035186700,668715337,1366471363,88593357,9149459,79443898,291699,7735,283964,65,0,65,2771603879,0,1357025828,911154321,452328750,303686505,150751920,101220527,50251633,33741999,16749908,11246705,5580261,3745549,1834325,1230505,541575,363427,110564,73861,11750,7841,186,123
43218108416,13136729708,4926273675,3284182355,4926273678,2788894832,2137378843,3471025273,1455248402,2788894832,2788894832,0,2047929798,672914488,1375015310,89155360,9208158,79947202,293619,7795,285824,66,0,66,2788894832,0,1365522220,916851317,455159778,305584635,151696290,101853244,50566810,33953217,16854368,11316769,5615399,3769186,1845974,1238410,545421,365975,111509,74532,11840,7901,189,124
43486543872,13218324351,4956871640,3304581027,4956871684,2806187830,2150683810,3492573809,1464297831,2806187830,2806187830,0,2060671147,677111165,1383559982,89717056,9266971,80450085,295540,7843,287697,67,0,67,2806187830,0,1374019634,922549097,457990944,307483950,152639584,102485862,50880062,34163278,16959171,11386996,5650428,3792753,1857632,1246287,549157,368502,112381,75139,11959,7989,195,129
43754979328,13299918897,4987469595,3324979653,4987469649,2823478211,2163991384,3514119801,1473349794,2823478211,2823478211,0,2073414598,681308131,1392106467,90279207,9325565,80953642,297511,7894,289617,68,0,68,2823478211,0,1382514814,928247401,460824028,309383708,153584013,103118687,51194585,34374099,17064092,11457284,5685440,3816330,1869169,1254026,552970,371042,113236,75708,12055,8052,196,130
44023414784,13381513500,5018067574,3345378279,5018067647,2840767438,2177300136,3535666107,1482401467,2840767438,2840767438,0,2086159713,685506421,1400653292,90840922,9384303,81456619,299432,7945,291487,69,0,69,2840767438,0,1391013708,933945450,463654753,311283053,154527624,103751721,51509747,34585209,17169418,11528124,5720489,3839844,1880766,1261747,556735,373594,114116,76286,12153,8127,204,137
44291850240,13463108161,5048665611,3365776946,5048665604,2858057650,2190607961,3557211214,1491454397,2858057650,2858057650,0,2098903767,689702294,1409201473,91402724,9443267,81959457,301401,8003,293398,69,0,69,2858057650,0,1399511286,939646013,466485925,313181527,155471389,104384608,51824522,34796241,17274398,11598626,5755853,3863564,1892296,1269440,560575,376194,115014,76888,12296,8230,213,142
44560285696,13544702752,5079263527,3386175625,5079263600,2875350598,2203912929,3578761844,1500501683,2875350598,2875350598,0,2111644992,693901268,1417743724,91964575,9501919,82462656,303292,8059,295233,70,0,70,2875350598,0,1408004583,945341932,469318730,315080581,156415951,105016906,52139039,35006423,17378724,11668559,5791258,3887469,1903846,1277176,564296,378714,115944,77518,12401,8299,220,147
44828721152,13626297261,5109861543,3406574192,5109861526,2892642545,2217218998,3600309988,1509551555,2892642545,2892642545,0,2124386516,698098132,1426288384,92527113,9561194,82965919,305298,8117,297181,71,0,71,2892642545,0,1416497448,951038803,472152780,316980337,157359671,105649050,52454303,35217954,17483270,11738704,5825782,3910617,1915640,1285062,568005,381191,116888,78146,12505,8371,224,149
45097156608,13707891942,5140459511,3426972891,5140459540,2909928405,2230531106,3621854307,1518605204,2909928405,2909928405,0,2137134223,702297922,1434836301,93089572,9619808,83469764,307240,8172,299068,71,0,71,2909928405,0,1424994762,956736152,474986495,318880761,158305129,106282928,52769540,35429753,17587714,11808697,5860924,3934140,1927250,1292807,571784,383726,117774,78736,12615,8446,236,155
45365592064,13789486525,5171057391,3447371599,5171057535,2927219481,2243837910,3643399887,1527657504,2927219481,2927219481,0,2149877196,706493120,1443384076,93651414,9679057,83972357,309229,8229,301000,71,0,71,2927219481,0,1433490223,962433106,477820306,320782028,159248317,106916478,53083930,35641116,17692642,11878898,5895595,3957460,1938883,1300628,575635,386314,118701,79369,12721,8519,243,160
45634027520,13871081176,5201655409,3467770235,5201655532,2944511947,2257143462,3664947965,1536707444,2944511947,2944511947,0,2162619229,710690068,1451929161,94212898,9737662,84475236,311264,8288,302976,71,0,71,2944511947,0,1441986896,968132090,480650966,322679699,160192556,107549307,53398532,35852142,17796909,11948845,5930838,3981058,1950500,1308474,579336,388825,119615,79958,12830,8598,251,165
45902462976,13952675706,5232253263,3488168917,5232253526,2961803430,2270449833,3686497609,1545755654,2961803430,2961803430,0,2175360832,714889236,1460471596,94775705,9796610,84979095,313225,8333,304892,71,0,71,2961803430,0,1450478797,973826217,483485590,324579710,161137354,108182524,53713026,36062983,17901703,12018978,5965652,4004215,1961824,1316136,583170,391419,120513,80570,12945,8674,258,170
46170898432,14034270361,5262851297,3508567596,5262851468,2979091349,2283759948,3708044008,1554807289,2979091349,2979091349,0,2188106406,719088603,1469017803,95338248,9855672,85482576,315223,8384,306839,71,0,71,2979091349,0,1458978555,979525685,486318578,326480187,162079745,108813566,54026971,36273280,18006818,12089343,6000688,4027774,1973305,1323895,586953,393927,121465,81217,13063,8754,265,175
46439333888,14115864995,5293449296,3528966192,5293449507,2996381750,2297067546,3729591901,1563857395,2996381750,2996381750,0,2200850177,723287021,1477563156,95900081,9914685,85985396,317217,8445,308772,71,0,71,2996381750,0,1467475460,985222507,489149087,328378266,163024590,109447248,54341656,36484689,18112068,12160019,6035867,4051380,1984942,1331704,590692,396515,122363,81822,13179,8825,273,181
46707769344,14197459464,5324047186,3549364836,5324047442,3013670573,2310376613,3751137873,1572909313,3013670573,3013670573,0,2213594480,727485314,1486109166,96462878,9973490,86489388,319183,8496,310687,72,0,72,3013670573,0,1475972477,990919802,491981946,330279036,163968362,110080743,54656542,36695093,18216355,12229491,6070928,4074923,1996542,1339519,594495,399057,123270,82431,13286,8889,277,182
46976204800,14279053955,5354645100,3569763462,5354645393,3030957334,2323687766,3772682785,1581962315,3030957334,3030957334,0,2226342619,731684163,1494658456,97023819,10032740,86991079,321256,8548,312708,72,0,72,3030957334,0,1484474231,996621207,494814484,332178396,164911145,110713152,54970788,36905983,18321383,12300087,6106364,4098600,2007966,1347163,598343,401665,124228,83045,13400,8967,287,191
47244640256,14360648700,5385243174,3590162211,5385243315,3048249806,2336993368,3794231463,1591011711,3048249806,3048249806,0,2239082779,735881604,1503201175,97587300,10091438,87495862,323217,8615,314602,72,0,72,3048249806,0,1492969652,1002318439,497644117,334075615,165854518,111345159,55285847,37117321,18426649,12370474,6141355,4122100,2019556,1355023,602121,404175,125145,83625,13521,9045,298,199
47513075712,14442243302,5415841170,3610560829,5415841303,3065540003,2350301167,3815778648,1600062522,3065540003,3065540003,0,2251825104,740079918,1511745186,98150866,10150066,88000800,325125,8661,316464,72,0,72,3065540003,0,1501465065,1008014536,500476483,335974898,166799503,111978563,55599627,37327634,18531399,12441086,6176056,4145436,2031049,1362795,605892,406660,126100,84267,13625,9109,305,202
47781511168,14523837813,5446439055,3630959515,5446439243,3082830589,2363608466,3837326330,1609112725,3082830589,3082830589,0,2264567472,744277381,1520290091,98713860,10209644,88504216,327062,8716,318346,72,0,72,3082830589,0,1509962540,1013714049,503307243,337872420,167743126,112611171,55914533,37538824,18635918,12510912,6210899,4168785,2042507,1370491,609645,409197,127007,84853,13744,9184,310,205
48049946624,14605432371,5477037010,3651358162,5477037199,3100118463,2376918547,3858871499,1618165511,3100118463,3100118463,0,2277313267,748475833,1528837434,99276164,10268443,89007721,329044,8760,320284,72,0,72,3100118463,0,1518461250,1019413633,506138056,339770218,168687006,113244104,56229947,37750724,18741057,12581237,6246240,4192414,2054159,1378410,613451,411743,127954,85504,13831,9238,316,209
48318382080,14687027095,5507635039,3671756836,5507635220,3117408715,2390226324,3880418620,1627216419,3117408715,3117408715,0,2290056854,752673587,1537383267,99838375,10327506,89510869,331023,8812,322211,72,0,72,3117408715,0,1526956482,1025111995,508970334,341668763,169631032,113876926,56545257,37961792,18846508,12651816,6281191,4215845,2065694,1386198,617214,414276,128874,86125,13939,9309,329,222
48586817536,14768621647,5538233067,3692155442,5538233138,3134695773,2403537294,3901965003,1636268064,3134695773,3134695773,0,2302802769,756873673,1545929096,100401447,10386703,90014744,333005,8854,324151,73,0,73,3134695773,0,1535456922,1030810925,511799823,343566463,170575653,114510286,56860661,38173351,18950973,12721485,6316031,4239290,2077440,1393998,621089,416930,129799,86760,14046,9383,332,225
48855252992,14850216185,5568831055,3712554034,5568831096,3151984588,2416846467,3923510200,1645320855,3151984588,3151984588,0,2315547261,761070715,1554476546,100964155,10445991,90518164,334978,8906,326072,73,0,73,3151984588,0,1543955393,1036509772,514630123,345465336,171519343,115142992,57175977,38385236,19056138,12791909,6350838,4262723,2089228,1401911,625005,419579,130713,87391,14167,9472,336,225
49123688448,14931810841,5599429100,3732952619,5599429122,3169272122,2430156978,3945054806,1654374294,3169272122,3169272122,0,2328292410,765268485,1563023925,101527461,10505241,91022220,337034,8958,328076,73,0,73,3169272122,0,1552452864,1042209512,517461700,347363990,172463738,115776029,57490915,38596050,19161070,12862381,6385939,4286145,2101104,1409896,628851,422143,131608,88004,14278,9544,343,231
49392123904,15013405406,5630026999,3753351352,5630027055,3186561536,2443465463,3966604225,1663422774,3186561536,3186561536,0,2341036399,769469568,1571566831,102089944,10564113,91525831,339047,9008,330039,73,0,73,3186561536,0,1560949842,1047905888,520294386,349262107,173407094,116408443,57805452,38806888,19265852,12932841,6420854,4309552,2112877,1417843,632746,424781,132557,88632,14391,9621,348,235
49660559360,15094999978,5660625016,3773749944,5660625018,3203853532,2456771484,3988151586,1672473430,3203853532,3203853532,0,2353778276,773665899,1580112377,102652109,10623103,92029006,341026,9052,331974,73,0,73,3203853532,0,1569440700,1053601250,523129725,351162874,174352493,117042495,58119339,39017394,19370772,13003262,6455956,4333111,2124357,1425492,636499,427293,133558,89258,14518,9706,359,242
49928994816,15176594490,5691222960,3794148597,5691222933,3221144517,2470078443,4009699860,1681523100,3221144517,3221144517,0,2366520828,777864526,1588656302,103214556,10681707,92532849,342985,9110,333875,74,0,74,3221144517,0,1577938467,1059299204,525960767,353060815,175295104,117674544,58433582,39228206,19475882,13073732,6491109,4356664,2136165,1433390,640245,429822,134508,89888,14630,9786,369,251
50197430272,15258189116,5721820961,3814547240,5721820915,3238433630,2483387331,4031248640,1690572321,3238433630,3238433630,0,2379263784,782065058,1597198726,103778537,10740784,93037753,344936,9168,335768,74,0,74,3238433630,0,1586432945,1064992606,528793318,354960477,176238974,118307481,58748443,39439154,19580994,13144289,6526536,4380382,2147944,1441283,644084,432441,135418,90491,14752,9868,376,254
50465865728,15339783739,5752418971,3834945856,5752418912,3255721773,2496697198,4052795512,1699623459,3255721773,3255721773,0,2392007831,786264548,1605743283,104342374,10799975,93542399,346918,9216,337702,75,0,75,3255721773,0,1594928179,1070688714,531626312,356859964,177183166,118940343,59063549,39650394,19685727,13214462,6561809,4404002,2159625,1449103,647922,435050,136311,91063,14849,9928,382,260
50734301184,15421378271,5783016932,3855344448,5783016891,3273010257,2510006675,4074341934,1708674998,3273010257,3273010257,0,2404752801,790463417,1614289384,104904907,10858987,94045920,348892,9273,339619,75,0,75,3273010257,0,1603428225,1076387059,534457735,358759752,178125583,119572265,59378439,39861640,19790168,13284600,6597062,4427645,2171207,1456844,651718,437592,137300,91710,14973,10010,391,267
51002736640,15502972970,5813614908,3875743168,5813614894,3290298582,2523316326,4095888008,1717726900,3290298582,3290298582,0,2417497239,794662179,1622835060,105468196,10917920,94550276,350816,9327,341489,75,0,75,3290298582,0,1611927454,1082086329,537289236,360658103,179069758,120205291,59692496,40072366,19894419,13354536,6632006,4451083,2182550,1464504,655603,440182,138221,92294,15101,10103,395,269
51271172096,15584567585,5844212858,3896141842,5844212885,3307585217,2536627641,4117432520,1726780338,3307585217,3307585217,0,2430243804,798861040,1631382764,106030930,10976885,95054045,352832,9378,343454,75,0,75,3307585217,0,1620425326,1087785324,540122531,362557547,180013253,120837815,60007290,40283562,19999837,13425223,6667099,4474744,2194167,1472350,659459,442759,139223,92986,15215,10181,404,273
51539607552,15666162247,5874810836,3916540555,5874810856,3324875364,2549935472,4138983521,1735827315,3324875364,3324875364,0,2442986412,803063177,1639923235,106594112,11035547,95558565,354872,9433,345439,76,0,76,3324875364,0,1628921833,1093479711,542954375,364455483,180956354,121469965,60321943,40494568,20104713,13495521,6702129,4498247,2205934,1480317,663257,445285,140124,93594,15332,10263,418,281
51808043008,15747756800,5905408758,3936939171,5905408871,3342160022,2563248736,4160526434,1744882324,3342160022,3342160022,0,2455735748,807262367,1648473381,107156091,11094577,96061514,356820,9468,347352,77,0,77,3342160022,0,1637422827,1099181145,545788253,366355138,181900210,122103291,60635936,40705407,20209699,13565901,6737239,4521656,2217523,1488116,667120,447903,141062,94196,15453,10341,426,287
52076478464,15829351440,5936006760,3957337848,5936006832,3359446163,2576560597,4182072472,1753934288,3359446163,3359446163,0,2468482522,811463272,1657019250,107719137,11153517,96565620,358861,9520,349341,77,0,77,3359446163,0,1645923852,1104881075,548619252,368252200,182843835,122735777,60950935,40917140,20314134,13636024,6772448,4545173,2229106,1495875,670944,450457,142017,94823,15560,10413,439,293
52344913920,15910946085,5966604764,3977736540,5966604781,3376733190,2589871574,4203619633,1762985131,3376733190,3376733190,0,2481228497,815664211,1665564286,108282115,11212662,97069453,360884,9570,351314,78,0,78,3376733190,0,1654422621,1110578488,551450760,370150579,183788444,123369139,61265096,41127902,20419581,13706725,6807523,4568638,2240679,1503603,674705,452977,142960,95441,15683,10498,445,296
52613349376,15992540746,5997202788,3998135156,5997202802,3394022709,2603180079,4225167194,1772035594,3394022709,3394022709,0,2493971789,819862988,1674108801,108845338,11271869,97573469,362874,9628,353246,78,0,78,3394022709,0,1662921102,1116276972,554280955,372047877,184732455,124002891,61579667,41338199,20524228,13776994,6842622,4592181,2252130,1511278,678466,455474,143896,96051,15812,10578,456,306
52881784832,16074135330,6027800764,4018533854,6027800712,3411311685,2616489079,4246713605,1781087159,3411311685,3411311685,0,2506716602,824061687,1682654915,109407530,11330549,98076981,364869,9684,355185,78,0,78,3411311685,0,1671418964,1121974559,557114533,373948617,185675259,124635630,61894115,41548915,20628876,13846833,6877565,4615562,2263768,1519110,682288,458032,144835,96682,15932,10659,467,316
