boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same
5637144576,1713486491,821045495,71395233,821045763,783924978,37120517,785538760,35506735,783924978,783924978,0,37117723,1613775,35503948,2794,7,2787,783924978,0,35625413,34076345,1474046,1410126,18264,17477,0,0,68176713,3218520,68316868,3078365,68176713,68176713,0,3218290,140155,3078135,230,0,230,68176713,0,3097142,2962141,120519,115394,629,600,0,0
5905580032,1795081019,860142931,74795038,860143050,821251560,38891371,822942363,37200568,821251560,821251560,0,38888435,1690795,37197640,2936,8,2928,821251560,0,37322182,35699460,1546738,1479501,19515,18679,0,0,71422304,3372734,71569016,3226022,71422304,71422304,0,3372496,146712,3225784,238,0,238,71422304,0,3245261,3103970,126553,121164,682,650,0,0
6174015488,1876675591,899240308,78194805,899240478,858578348,40661960,860346179,38894129,858578348,858578348,0,40658886,1767823,38891063,3074,8,3066,858578348,0,39018755,37322221,1619338,1548936,20793,19906,0,0,74668339,3526466,74821809,3372996,74668339,74668339,0,3526223,153470,3372753,243,0,243,74668339,0,3392844,3245039,132647,127015,732,699,0,0
6442450944,1958270288,938337885,81594628,938337775,895905494,42432391,897750314,40587571,895905494,895905494,0,42429171,1844812,40584359,3220,8,3212,895905494,0,40715357,38945126,1691770,1618131,22044,21102,0,0,77914478,3680150,78074671,3519957,77914478,77914478,0,3679899,160193,3519706,251,0,251,77914478,0,3540457,3386186,138652,132764,790,756,0,0
6710886400,2039864898,977435298,84994392,977435208,933231684,44203614,935153550,42281748,933231684,933231684,0,44200252,1921856,42278396,3362,10,3352,933231684,0,42412225,40568114,1764649,1687901,23378,22381,0,0,81160166,3834226,81327032,3667360,81160166,81160166,0,3833966,166866,3667100,260,0,260,81160166,0,3688261,3527604,144867,138694,838,802,0,0
6979321856,2121459561,1016532749,88394128,1016532684,970558268,45974481,972557971,43974778,970558268,970558268,0,45970962,1999693,43971269,3519,10,3509,970558268,0,44108653,42189958,1837582,1757645,24727,23666,0,0,84405591,3988537,84579193,3814935,84405591,84405591,0,3988262,173602,3814660,275,0,275,84405591,0,3836327,3669197,151048,144615,887,848,0,0
7247757312,2203054191,1055630186,91793894,1055630111,1007884556,47745630,1009960951,45669235,1007884556,1007884556,0,47741968,2076384,45665584,3662,11,3651,1007884556,0,45806086,43813843,1909824,1826790,26058,24951,0,0,87651095,4142799,87831368,3962526,87651095,87651095,0,4142518,180273,3962245,281,0,281,87651095,0,3984406,3810869,157173,150476,939,900,0,0
7516192768,2284648697,1094727528,95193664,1094727505,1045211500,49516028,1047364365,47363163,1045211500,1045211500,0,49512241,2152854,47359387,3787,11,3776,1045211500,0,47502488,45437044,1982306,1896051,27447,26292,0,0,90896543,4297121,91083453,4110211,90896543,90896543,0,4296833,186910,4109923,288,0,288,90896543,0,4132484,3952584,163366,156396,983,943,0,0
7784628224,2366243312,1133824931,98593416,1133824965,1082536428,51288503,1084766344,49058587,1082536428,1082536428,0,51284571,2229903,49054668,3932,13,3919,1082536428,0,49200675,47061377,2055115,1965725,28781,27566,0,0,94141275,4452141,94334940,4258476,94141275,94141275,0,4451838,193665,4258173,303,0,303,94141275,0,4281103,4094703,169693,162468,1042,1002,0,0
8053063680,2447837796,1172922355,101993199,1172922242,1119862488,53059867,1122169636,50752719,1119862488,1119862488,0,53055806,2307135,50748671,4061,13,4048,1119862488,0,50897859,48684550,2127713,2035161,30234,28960,0,0,97388533,4604666,97588816,4404383,97388533,97388533,0,4604351,200283,4404068,315,0,315,97388533,0,4427369,4234601,175887,168414,1095,1053,0,0
