boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_rank_3,inert_rank_3_inc,inert_rank_3_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,inert_cyclic_5,inert_cyclic_5_rank_same,inert_cyclic_6,inert_cyclic_6_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_rank_3,ramified_rank_3_inc,ramified_rank_3_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same,ramified_cyclic_5,ramified_cyclic_5_rank_same,ramified_cyclic_6,ramified_cyclic_6_rank_same
268435456,81594634,35697651,10199319,35697664,29901990,5795661,30727802,4969849,29901990,29901990,0,5778769,825499,4953270,16892,313,16579,0,0,0,29901990,0,4971788,4261338,709585,608337,92084,79056,5270,4504,42,35,0,0,8549889,1649430,8784679,1414640,8549889,8549889,0,1644809,234700,1410109,4621,90,4531,0,0,0,8549889,0,1418424,1215952,202296,173504,23358,20020,731,633,0,0,0,0
536870912,163189216,71395270,20398652,71395294,59792462,11602808,61446731,9948539,59792462,59792462,0,11568918,1653616,9915302,33889,653,33236,1,0,1,59792462,0,9944946,8523191,1419137,1216408,191161,164052,13502,11501,172,150,0,0,17094423,3304229,17564372,2834280,17094423,17094423,0,3294779,469766,2825013,9450,183,9267,0,0,0,17094423,0,2836854,2432198,404955,347489,50920,43571,2046,1751,4,4,0,0
805306368,244783758,107092947,30597963,107092848,89681898,17411049,92163264,14929683,89681898,89681898,0,17359927,2480383,14879544,51120,983,50137,2,0,2,89681898,0,14915007,12783814,2130193,1825810,291301,249926,23058,19670,368,324,0,0,25636084,4961879,26341194,4256769,25636084,25636084,0,4947545,704828,4242717,14334,282,14052,0,0,0,25636084,0,4257285,3650956,607533,520870,78935,67648,3774,3227,18,16,0,0
1073741824,326378404,142790540,40797305,142790559,119570622,23219918,122879696,19910844,119570622,119570622,0,23151449,3307724,19843725,68467,1350,67117,2,0,2,119570622,0,19884952,17044286,2840525,2434326,392445,336404,32948,28204,579,505,0,0,34175760,6621545,35116735,5680570,34175760,34175760,0,6602437,940592,5661845,19108,383,18725,0,0,0,34175760,0,5678703,4869895,810664,695037,107364,92013,5678,4875,28,25,0,0
1342177280,407973015,178488145,50996616,178488254,149454533,29033612,153592615,24895530,149454533,149454533,0,28948171,4136401,24811770,85439,1681,83758,2,0,2,149454533,0,24859557,21307933,3550366,3042297,493841,423534,43519,37245,888,761,0,0,42715510,8281106,43892751,7103865,42715510,42715510,0,8257166,1176761,7080405,23940,480,23460,0,0,0,42715510,0,7099952,6088479,1013524,868784,135791,116384,7851,6717,48,41,0,0
1610612736,489567600,214185854,61195952,214185794,179334491,34851363,184302341,29883513,179334491,179334491,0,34748612,4965772,29782840,102748,2078,100670,3,0,3,179334491,0,29835710,25572191,4261667,3652345,595234,510360,54792,46904,1209,1040,0,0,51254609,9941343,52667341,8528611,51254609,51254609,0,9912469,1412157,8500312,28874,575,28299,0,0,0,51254609,0,8521299,7307563,1216262,1042789,164851,141382,9989,8520,68,58,0,0
1879048192,571162106,249883440,71395239,249883427,209220569,40662871,215015741,34867699,209220569,209220569,0,40543018,5792752,34750266,119850,2420,117430,3,0,3,209220569,0,34807056,29834248,4971376,4260489,696968,597579,66030,56595,1588,1355,0,0,59794773,11600466,61443009,9952230,59794773,59794773,0,11566864,1647590,9919274,33602,646,32956,0,0,0,59794773,0,9941304,8525274,1419446,1217299,193729,166110,12288,10509,97,82,0,0
2147483648,652756663,285581026,81594593,285581044,239102617,46478409,245725907,39855119,239102617,239102617,0,46341210,6620537,39720673,137194,2753,134441,5,0,5,239102617,0,39780546,34098101,5682577,4869856,798162,684215,77908,66778,2017,1723,0,0,68334674,13259919,70219016,11375577,68334674,68334674,0,13221360,1883607,11337753,38559,735,37824,0,0,0,68334674,0,11361291,9742617,1622763,1391715,222410,190696,14767,12614,129,111,0,0
2415919104,734351293,321278676,91793927,321278690,268983112,52295564,276436434,44842242,268983112,268983112,0,52141177,7450217,44690960,154381,3105,151276,6,0,6,268983112,0,44755594,38361010,6393765,5479757,899563,771047,89773,77025,2482,2121,0,0,76874227,14919700,78994522,12799405,76874227,76874227,0,14876203,2119453,12756750,43497,842,42655,0,0,0,76874227,0,12781705,10960469,1825633,1565784,251344,215500,17354,14853,167,144,0,0
2684354560,815945969,356976287,101993270,356976412,298861602,58114685,307144371,49831916,298861602,298861602,0,57942691,8279304,49663387,171988,3465,168523,6,0,6,298861602,0,49732924,42626999,7104422,6089000,1000797,857612,101575,87227,2973,2549,0,0,85410883,16582387,87767156,14226114,85410883,85410883,0,16533869,2355329,14178540,48517,944,47573,1,0,1,85410883,0,14204393,12180698,2029002,1740280,280260,240243,19993,17131,221,188,0,0
2952790016,897540596,392674012,112192569,392674015,328740700,63933312,337852994,54821018,328740700,328740700,0,63743858,9108473,54635385,189447,3821,185626,7,0,7,328740700,0,54708814,46891931,7815070,6697818,1102861,945125,113649,97536,3464,2975,0,0,93945890,18246679,96538900,15653669,93945890,93945890,0,18193141,2591963,15601178,53537,1047,52490,1,0,1,93945890,0,15629605,13402483,2231333,1913948,309225,265087,22705,19425,273,235,0,0
3221225472,979135255,428371636,122391926,428371693,358614060,69757576,368557437,59814199,358614060,358614060,0,69550575,9939241,59611334,206993,4136,202857,8,0,8,358614060,0,59689817,51159987,8526313,7307528,1204520,1032357,125966,108072,3959,3390,0,0,102482990,19908936,105311792,17080134,102482990,102482990,0,19850497,2827651,17022846,58438,1151,57287,1,0,1,102482990,0,17051833,14622394,2434739,2088447,338058,289820,25540,21907,327,278,0,0
3489660928,1060729747,464069296,132591195,464069256,388492371,75576925,399264904,64804392,388492371,388492371,0,75352613,10768035,64584578,224304,4498,219806,8,0,8,388492371,0,64666359,55425453,9237071,7917039,1306253,1119461,138437,118782,4493,3843,0,0,111021754,21569441,114086535,18504660,111021754,111021754,0,21506170,3063532,18442638,63270,1249,62021,1,0,1,111021754,0,18472904,15840982,2637622,2262379,366868,314614,28392,24339,384,324,0,0
3758096384,1142324300,499766883,142790459,499766958,418375560,81391323,429976086,69790797,418375560,418375560,0,81149537,11595683,69553854,241777,4843,236934,9,0,9,418375560,0,69638909,59688025,9947154,8525524,1407500,1206514,150923,129487,5051,4304,0,0,119562039,23228420,122862381,19928078,119562039,119562039,0,23160147,3298991,19861156,68272,1351,66921,1,0,1,119562039,0,19892110,17058170,2840361,2436127,395901,339622,31321,26852,454,385,0,0
4026531840,1223918932,535464465,152989840,535464627,448256438,87208027,460686829,74777636,448256438,448256438,0,86948842,12425192,74523650,259172,5199,253973,13,0,13,448256438,0,74614028,63951249,10657269,9134402,1508694,1293142,163281,140106,5570,4751,0,0,128101289,24888551,131637484,21352356,128101289,128101289,0,24815370,3534753,21280617,73180,1442,71738,1,0,1,128101289,0,21311775,18275655,3043827,2610589,424939,364521,34310,29413,519,439,0,0
4294967296,1305513476,571162135,163189190,571162151,478132866,93029269,491393966,79768169,478132866,478132866,0,92752608,13255543,79497065,276648,5557,271091,13,0,13,478132866,0,79590861,68215973,11369408,9744762,1610537,1380416,175670,150680,6132,5234,0,0,136639318,26549872,140411539,22777651,136639318,136639318,0,26471697,3770671,22701026,78173,1550,76623,2,0,2,136639318,0,22733036,19494613,3246686,2784375,453958,389480,37424,32057,593,501,0,0
4563402752,1387108056,606859715,173388529,606859812,508014316,98845399,522105129,84754586,508014316,508014316,0,98551519,14084898,84466621,293864,5915,287949,16,0,16,508014316,0,84565894,72479353,12078589,10352821,1711800,1467066,188527,161653,6709,5728,0,0,145176422,28212107,149185377,24203152,145176422,145176422,0,28129052,4007297,24121755,83052,1658,81394,3,0,3,145176422,0,24155104,20713638,3450036,2958692,482709,414098,40528,34752,675,575,0,0
4831838208,1468702640,642557403,183587834,642557403,537897477,104659926,552817203,89740200,537897477,537897477,0,104348799,14913471,89435328,311111,6255,304856,16,0,16,537897477,0,89539299,76741765,12787609,10960761,1813236,1553912,201319,172617,7334,6271,2,2,153714840,29872994,157960752,25627082,153714840,153714840,0,29784995,4244158,25540837,87996,1754,86242,3,0,3,153714840,0,25576345,21931593,3652659,3132284,511593,438890,43646,37433,752,637,0,0
5100273664,1550297270,678255151,193787152,678254967,567775269,110479882,583526638,94728513,567775269,567775269,0,110151272,15744773,94406499,328592,6596,321996,18,0,18,567775269,0,94515406,81005225,13498745,11569826,1915024,1640999,214191,183675,7903,6771,3,3,162253345,31533807,166735639,27051513,162253345,162253345,0,31440814,4480459,26960355,92990,1835,91155,3,0,3,162253345,0,26996687,23149256,3856298,3306817,540275,463477,46736,40111,818,694,0,0
5368709120,1631891825,713952744,203986479,713952602,597654167,116298577,614235303,99717441,597654167,597654167,0,115952334,16574182,99378152,346223,6954,339269,20,0,20,597654167,0,99490927,85269530,14209224,12178634,2016557,1727920,227137,194795,8485,7270,4,3,170792883,33193596,175512081,28474398,170792883,170792883,0,33095717,4717274,28378443,97876,1924,95952,3,0,3,170792883,0,28416046,24365406,4059795,3481355,569051,488057,49915,42853,910,772,0,0
5637144576,1713486491,749650371,214185832,749650288,627535622,122114749,644945807,104704564,627535622,627535622,0,121751087,17402862,104348225,363639,7323,356316,23,0,23,627535622,0,104463234,89531456,14919894,12787622,2118633,1815328,240140,205953,9182,7863,4,3,179332347,34853485,184288026,29897806,179332347,179332347,0,34750652,4953639,29797013,102830,2040,100790,3,0,3,179332347,0,29835673,25582095,4263433,3656106,597441,512383,53120,45595,985,834,0,0
5905580032,1795081019,785347956,224385089,785347974,657418266,127929690,675657533,109690423,657418266,657418266,0,127548516,18231603,109316913,381150,7664,373486,24,0,24,657418266,0,109435287,93792687,15630053,13396338,2220265,1902436,253054,217017,9853,8432,4,3,187872515,36512574,193064546,31320543,187872515,187872515,0,36404830,5189880,31214950,107740,2151,105589,4,0,4,187872515,0,31254880,26798549,4466336,3830132,626263,537086,56279,48272,1072,911,0,0
6174015488,1876675591,821045549,234584457,821045585,687298026,133747523,706365764,114679785,687298026,687298026,0,133349034,19059692,114289342,398465,8046,390419,24,0,24,687298026,0,114410089,98057360,16340533,14005361,2321759,1989445,266130,228167,10514,9001,9,8,196412919,38171538,201841825,32742632,196412919,196412919,0,38058831,5426649,32632182,112703,2257,110446,4,0,4,196412919,0,32673601,28014165,4669547,4004258,654943,561648,59593,51137,1147,974,0,0
6442450944,1958270288,856743201,244783821,856743266,717177683,139565518,737074594,119668607,717177683,717177683,0,139149413,19888486,119260927,416081,8425,407656,24,0,24,717177683,0,119385431,102322035,17050569,14613654,2422935,2076220,279234,239403,11233,9605,11,10,204953430,39830391,210618518,34165303,204953430,204953430,0,39712842,5662740,34050102,117544,2348,115196,5,0,5,204953430,0,34092444,29230757,4872452,4177872,683931,586534,62795,53900,1220,1039,0,0
6710886400,2039864898,892440876,254983151,892440871,747059679,145381197,767784900,124655976,747059679,747059679,0,144947575,20716439,124231136,433597,8782,424815,25,0,25,747059679,0,124358713,106584856,17759960,15221906,2524287,2163246,292673,250919,11927,10198,15,11,213492186,41490965,219393729,35589422,213492186,213492186,0,41368594,5899107,35469487,122365,2436,119929,6,0,6,213492186,0,35511630,30447510,5076162,4352317,713303,611716,66167,56807,1332,1137,0,0
6979321856,2121459561,928138547,265182463,928138551,776943569,151194978,798496580,129641967,776943569,776943569,0,150743691,21543857,129199834,451261,9154,442107,26,0,26,776943569,0,129328476,110845135,18470930,15831370,2625723,2250280,305856,262197,12687,10837,19,15,222031217,43151246,228168859,37013604,222031217,222031217,0,43023985,6135106,36888879,127255,2536,124719,6,0,6,222031217,0,36932258,31665619,5278435,4525685,742307,636642,69546,59701,1439,1232,0,0
7247757312,2203054191,963836087,275381801,963836303,806817935,157018152,829200513,134635574,806817935,806817935,0,156549434,22373074,134176360,468690,9504,459186,28,0,28,806817935,0,134307473,115112826,19181958,16440915,2727272,2337421,319250,273688,13456,11491,25,19,230571093,44810708,236945353,38436448,230571093,230571093,0,44678535,6371609,38306926,132167,2651,129516,6,0,6,230571093,0,38350818,32881181,5481945,4700315,771356,661554,72885,62561,1531,1315,0,0
7516192768,2284648697,999533724,285581139,999533834,836695077,162838647,859907276,139626448,836695077,836695077,0,162352868,23202329,139150539,485751,9870,475881,28,0,28,836695077,0,139284168,119377838,19892644,17050474,2829254,2424976,332541,285059,14227,12164,34,28,239108323,46472816,245719752,39861387,239108323,239108323,0,46335804,6608699,39727105,137006,2730,134276,6,0,6,239108323,0,39772832,34099893,5684782,4873878,800267,686427,76301,65512,1622,1395,0,0
7784628224,2366243312,1035231403,295780457,1035231452,866574971,168656432,890616965,144614438,866574971,866574971,0,168153419,24031742,144121677,502984,10252,492732,29,0,29,866574971,0,144257278,123639917,20604062,17660127,2931225,2512346,345785,296407,15030,12848,39,32,247645404,48135053,254493190,41287267,247645404,247645404,0,47993109,6844962,41148147,141938,2824,139114,6,0,6,247645404,0,41194146,35318789,5888307,5048203,829258,711271,79679,68413,1719,1471,0,0
8053063680,2447837796,1070929001,305979687,1070929108,896457637,174471364,921329643,149599358,896457637,896457637,0,173950978,24861390,149089588,520356,10616,509740,30,0,30,896457637,0,149228720,127900368,21314201,18268166,3032938,2599606,359225,307878,15849,13532,45,38,256183474,49796213,263267717,42711970,256183474,256183474,0,49649366,7081315,42568051,146840,2928,143912,7,0,7,256183474,0,42615538,36537398,6090727,5221713,858211,736079,83070,71309,1820,1552,0,0
8321499136,2529432495,1106626772,316179009,1106626714,926337760,180289012,952040832,154585940,926337760,926337760,0,179751050,25692096,154058954,537932,10976,526956,30,0,30,926337760,0,154202290,132161019,22024407,18877260,3134809,2686882,372828,319520,16665,14229,51,44,264721588,51457421,272041908,44137101,264721588,264721588,0,51305519,7317266,43988253,151895,3054,148841,7,0,7,264721588,0,44036160,37755679,6293595,5395708,887333,760983,86504,74237,1927,1646,0,0
8589934592,2611027080,1142324374,326378336,1142324370,956215063,186109311,982746129,159578245,956215063,956215063,0,185553900,26519707,159034193,555380,11359,544021,31,0,31,956215063,0,159178182,136427067,22735000,19486632,3236886,2774428,386262,331052,17515,14966,55,48,273258966,53119370,280815712,45562624,273258966,273258966,0,52962504,7553581,45408923,156859,3165,153694,7,0,7,273258966,0,45457884,38974663,6496506,5569616,916158,785745,89929,77169,2027,1730,0,0
8858370048,2692621746,1178021974,336577689,1178022083,986089532,191932442,1013449336,164572638,986089532,986089532,0,191359461,27348101,164011360,572950,11703,561247,31,0,31,986089532,0,164157027,140695765,23445650,20095776,3338593,2861449,399783,342639,18348,15679,60,52,281796226,54781463,289589472,46988217,281796226,281796226,0,54619657,7789983,46829674,161799,3263,158536,7,0,7,281796226,0,46879666,40193636,6699139,5743276,945308,810761,93414,80182,2130,1819,0,0
9126805504,2774216208,1213719565,346777036,1213719607,1015967041,197752524,1044156629,169562936,1015967041,1015967041,0,197162079,28177523,168984556,590413,12065,578348,32,0,32,1015967041,0,169132303,144960067,24156822,20705151,3440479,2948639,413219,354236,19192,16407,64,56,290336193,56440843,298365656,48411380,290336193,290336193,0,56274194,8026098,48248096,166642,3365,163277,7,0,7,290336193,0,48299199,41410532,6901621,5916937,974269,835572,96864,83145,2241,1910,0,0
9395240960,2855810709,1249417143,356976325,1249417241,1045840625,203576518,1074859251,174557892,1045840625,1045840625,0,202968750,29006191,173962559,607736,12435,595301,32,0,32,1045840625,0,174112049,149229050,24867814,21314707,3542116,3035840,426692,365789,20007,17110,72,63,298874857,58101468,307140802,49835523,298874857,298874857,0,57929813,8262477,49667336,171648,3468,168180,7,0,7,298874857,0,49719309,42628007,7104748,6090873,1003089,860364,100306,86079,2361,2013,0,0
9663676416,2937405376,1285114852,367175605,1285114919,1075715399,209399453,1105562629,179552223,1075715399,1075715399,0,208774331,29834434,178939897,625089,12796,612293,33,0,33,1075715399,0,179089535,153496785,25579791,21924846,3643816,3123017,440236,377337,20873,17841,80,71,307410772,59764833,315913623,51261982,307410772,307410772,0,59588234,8499281,51088953,176592,3570,173022,7,0,7,307410772,0,51142689,43848235,7307463,6264616,1031854,884967,103753,89023,2475,2112,0,0
9932111872,3018999942,1320812522,377374924,1320812496,1105591172,215221350,1136266598,184545924,1105591172,1105591172,0,214578710,30662270,183916440,642607,13156,629451,33,0,33,1105591172,0,184066936,157763932,26291158,22535205,3745133,3209836,453668,388812,21730,18579,85,76,315948316,61426608,324688197,52686727,315948316,315948316,0,61245012,8736220,52508792,181589,3661,177928,7,0,7,315948316,0,52563488,45066161,7510762,6438602,1061008,909906,107159,91909,2595,2214,0,0
10200547328,3100594579,1356510201,387574294,1356510084,1135465036,221045165,1166970372,189539829,1135465036,1135465036,0,220384887,31491855,188893032,660244,13481,646763,34,0,34,1135465036,0,189045848,162031196,27001837,23144628,3847092,3297197,467418,400607,22597,19319,95,85,324485885,63088409,333462040,54112254,324485885,324485885,0,62901849,8972395,53929454,186553,3760,182793,7,0,7,324485885,0,53985163,46285153,7713450,6612427,1089848,934594,110688,94972,2700,2308,0,0
10468982784,3182189198,1392207799,397773624,1392207775,1165340395,226867404,1197675545,194532254,1165340395,1165340395,0,226189316,32321284,193868032,678054,13866,664188,34,0,34,1165340395,0,194023417,166297705,27713229,23753969,3947996,3383819,481059,412347,23510,20098,105,94,333023260,64750364,342236204,55537420,333023260,333023260,0,64558937,9209099,55349838,191420,3845,187575,7,0,7,333023260,0,55406564,47503402,7916633,6786743,1118733,959306,114180,97975,2827,2412,0,0
10737418240,3263783621,1427905372,407972916,1427905333,1195216540,232688832,1228380770,199524602,1195216540,1195216540,0,231992970,33150001,198842969,695827,14229,681598,35,0,35,1195216540,0,198999389,170563257,28424243,24363306,4050115,3471398,494745,424061,24361,20842,117,105,341558334,66414582,351008218,56964698,341558334,341558334,0,66218076,9445934,56772142,196499,3950,192549,7,0,7,341558334,0,56829370,48723171,8120375,6961245,1147610,984140,117777,101071,2944,2515,0,0
11005853696,3345378373,1463603032,418172268,1463603073,1225097739,238505293,1259091030,204512002,1225097739,1225097739,0,237791856,33978679,203813177,713402,14612,698790,35,0,35,1225097739,0,203971933,174825081,29134744,24972405,4151410,3558160,508431,435867,25210,21548,128,116,350093212,68079056,359778559,58393709,350093212,350093212,0,67877535,9681302,58196233,201514,4045,197469,7,0,7,350093212,0,58252575,49944745,8324097,7135914,1176556,1008920,121257,104046,3050,2608,0,0
11274289152,3426972901,1499300607,428371607,1499300687,1254977852,244322755,1289797510,209503097,1254977852,1254977852,0,243591814,34804727,208787087,730906,14931,715975,35,0,35,1254977852,0,208944903,179090120,29845907,25582163,4252684,3644851,522086,447530,26093,22295,141,128,358629093,69742514,368551465,59820142,358629093,358629093,0,69535925,9918225,59617700,206582,4147,202435,7,0,7,358629093,0,59675195,51164257,8526966,7309655,1205850,1033995,124762,107099,3152,2694,0,0
11542724608,3508567522,1534998215,438571000,1534998307,1284854792,250143423,1320504103,214494112,1284854792,1284854792,0,249394846,35634034,213760812,748539,15277,733262,38,0,38,1284854792,0,213921696,183355464,30556755,26191503,4353668,3731520,535604,459141,26971,23045,152,139,367163808,71407192,377322181,61248819,367163808,367163808,0,71195665,10154143,61041522,211520,4230,207290,7,0,7,367163808,0,61099214,52385824,8729529,7483492,1235555,1059462,128110,109958,3257,2786,0,0
11811160064,3590162225,1570695956,448770312,1570695957,1314728719,255967237,1351208372,219487584,1314728719,1314728719,0,255201150,36463993,218737157,766047,15660,750387,40,0,40,1314728719,0,218900409,187622845,31268151,26800873,4455387,3818689,549137,470733,27901,23865,165,152,375699855,73070457,386094634,62675678,375699855,375699855,0,72853977,10390462,62463515,216473,4317,212156,7,0,7,375699855,0,62522163,53605841,8932004,7657187,1264842,1084642,131595,112956,3373,2889,0,0
12079595520,3671756731,1606393512,458969632,1606393587,1344606057,261787455,1381913041,224480471,1344606057,1344606057,0,261004013,37290974,223713039,783402,16010,767392,40,0,40,1344606057,0,223876460,191889412,31978791,27410550,4556845,3905681,562949,482612,28791,24621,177,163,384236607,74733025,394868633,64100999,384236607,384236607,0,74511607,10627613,63883994,221411,4413,216998,7,0,7,384236607,0,63944000,54824077,9135396,7831738,1293599,1109244,135102,115927,3510,3008,0,0
12348030976,3753351308,1642091174,469168948,1642091186,1374483735,267607439,1412621385,229469789,1374483735,1374483735,0,266806511,38121254,228685257,800888,16396,784492,40,0,40,1374483735,0,228851226,196152186,32690338,28020402,4658559,3992877,576507,494231,29692,25387,189,174,392773774,76395174,403642483,65526465,392773774,392773774,0,76168790,10864195,65304595,226376,4514,221862,8,0,8,392773774,0,65365913,56042727,9338025,8005614,1322420,1134054,138770,119061,3662,3139,0,0
12616466432,3834945902,1677788766,479368292,1677788844,1404359771,273428995,1443327568,234461198,1404359771,1404359771,0,272610537,38951063,233659474,818418,16734,801684,40,0,40,1404359771,0,233827647,200417035,33401151,28629490,4760773,4080603,590182,506009,30579,26151,205,186,401312810,78055482,412417731,66950561,401312810,401312810,0,77824125,11100313,66723812,231349,4608,226741,8,0,8,401312810,0,66785655,57259948,9540845,8179421,1351630,1159136,142216,122067,3779,3240,0,0
12884901888,3916540453,1713486477,489567555,1713486421,1434238525,279247952,1474035862,239450615,1434238525,1434238525,0,278412010,39780209,238631801,835900,17128,818772,42,0,42,1434238525,0,238802502,204681086,34111537,29238105,4862264,4167591,603971,517854,31511,26961,225,204,409848945,79718610,421190490,68377065,409848945,409848945,0,79482353,11336841,68145512,236249,4704,231545,8,0,8,409848945,0,68207354,58478915,9744613,8354164,1380637,1183942,145842,125144,3907,3347,0,0
13153337344,3998134954,1749184013,499766908,1749184033,1464114980,285069033,1504742320,244441693,1464114980,1464114980,0,284215532,40609852,243605680,853458,17488,835970,43,0,43,1464114980,0,243779690,208946832,34821496,29846602,4963906,4254690,617750,529573,32449,27764,241,219,418386062,81380846,429964294,69802614,418386062,418386062,0,81139356,11573427,69565929,241482,4805,236677,8,0,8,418386062,0,69628882,59697473,9947279,8527916,1409750,1208862,149420,128224,4025,3454,0,0
13421772800,4079729567,1784881735,509966167,1784881665,1493988881,290892854,1535445637,249436098,1493988881,1493988881,0,290021839,41438895,248582944,870970,17861,853109,45,0,45,1493988881,0,248758055,213213768,35532800,30456828,5065872,4342141,631445,541371,33412,28606,255,230,426923273,83042894,438738472,71227695,426923273,426923273,0,82796518,11810284,70986234,246368,4915,241453,8,0,8,426923273,0,71049655,60915422,10150668,8701978,1439030,1233933,153008,131326,4157,3575,0,0
13690208256,4161324184,1820579399,520165489,1820579296,1523860810,296718589,1566146576,254432823,1523860810,1523860810,0,295830072,42267541,253562531,888470,18225,870245,47,0,47,1523860810,0,253738085,217483303,36244735,31067408,5167503,4429039,645119,553119,34356,29415,274,247,435459801,84705688,447511408,72654081,435459801,435459801,0,84454367,12046588,72407779,251313,5019,246294,8,0,8,435459801,0,72471110,62134263,10354107,8876378,1468185,1258984,156669,134467,4296,3687,0,0
13958643712,4242918770,1856276961,530364812,1856276997,1553740396,302536565,1596854625,259422336,1553740396,1553740396,0,301630611,43095624,258534987,905906,18605,887301,48,0,48,1553740396,0,258711810,221747356,36954651,31675845,5269745,4516449,658802,564849,35317,30229,286,259,443996851,86367961,456285022,74079790,443996851,443996851,0,86111642,12283053,73828589,256311,5118,251193,8,0,8,443996851,0,73892627,63353024,10557084,9050230,1497242,1284011,160278,137546,4411,3778,0,0
14227079168,4324513465,1891974621,540564179,1891974665,1583618938,308355683,1627562264,264412357,1583618938,1583618938,0,307432206,43924361,263507845,923428,18965,904463,49,0,49,1583618938,0,263686429,226011368,37665577,32285118,5371260,4603546,672427,576558,36216,30985,297,270,452533343,88030836,465058341,75505838,452533343,452533343,0,87769532,12519797,75249735,261296,5201,256095,8,0,8,452533343,0,75314829,64571858,10760234,9224535,1526089,1308844,163837,140607,4543,3891,0,0
14495514624,4406108058,1927672312,550763506,1927672240,1613495342,314176970,1658267335,269404977,1613495342,1613495342,0,313235996,44752693,268483303,940925,19300,921625,49,0,49,1613495342,0,268662731,230277454,38376742,32894997,5472821,4690429,686262,588380,37138,31769,302,274,461068120,89695386,473830564,76932942,461068120,461068120,0,89429161,12757137,76672024,266216,5307,260909,9,0,9,461068120,0,76738518,65791604,10963623,9399100,1554996,1333705,167352,143612,4672,4003,0,0
14763950080,4487702617,1963369895,560962820,1963369902,1643373090,319996805,1688974868,274395027,1643373090,1643373090,0,319038102,45582140,273455962,958653,19638,939015,50,0,50,1643373090,0,273638314,234542165,39087216,33503549,5574211,4777269,699933,600094,38118,32604,310,281,469605414,91357406,482603768,78359052,469605414,469605414,0,91086193,12992946,78093247,271203,5408,265795,10,0,10,469605414,0,78160208,67011033,11166281,9572793,1583897,1358569,170988,146715,4819,4137,0,0
15032385536,4569297319,1999067597,571162177,1999067545,1673252573,325815024,1719684062,279383535,1673252573,1673252573,0,324838737,46411492,278427245,976236,19997,956239,51,0,51,1673252573,0,278611860,238804549,39797957,34112831,5675654,4864116,713802,611976,39142,33482,322,291,478140370,93021807,491376080,79786097,478140370,478140370,0,92745636,13230195,79515441,276161,5515,270646,10,0,10,478140370,0,79583584,68231254,11369480,9746586,1612952,1383479,174666,149869,4954,4253,0,0
15300820992,4650891933,2034765232,581361544,2034765157,1703130895,331634337,1750389994,284375238,1703130895,1703130895,0,330640465,47238754,283401711,993821,20345,973476,51,0,51,1703130895,0,283586360,243069783,40508411,34722038,5777693,4951525,727526,623721,40144,34345,331,299,486676604,94684940,500149267,81212277,486676604,486676604,0,94403879,13467061,80936818,281050,5602,275448,11,0,11,486676604,0,81005592,69449901,11572964,9921249,1642022,1408362,178220,152945,5081,4361,0,0
15569256448,4732486599,2070462949,591560875,2070462775,1733001902,337461047,1781091204,289371745,1733001902,1733001902,0,336449590,48068582,288381008,1011403,20720,990683,54,0,54,1733001902,0,288567102,247339345,41220390,35331956,5879201,5038593,741425,635597,41128,35206,344,311,495212468,96348407,508921156,82639719,495212468,495212468,0,96062365,13702980,82359385,286031,5708,280323,11,0,11,495212468,0,82427626,70669625,11776493,10095939,1671105,1433248,181905,156077,5236,4496,0,0
15837691904,4814081145,2106160526,601760172,2106160447,1762876860,343283666,1811795963,294364563,1762876860,1762876860,0,342254795,48898053,293356742,1028817,21050,1007767,54,0,54,1762876860,0,293545248,251606404,41930649,35940495,5980870,5125734,755558,647727,42113,36060,357,322,503748369,98011803,517694139,84066033,503748369,503748369,0,97720724,13939954,83780770,291068,5816,285252,11,0,11,503748369,0,83849655,71888798,11979947,10269976,1700117,1458117,185629,159261,5376,4618,0,0
16106127360,4895675740,2141858146,611959479,2141858115,1792751261,349106885,1842500797,299357349,1792751261,1792751261,0,348060665,49728119,298332546,1046166,21417,1024749,54,0,54,1792751261,0,298522218,255871859,42643483,36551381,6082158,5212510,769331,659542,43103,36920,372,334,512286306,99673173,526469046,85490433,512286306,512286306,0,99377074,14176830,85200244,296088,5910,290178,11,0,11,512286306,0,85269876,73105653,12183214,10444523,1729197,1482952,189265,162365,5522,4751,0,0
